"Year","RmSeq","Sum_days_rm_dry"
2003,116,2
2003,117,2
2003,118,2
2003,119,1
2003,120,1
2003,121,1
2003,122,1
2003,123,1
2003,124,1
2003,125,1
2003,126,1
2003,127,1
2003,128,0
2003,129,0
2003,130,0
2004,116,3
2004,117,1
2004,118,1
2004,119,1
2004,120,1
2004,121,1
2004,122,1
2004,123,1
2004,124,1
2004,125,1
2004,126,1
2004,127,1
2004,128,0
2004,129,0
2004,130,0
2005,116,0
2005,117,0
2005,118,0
2005,119,0
2005,120,0
2005,121,0
2005,122,0
2005,123,0
2005,124,0
2005,125,0
2005,126,0
2005,127,0
2005,128,0
2005,129,0
2005,130,0
2006,116,0
2006,117,0
2006,118,0
2006,119,0
2006,120,0
2006,121,0
2006,122,0
2006,123,0
2006,124,0
2006,125,0
2006,126,0
2006,127,0
2006,128,0
2006,129,0
2006,130,0
2007,116,0
2007,117,0
2007,118,0
2007,119,0
2007,120,0
2007,121,0
2007,122,0
2007,123,0
2007,124,0
2007,125,0
2007,126,0
2007,127,0
2007,128,0
2007,129,0
2007,130,0
2008,116,0
2008,117,0
2008,118,0
2008,119,0
2008,120,0
2008,121,0
2008,122,0
2008,123,0
2008,124,0
2008,125,0
2008,126,0
2008,127,0
2008,128,0
2008,129,0
2008,130,1
2009,116,0
2009,117,0
2009,118,0
2009,119,0
2009,120,0
2009,121,0
2009,122,0
2009,123,0
2009,124,0
2009,125,0
2009,126,0
2009,127,0
2009,128,0
2009,129,0
2009,130,0
2010,116,0
2010,117,0
2010,118,0
2010,119,0
2010,120,0
2010,121,0
2010,122,0
2010,123,0
2010,124,0
2010,125,0
2010,126,0
2010,127,0
2010,128,0
2010,129,0
2010,130,0
2011,116,0
2011,117,0
2011,118,0
2011,119,0
2011,120,0
2011,121,0
2011,122,0
2011,123,0
2011,124,0
2011,125,0
2011,126,0
2011,127,0
2011,128,0
2011,129,0
2011,130,0
2012,116,0
2012,117,0
2012,118,0
2012,119,0
2012,120,0
2012,121,0
2012,122,0
2012,123,0
2012,124,0
2012,125,0
2012,126,0
2012,127,0
2012,128,0
2012,129,0
2012,130,0
2013,116,0
2013,117,0
2013,118,0
2013,119,0
2013,120,0
2013,121,0
2013,122,0
2013,123,0
2013,124,0
2013,125,0
2013,126,0
2013,127,0
2013,128,0
2013,129,0
2013,130,0
2014,116,0
2014,117,0
2014,118,0
2014,119,0
2014,120,0
2014,121,0
2014,122,0
2014,123,0
2014,124,0
2014,125,0
2014,126,0
2014,127,0
2014,128,0
2014,129,0
2014,130,0
2015,116,0
2015,117,0
2015,118,0
2015,119,0
2015,120,0
2015,121,0
2015,122,0
2015,123,0
2015,124,0
2015,125,0
2015,126,0
2015,127,0
2015,128,0
2015,129,0
2015,130,0
2016,116,0
2016,117,0
2016,118,0
2016,119,0
2016,120,0
2016,121,0
2016,122,0
2016,123,0
2016,124,0
2016,125,0
2016,126,0
2016,127,0
2016,128,0
2016,129,0
2016,130,0
2017,116,0
2017,117,0
2017,118,0
2017,119,0
2017,120,0
2017,121,0
2017,122,0
2017,123,0
2017,124,0
2017,125,0
2017,126,0
2017,127,0
2017,128,0
2017,129,0
2017,130,0
2018,116,0
2018,117,0
2018,118,0
2018,119,0
2018,120,0
2018,121,0
2018,122,0
2018,123,0
2018,124,0
2018,125,0
2018,126,0
2018,127,0
2018,128,0
2018,129,0
2018,130,0
