"DateSeq","RmSeq","Condition","Condition.b","Year","Month"
2003-10-02,116,"Dry",1,2003,10
2003-10-02,117,"Dry",1,2003,10
2003-10-02,118,"Dry",1,2003,10
2003-10-02,119,"Dry",1,2003,10
2003-10-02,120,"Dry",1,2003,10
2003-10-02,121,"Dry",1,2003,10
2003-10-02,122,"Dry",1,2003,10
2003-10-02,123,"Dry",1,2003,10
2003-10-02,124,"Dry",1,2003,10
2003-10-02,125,"Dry",1,2003,10
2003-10-02,126,"Dry",1,2003,10
2003-10-02,127,"Dry",1,2003,10
2003-09-09,116,"Dry",1,2003,9
2003-09-09,117,"Dry",1,2003,9
2003-09-09,118,"Dry",1,2003,9
2004-08-11,116,"Dry",1,2004,8
2004-08-15,116,"Dry",1,2004,8
2004-08-16,116,"Dry",1,2004,8
2004-08-16,117,"Dry",1,2004,8
2004-08-16,118,"Dry",1,2004,8
2004-08-16,119,"Dry",1,2004,8
2004-08-16,120,"Dry",1,2004,8
2004-08-16,121,"Dry",1,2004,8
2004-08-16,122,"Dry",1,2004,8
2004-08-16,123,"Dry",1,2004,8
2004-08-16,124,"Dry",1,2004,8
2004-08-16,125,"Dry",1,2004,8
2004-08-16,126,"Dry",1,2004,8
2004-08-16,127,"Dry",1,2004,8
2008-08-16,130,"Dry",1,2008,8
2003-01-01,116,"Wet",0,2003,1
2003-01-02,116,"Wet",0,2003,1
2003-01-03,116,"Wet",0,2003,1
2003-01-04,116,"Wet",0,2003,1
2003-01-05,116,"Wet",0,2003,1
2003-01-06,116,"Wet",0,2003,1
2003-01-07,116,"Wet",0,2003,1
2003-01-08,116,"Wet",0,2003,1
2003-01-09,116,"Wet",0,2003,1
2003-01-10,116,"Wet",0,2003,1
2003-01-11,116,"Wet",0,2003,1
2003-01-12,116,"Wet",0,2003,1
2003-01-13,116,"Wet",0,2003,1
2003-01-14,116,"Wet",0,2003,1
2003-01-15,116,"Wet",0,2003,1
2003-01-16,116,"Wet",0,2003,1
2003-01-17,116,"Wet",0,2003,1
2003-01-18,116,"Wet",0,2003,1
2003-01-19,116,"Wet",0,2003,1
2003-01-20,116,"Wet",0,2003,1
2003-01-21,116,"Wet",0,2003,1
2003-01-22,116,"Wet",0,2003,1
2003-01-23,116,"Wet",0,2003,1
2003-01-24,116,"Wet",0,2003,1
2003-01-25,116,"Wet",0,2003,1
2003-01-26,116,"Wet",0,2003,1
2003-01-27,116,"Wet",0,2003,1
2003-01-28,116,"Wet",0,2003,1
2003-01-29,116,"Wet",0,2003,1
2003-01-30,116,"Wet",0,2003,1
2003-01-31,116,"Wet",0,2003,1
2003-02-01,116,"Wet",0,2003,2
2003-02-02,116,"Wet",0,2003,2
2003-02-03,116,"Wet",0,2003,2
2003-02-04,116,"Wet",0,2003,2
2003-02-05,116,"Wet",0,2003,2
2003-02-06,116,"Wet",0,2003,2
2003-02-07,116,"Wet",0,2003,2
2003-02-08,116,"Wet",0,2003,2
2003-02-09,116,"Wet",0,2003,2
2003-02-10,116,"Wet",0,2003,2
2003-02-11,116,"Wet",0,2003,2
2003-02-12,116,"Wet",0,2003,2
2003-02-13,116,"Wet",0,2003,2
2003-02-14,116,"Wet",0,2003,2
