"Date","URM","LRM","Distance","Year"
2003-10-02,87.1,74,13.1,2003
2003-10-29,97.2,74,23.2,2003
2003-10-30,92.6,74,18.6,2003
2003-08-11,71.8,57.5,14.3,2003
2003-08-12,61.2,57.5,3.7,2003
2003-08-16,61.2,57.5,3.7,2003
2003-08-05,68.7,57.5,11.2,2003
2003-09-20,94,74,20,2003
2003-09-21,94,74,20,2003
2003-09-06,107.7,74,33.7,2003
2003-09-09,118.9,116.2,2.7,2003
2004-10-01,109.1,74,35.1,2004
2004-10-02,109.1,74,35.1,2004
2004-10-03,104.5,74,30.5,2004
2004-10-04,97.4,74,23.4,2004
2004-10-05,94.8,74,20.8,2004
2004-10-06,104.5,74,30.5,2004
2004-06-16,75.6,74,1.6,2004
2004-06-17,80,74,6,2004
2004-06-19,84.3,74,10.3,2004
2004-06-21,89.8,74,15.8,2004
2004-06-22,90,74,16,2004
2004-06-23,90,74,16,2004
2004-06-24,92.3,74,18.3,2004
2004-06-26,93.9,74,19.9,2004
2004-06-27,94.2,74,20.2,2004
2004-06-28,94.4,74,20.4,2004
2004-06-29,87.9,74,13.9,2004
2004-07-01,83.6,74,9.6,2004
2004-07-10,95.7,74,21.7,2004
2004-07-11,162.5,152.5,10,2004
2004-07-12,163.6,152.5,11.1,2004
2004-07-13,163.4,152.5,10.9,2004
2004-07-14,162.7,152.5,10.2,2004
2004-07-15,164,152.5,11.5,2004
2004-07-16,164.3,152.5,11.8,2004
2004-07-17,100.1,74,26.1,2004
2004-07-18,99,74,25,2004
2004-07-19,164.3,152.5,11.8,2004
2004-07-20,99.5,74,25.5,2004
2004-07-21,99.8,74,25.8,2004
2004-07-22,99.5,74,25.5,2004
2004-07-23,135.8,132,3.8,2004
2004-07-31,160.8,152.5,8.3,2004
2004-07-05,154.5,152.5,2,2004
2004-07-06,155.4,152.5,2.9,2004
2004-07-07,155.5,152.5,3,2004
2004-07-08,159.8,152.5,7.3,2004
2004-08-10,90.9,74,16.9,2004
2004-08-11,116.2,74,42.2,2004
2004-08-12,88.1,74,14.1,2004
2004-08-13,99.5,74,25.5,2004
2004-08-14,99,74,25,2004
2004-08-15,116.2,74,42.2,2004
2004-08-16,96.8,74,22.8,2004
2004-08-02,164,152.5,11.5,2004
2004-08-22,164.9,152.5,12.4,2004
2004-08-23,167.4,152.5,14.9,2004
2004-08-24,166.5,152.5,14,2004
2004-08-25,167.3,152.5,14.8,2004
2004-08-27,167.3,152.5,14.8,2004
2004-08-28,135.4,132,3.4,2004
2004-08-29,166.8,152.5,14.3,2004
2004-08-03,81.4,74,7.4,2004
2004-08-04,155.9,152.5,3.4,2004
2004-08-05,155.9,152.5,3.4,2004
2004-08-06,155.9,152.5,3.4,2004
2004-08-07,162.9,152.5,10.4,2004
2004-08-08,163.9,152.5,11.4,2004
2004-08-09,164.3,152.5,11.8,2004
2004-09-01,104.5,74,30.5,2004
2004-09-10,110.1,74,36.1,2004
2004-09-10,110.1,74,36.1,2004
2004-09-11,109.5,74,35.5,2004
2004-09-12,99.1,74,25.1,2004
2004-09-12,99.1,74,25.1,2004
2004-09-13,109.1,74,35.1,2004
2004-09-14,109.1,74,35.1,2004
2004-09-15,109.8,74,35.8,2004
2004-09-16,109.8,74,35.8,2004
2004-09-17,110,74,36,2004
2004-09-18,110,74,36,2004
2004-09-19,109.1,74,35.1,2004
2004-09-20,109.1,74,35.1,2004
2004-09-21,109.1,74,35.1,2004
2004-09-22,108.9,74,34.9,2004
2004-09-23,108.9,74,34.9,2004
2004-09-24,108.9,74,34.9,2004
2004-09-25,108.2,74,34.2,2004
2004-09-26,108.2,74,34.2,2004
2004-09-27,107.6,74,33.6,2004
2004-09-29,99.8,74,25.8,2004
2004-09-03,105.8,74,31.8,2004
2004-09-30,107.6,74,33.6,2004
2004-09-07,106.2,74,32.2,2004
2004-09-08,98.9,74,24.9,2004
2004-09-09,108.9,74,34.9,2004
2005-10-30,58.6,57.5,1.1,2005
2005-10-31,72.5,57.5,15,2005
2005-07-23,72.2,57.5,14.7,2005
2005-07-24,76.2,74,2.2,2005
2005-07-26,72,57.5,14.5,2005
2005-07-27,77.5,74,3.5,2005
2005-07-28,81.6,74,7.6,2005
2005-07-29,84.4,74,10.4,2005
2005-07-30,85.8,74,11.8,2005
2005-07-31,84.8,74,10.8,2005
2005-08-01,84.8,74,10.8,2005
2005-08-10,92.6,74,18.6,2005
2005-08-11,92.1,74,18.1,2005
2005-08-13,75.8,74,1.8,2005
2005-08-14,72.6,57.5,15.1,2005
2005-08-15,69.5,57.5,12,2005
2005-08-16,67.8,57.5,10.3,2005
2005-08-02,91,74,17,2005
2005-08-24,72.1,57.5,14.6,2005
2005-08-27,86.1,74,12.1,2005
2005-08-28,83,74,9,2005
2005-08-29,83,74,9,2005
2005-08-03,91.4,74,17.4,2005
2005-08-30,82.1,74,8.1,2005
2005-08-31,81.9,74,7.9,2005
2005-08-04,91.6,74,17.6,2005
2005-08-05,92.7,74,18.7,2005
2005-08-06,85.1,74,11.1,2005
2005-08-07,92.4,74,18.4,2005
2005-08-08,91.1,74,17.1,2005
2005-08-09,92.3,74,18.3,2005
2005-09-01,81.9,74,7.9,2005
2005-09-14,80,74,6,2005
2005-09-15,90.6,74,16.6,2005
2005-09-16,90,74,16,2005
2005-09-17,90.9,74,16.9,2005
2005-09-18,91.1,74,17.1,2005
2005-09-19,90.9,74,16.9,2005
2005-09-02,81.9,74,7.9,2005
2005-09-20,91.2,74,17.2,2005
2005-09-21,93.5,74,19.5,2005
2005-09-23,84.6,74,10.6,2005
2005-09-24,94.5,74,20.5,2005
2005-09-26,94.4,74,20.4,2005
2005-09-27,94.6,74,20.6,2005
2005-09-28,95.9,74,21.9,2005
2005-09-29,94.9,74,20.9,2005
2005-09-03,82.9,74,8.9,2005
2005-09-30,72.1,57.5,14.6,2005
2006-10-01,88.3,74,14.3,2006
2006-10-04,86.3,74,12.3,2006
2006-10-05,88.5,74,14.5,2006
2006-10-06,88.9,74,14.9,2006
2006-10-07,90,74,16,2006
2006-10-08,89.8,74,15.8,2006
2006-05-22,78.4,74,4.4,2006
2006-05-23,78.3,74,4.3,2006
2006-05-24,76.6,74,2.6,2006
2006-05-25,74.6,74,0.6,2006
2006-05-26,74.5,74,0.5,2006
2006-05-27,74.8,74,0.8,2006
2006-06-15,75.6,74,1.6,2006
2006-06-16,76.8,74,2.8,2006
2006-06-17,81.4,74,7.4,2006
2006-06-18,81.8,74,7.8,2006
2006-06-19,81.4,74,7.4,2006
2006-06-20,82.1,74,8.1,2006
2006-06-21,81.6,74,7.6,2006
2006-06-22,83,74,9,2006
2006-06-23,84,74,10,2006
2006-06-24,85.7,74,11.7,2006
2006-06-25,88.1,74,14.1,2006
2006-06-26,89.6,74,15.6,2006
2006-07-20,159.5,152.5,7,2006
2006-07-23,87.1,74,13.1,2006
2006-07-24,84.2,74,10.2,2006
2006-07-25,86.9,74,12.9,2006
2006-07-26,92.3,74,18.3,2006
2006-07-27,84.3,74,10.3,2006
2006-07-06,80,74,6,2006
2006-09-19,75.8,74,1.8,2006
2006-09-21,83.3,74,9.3,2006
2006-09-22,81,74,7,2006
2006-09-23,80.5,74,6.5,2006
2006-09-24,80.3,74,6.3,2006
2006-09-25,80.5,74,6.5,2006
2006-09-26,154.9,152.5,2.4,2006
2006-09-27,154.9,152.5,2.4,2006
2006-09-28,78.8,74,4.8,2006
2006-09-29,154,152.5,1.5,2006
2006-09-30,83.2,74,9.2,2006
2007-10-10,81,74,7,2007
2007-10-11,155.5,152.5,3,2007
2007-10-12,155.5,152.5,3,2007
2007-10-13,155.5,152.5,3,2007
2007-10-14,155,152.5,2.5,2007
2007-10-15,155,152.5,2.5,2007
2007-10-16,155,152.5,2.5,2007
2007-10-17,155.5,152.5,3,2007
2007-10-18,155,152.5,2.5,2007
2007-10-19,157,152.5,4.5,2007
2007-10-20,158,152.5,5.5,2007
2007-10-21,159,152.5,6.5,2007
2007-10-22,160,152.5,7.5,2007
2007-10-23,160,152.5,7.5,2007
2007-10-24,157,152.5,4.5,2007
2007-10-25,159,152.5,6.5,2007
2007-10-26,159.5,152.5,7,2007
2007-10-27,159,152.5,6.5,2007
2007-10-28,159,152.5,6.5,2007
2007-10-29,158.5,152,6.5,2007
2007-10-03,82.5,74,8.5,2007
2007-10-30,158.5,152.5,6,2007
2007-10-31,160,152.5,7.5,2007
2007-10-04,78.5,74,4.5,2007
2007-10-05,156,152.5,3.5,2007
2007-10-06,82,74,8,2007
2007-10-09,82,74,8,2007
2007-06-30,76.5,74,2.5,2007
2007-07-01,76.5,74,2.5,2007
2007-07-14,88.5,74,14.5,2007
2007-07-15,90,74,16,2007
2007-07-16,90,74,16,2007
2007-07-17,90,74,16,2007
2007-07-18,91.5,74,17.5,2007
2007-07-19,93,74,19,2007
