"Date","Isleta_mean_daily_div_cfs","SanAcacia_mean_daily_div_cfs","MeanPERCN","MeanCHICN","MeanBELCN","MeanCHACN","MeanCACCN"
2003-01-01,NA,NA,NA,NA,NA,NA,NA
2003-01-02,0,521.625,NA,0,0,0,0
2003-01-03,0,500.020833333333,NA,0,0,0,0
2003-01-04,0,496.5,NA,0,0,0,0
2003-01-05,0,501.854166666667,NA,0,0,0,0
2003-01-06,0,501.9375,NA,0,0,0,0
2003-01-07,0,490.645833333333,NA,0,0,0,0
2003-01-08,0,491.3125,NA,0,0,0,0
2003-01-09,0,483.229166666667,NA,0,0,0,0
2003-01-10,0,506.875,NA,0,0,0,0
2003-01-11,0,NA,NA,0,0,0,0
2003-01-12,0,NA,NA,0,0,0,0
2003-01-13,0,530.166666666667,NA,0,0,0,0
2003-01-14,0,NA,NA,0,0,0,0
2003-01-15,0,NA,NA,0,0,0,0
2003-01-16,0,569.270833333333,NA,0,0,0,0
2003-01-17,0,639.666666666667,NA,0,0,0,0
2003-01-18,0,560.583333333333,NA,0,0,0,0
2003-01-19,0,NA,NA,0,0,0,0
2003-01-20,0,506.8125,NA,0,0,0,0
2003-01-21,0,466.229166666667,NA,0,0,0,0
2003-01-22,0,NA,NA,0,0,0,0
2003-01-23,0,409.3125,NA,0,0,0,0
2003-01-24,0,NA,NA,0,0,0,0
2003-01-25,0,389.0625,NA,0,0,0,0
2003-01-26,0,NA,NA,0,0,0,0
2003-01-27,0,382.020833333333,NA,0,0,0,0
2003-01-28,0,414.541666666667,NA,0,0,0,0
2003-01-29,0,508.333333333333,NA,0,0,0,0
2003-01-30,0,NA,NA,0,0,0,0
2003-01-31,0,582.458333333333,NA,0,0,0,0
2003-02-01,0,NA,NA,0,0,0,0
2003-02-02,0,603.958333333333,NA,0,0,0,0
2003-02-03,0,578.833333333333,NA,0,0,0,0
2003-02-04,0,587.625,NA,0,0,0,0
2003-02-05,0,623.583333333333,NA,0,0,0,0
2003-02-06,0,623.8125,NA,0,0,0,0
2003-02-07,0,636.208333333333,NA,0,0,0,0
2003-02-08,0,669.395833333333,NA,0,0,0,0
2003-02-09,0,NA,NA,0,0,0,0
2003-02-10,0,594.916666666667,NA,0,0,0,0
2003-02-11,0,523.395833333333,NA,0,0,0,0
2003-02-12,0,482.729166666667,NA,0,0,0,0
2003-02-13,0,447.791666666667,NA,0,0,0,0
2003-02-14,0,436.041666666667,NA,0,0,0,0
2003-02-15,NA,479.416666666667,NA,NA,NA,NA,NA
2003-02-16,0,623.1875,NA,0,0,0,0
2003-02-17,0,621.458333333333,NA,0,0,0,0
2003-02-18,NA,701.708333333333,NA,NA,NA,NA,NA
2003-02-19,0,644.8125,NA,0,0,0,0
2003-02-20,0,546.0625,NA,0,0,0,0
2003-02-21,0,473.354166666667,NA,0,0,0,0
2003-02-22,0,613.604166666667,NA,0,0,0,0
2003-02-23,0,604.916666666667,NA,0,0,0,0
2003-02-24,69.2291666666667,521.5,NA,0,69.2291666666667,0,0
2003-02-25,130,498.9375,NA,0,130,0,0
2003-02-26,79.8541666666667,430.979166666667,NA,0,79.8541666666667,0,0
2003-02-27,72.6041666666667,376.145833333333,NA,0,72.6041666666667,0,0
2003-02-28,73.4583333333333,276.1875,NA,0,73.4583333333333,0,0
2003-03-01,72.5833333333333,287.1875,NA,0,72.5833333333333,0,0
2003-03-02,81.8541666666667,293.895833333333,NA,0,81.8541666666667,0,0
2003-03-03,111.479166666667,NA,NA,0,111.479166666667,0,0
2003-03-04,107.3125,NA,NA,0,107.3125,0,0
2003-03-05,107.9375,NA,NA,0,107.9375,0,0
2003-03-06,133.75,381.291666666667,NA,0,133.75,0,0
2003-03-07,NA,279.666666666667,NA,NA,NA,NA,NA
2003-03-08,165.541666666667,240.541666666667,NA,0,165.541666666667,0,0
2003-03-09,132.854166666667,245.5625,NA,0,132.854166666667,0,0
2003-03-10,131.041666666667,272.354166666667,NA,0,131.041666666667,0,0
2003-03-11,133.3125,321.791666666667,NA,0,133.3125,0,0
2003-03-12,134.645833333333,NA,NA,0,134.645833333333,0,0
2003-03-13,NA,219,NA,NA,NA,NA,NA
2003-03-14,139.104166666667,NA,NA,0,139.104166666667,0,0
2003-03-15,177.854166666667,164.895833333333,NA,0,177.854166666667,0,0
2003-03-16,198.708333333333,193.354166666667,NA,0,198.708333333333,0,0
2003-03-17,201.9375,NA,NA,0.708333333333333,201.229166666667,0,0
2003-03-18,209.645833333333,189.895833333333,NA,8.89583333333333,200.75,0,0
2003-03-19,187.5625,201.958333333333,NA,0,187.5625,0,0
2003-03-20,135,267.8125,NA,0,135,0,0
2003-03-21,162.416666666667,419.1875,NA,0.104166666666667,162.3125,0,0
2003-03-22,171.625,386.291666666667,NA,26.7083333333333,144.916666666667,0,0
2003-03-23,208.916666666667,609.6875,NA,53.1666666666667,155.75,0,0
2003-03-24,203.25,372.145833333333,NA,49.875,153.375,0,0
2003-03-25,201.6875,345.5,NA,48.6875,153,0,0
2003-03-26,219.3125,295.395833333333,NA,46.1875,173.125,0,0
2003-03-27,NA,243.979166666667,NA,NA,NA,NA,NA
2003-03-28,208.458333333333,235.520833333333,NA,39.5,168.958333333333,0,0
2003-03-29,200.583333333333,NA,NA,32.5625,168.020833333333,0,0
2003-03-30,186.166666666667,NA,NA,19.3333333333333,166.833333333333,0,0
2003-03-31,185.645833333333,NA,NA,19.2708333333333,166.375,0,0
2003-04-01,184.395833333333,310.0625,NA,18.5625,165.833333333333,0,0
2003-04-02,202.041666666667,NA,NA,16.4166666666667,185.625,0,0
2003-04-03,190.104166666667,NA,NA,31.3541666666667,158.75,0,0
2003-04-04,153.041666666667,174.041666666667,NA,42.1041666666667,110.9375,0,0
2003-04-05,168.791666666667,192.458333333333,NA,37.0208333333333,131.770833333333,0,0
2003-04-06,194.104166666667,200.145833333333,NA,49.7291666666667,144.375,0,0
2003-04-07,198.770833333333,166.916666666667,NA,60.4375,138.333333333333,0,0
2003-04-08,195.020833333333,NA,NA,60,135.020833333333,0,0
2003-04-09,170.25,165.75,NA,32.0416666666667,138.208333333333,0,0
2003-04-10,166.979166666667,159.854166666667,NA,30.25,136.729166666667,0,0
2003-04-11,175.520833333333,154.541666666667,NA,41.6041666666667,133.916666666667,0,0
2003-04-12,165.479166666667,164.1875,NA,40.9791666666667,124.5,0,0
2003-04-13,NA,NA,NA,NA,NA,NA,NA
2003-04-14,178.625,152.479166666667,NA,47.2291666666667,131.395833333333,0,0
2003-04-15,164,145.75,NA,29.1875,134.8125,0,0
2003-04-16,149.416666666667,140.416666666667,NA,0,149.416666666667,0,0
2003-04-17,275.4375,NA,NA,52.9583333333333,222.479166666667,0,0
2003-04-18,318.375,196.291666666667,NA,48.1458333333333,270.229166666667,0,0
2003-04-19,261.729166666667,228.895833333333,NA,41.3958333333333,220.333333333333,0,0
2003-04-20,260.75,333.791666666667,NA,41.8333333333333,218.916666666667,0,0
2003-04-21,260.416666666667,361.770833333333,NA,38.8125,221.604166666667,0,0
2003-04-22,255.229166666667,375.958333333333,NA,37.2916666666667,217.9375,0,0
2003-04-23,268.375,350.104166666667,NA,39.2916666666667,214.916666666667,0.833333333333333,13.3333333333333
2003-04-24,283.729166666667,NA,NA,36.4166666666667,214.645833333333,0.833333333333333,31.8333333333333
2003-04-25,295.5625,323.354166666667,NA,39.8333333333333,217.75,5.04166666666667,32.9375
2003-04-26,305.208333333333,333.145833333333,NA,50.9166666666667,216.25,6.27083333333333,31.7708333333333
2003-04-27,309.479166666667,NA,NA,63.0833333333333,210.041666666667,7,29.3541666666667
2003-04-28,310.145833333333,NA,NA,63.1458333333333,209.854166666667,6.97916666666667,30.1666666666667
2003-04-29,312.520833333333,NA,NA,65.4583333333333,211.4375,7,28.625
2003-04-30,306.5625,243.708333333333,NA,51.9791666666667,216.979166666667,5.875,31.7291666666667
2003-05-01,306.479166666667,211.4375,NA,44.0208333333333,227.354166666667,1,34.1041666666667
2003-05-02,316.604166666667,291.416666666667,NA,57.2291666666667,227.291666666667,0.916666666666667,31.1666666666667
2003-05-03,324.1875,370.604166666667,NA,64.25,230.1875,1,28.75
2003-05-04,314.375,433.291666666667,NA,63.9791666666667,221.458333333333,0.645833333333333,28.2916666666667
2003-05-05,NA,390.1875,NA,NA,NA,NA,NA
2003-05-06,295.0625,304.833333333333,NA,43.3333333333333,216.166666666667,5,30.5625
2003-05-07,286.270833333333,308.520833333333,NA,42.5,212.729166666667,1.04166666666667,30
2003-05-08,298.708333333333,254.5,NA,52.6458333333333,207.9375,9.125,29
2003-05-09,297.3125,171.666666666667,NA,52.75,202.041666666667,12.375,30.1458333333333
2003-05-10,298.020833333333,182.208333333333,NA,52.6458333333333,198.666666666667,17.8125,28.8958333333333
2003-05-11,294,179.104166666667,NA,52.7083333333333,199.979166666667,10.6875,30.625
2003-05-12,309.979166666667,208.4375,NA,60.8125,202.208333333333,17.9375,29.0208333333333
2003-05-13,300.979166666667,160.3125,NA,60.8125,201.6875,9.1875,29.2916666666667
2003-05-14,286.958333333333,162.770833333333,NA,43.4583333333333,199.145833333333,14.6458333333333,29.7083333333333
2003-05-15,286.3125,162.375,NA,43.7708333333333,204.541666666667,5.14583333333333,32.8541666666667
2003-05-16,302.541666666667,NA,NA,44.5625,210.604166666667,11.375,36
2003-05-17,273.666666666667,NA,NA,39.1458333333333,193.166666666667,5.64583333333333,35.7083333333333
2003-05-18,149.791666666667,479.541666666667,NA,23.3958333333333,81.4166666666667,5.35416666666667,39.625
2003-05-19,290.541666666667,529.1875,NA,42.875,198.729166666667,14.9166666666667,34.0208333333333
2003-05-20,277.270833333333,NA,NA,32.0833333333333,197.020833333333,13.1875,34.9791666666667
2003-05-21,269.979166666667,273.75,NA,34.8541666666667,197.75,5,32.375
2003-05-22,276.645833333333,276.125,NA,39.8541666666667,199.4375,5,32.3541666666667
2003-05-23,294.5,236.333333333333,NA,48.1875,199.604166666667,14.4166666666667,32.2916666666667
2003-05-24,297.708333333333,229.25,NA,47.7083333333333,196.708333333333,21.625,31.6666666666667
2003-05-25,297.375,245.583333333333,NA,47.8125,194.25,23.3125,32
2003-05-26,292.729166666667,NA,NA,48.1458333333333,197.166666666667,15.4166666666667,32
2003-05-27,300.145833333333,239.354166666667,NA,48.8125,206.729166666667,10.7291666666667,33.875
2003-05-28,299.25,464.625,NA,48.0416666666667,205.979166666667,8.58333333333333,36.6458333333333
2003-05-29,NA,436.416666666667,NA,NA,NA,NA,NA
2003-05-30,290.604166666667,497.041666666667,NA,48.25,204.25,3.27083333333333,34.8333333333333
2003-05-31,285.916666666667,465.541666666667,NA,48.0416666666667,199.375,5.14583333333333,33.3541666666667
2003-06-01,288.520833333333,540.645833333333,NA,47.8333333333333,195.125,13.3125,32.25
2003-06-02,297.166666666667,NA,NA,47.7916666666667,195.875,21.5,32
2003-06-03,299.583333333333,329.25,NA,48.2291666666667,197.666666666667,21.6875,32
2003-06-04,306.5,282.8125,NA,58.5625,201.958333333333,13.9791666666667,32
2003-06-05,314.75,270,NA,65.7291666666667,199.395833333333,17.5,32.125
2003-06-06,291.125,260.125,NA,55.3125,192.354166666667,11.4583333333333,32
2003-06-07,291.958333333333,217.770833333333,NA,47.75,192.083333333333,20.125,32
2003-06-08,287.208333333333,181.645833333333,NA,47.9791666666667,190.166666666667,17.0625,32
2003-06-09,280.604166666667,177.458333333333,NA,47.7916666666667,191.020833333333,8.91666666666667,32.875
2003-06-10,272.3125,147.5625,NA,48.3125,189.208333333333,1,33.7916666666667
2003-06-11,289.145833333333,146.479166666667,NA,47.9166666666667,189.541666666667,17.0833333333333,34.6041666666667
2003-06-12,301.020833333333,129.729166666667,NA,54.875,190.6875,21.4583333333333,34
2003-06-13,304.75,106.333333333333,NA,56.1875,194.354166666667,21.0416666666667,33.1666666666667
2003-06-14,293.625,103.020833333333,NA,56.4166666666667,195.145833333333,9.14583333333333,32.9166666666667
2003-06-15,296.916666666667,114.4375,NA,57.5208333333333,198.229166666667,6.45833333333333,34.7083333333333
2003-06-16,NA,96.8125,NA,NA,NA,NA,NA
2003-06-17,304.145833333333,129.875,NA,51.6458333333333,202.729166666667,15.2708333333333,34.5
2003-06-18,303.895833333333,102.5625,NA,48.0416666666667,203.125,17.625,35.1041666666667
2003-06-19,305.291666666667,110.229166666667,NA,47.9166666666667,201.8125,21.375,34.1875
2003-06-20,302.375,131.708333333333,NA,48.3333333333333,203.270833333333,17.0625,33.7083333333333
2003-06-21,297.916666666667,120.583333333333,NA,48.6041666666667,199.354166666667,15.7291666666667,34.2291666666667
2003-06-22,289.666666666667,108.416666666667,NA,48.4791666666667,197.75,9.47916666666667,33.9583333333333
2003-06-23,285.541666666667,105.625,NA,48.5416666666667,197.625,4.875,34.5
2003-06-24,286.979166666667,95.7291666666667,NA,47.75,193.145833333333,11.0833333333333,35
2003-06-25,280.020833333333,93.0833333333333,NA,46.7916666666667,194.229166666667,3.4375,35.5625
2003-06-26,283.229166666667,84.1041666666667,NA,46.6875,195.25,5.29166666666667,36
