"Date","Year","Month","Month.n","Day","Tot_DCU_cfs","Ag_DCU_cfs","Riparian_DCU_cfs","OpenWater_DCU_cfs","Urban_DCU_cfs","Rain_cfs","Tot_URGWOM_cfs","five_day_avg_URGWOM_cfs","ten_day_avg_URGWOM_cfs","Use_to_date_since_Jan1"
2003-12-30,2003,"Dec",12,30,1.4,0,0.3,1.1,0,0,1.4,1.6,1.5,13487.8
2003-12-29,2003,"Dec",12,29,1.3,0,0.2,1.1,0,0,1.3,1.7,1.5,13485
2003-12-28,2003,"Dec",12,28,1.4,0,0.3,1.1,0,0,1.4,1.7,1.6,13482.3
2003-12-27,2003,"Dec",12,27,1.7,0,0.3,1.3,0,0,1.7,1.7,1.7,13479.5
2003-12-26,2003,"Dec",12,26,2.2,0,0.4,1.8,0,0,2.2,1.5,1.7,13476.2
2003-12-25,2003,"Dec",12,25,1.7,0,0.3,1.3,0,0,1.7,1.5,1.6,13471.9
2003-12-24,2003,"Dec",12,24,1.4,0,0.3,1.1,0,0,1.4,1.3,1.7,13468.6
2003-12-23,2003,"Dec",12,23,1.4,0,0.3,1.1,0,0,1.4,1.5,1.7,13465.8
2003-12-22,2003,"Dec",12,22,0.5,0,0.1,0.4,0,0,0.5,1.6,1.8,13462.9
2003-12-21,2003,"Dec",12,21,2.2,0,0.4,1.8,0,0,2.2,2,1.9,13461.9
2003-12-20,2003,"Dec",12,20,1.1,0,0.2,0.9,0,0,1.1,1.8,1.8,13457.5
2003-12-19,2003,"Dec",12,19,2.2,0,0.4,1.8,0,0,2.2,2,1.9,13455.3
2003-12-18,2003,"Dec",12,18,2.2,0,0.4,1.8,0,0,2.2,1.9,1.9,13451
2003-12-17,2003,"Dec",12,17,2.2,0,0.4,1.8,0,0,2.2,1.9,1.6,13446.6
2003-12-16,2003,"Dec",12,16,1.4,0,0.3,1.1,0,0,1.4,1.7,1.6,13442.3
2003-12-15,2003,"Dec",12,15,1.9,0,0.3,1.6,0,0,1.9,1.8,1.6,13439.5
2003-12-14,2003,"Dec",12,14,1.9,0,0.3,1.6,0,0,1.9,1.9,1.7,13435.7
2003-12-13,2003,"Dec",12,13,1.9,0,0.3,1.6,0,0,1.9,1.8,1.7,13432
2003-12-12,2003,"Dec",12,12,1.7,0,0.3,1.3,0,0.1,1.6,1.3,1.7,13428.3
2003-12-11,2003,"Dec",12,11,1.9,0,0.3,1.6,0,0,1.9,1.4,1.8,13425.2
2003-12-10,2003,"Dec",12,10,2.2,0,0.4,1.8,0,0,2.2,1.5,2,13421.4
2003-12-09,2003,"Dec",12,9,1.7,0,0.3,1.3,0,0,1.7,1.5,1.9,13417.1
