"Date","Tot_DCU_cfs","Ag_DCU_cfs","Riparian_DCU_cfs","OpenWater_DCU_cfs","Urban_DCU_cfs","Rain_cfs","Tot_URGWOM_cfs","five_day_avg_URGWOM_cfs","ten_day_avg_URGWOM_cfs","Use_to_date_since_Jan1"
2003-01-01,15.775,11.975,0.8,2.975,0,0,15.775,NA,NA,31.25
2003-01-02,8.775,6.45,0.475,1.85,0,0,8.775,NA,NA,48.575
2003-01-03,12.475,9.225,0.625,2.625,0,0,12.475,NA,NA,73.275
2003-01-04,11.375,8.375,0.625,2.4,0,0,11.375,NA,NA,95.8
2003-01-05,9.85,7.175,0.5,2.15,0,0,9.85,11.65,NA,115.325
2003-01-06,9.975,7.225,0.525,2.2,0,0,9.975,10.475,NA,135.05
2003-01-07,8.35,6.05,0.475,1.825,0,0,8.35,10.375,NA,151.575
2003-01-08,8.1,5.925,0.475,1.725,0,0,8.1,9.525,NA,167.575
2003-01-09,7.9,5.75,0.45,1.725,0,0,7.9,8.825,NA,183.225
2003-01-10,9.25,6.875,0.475,1.875,0,0,9.25,8.725,10.175,201.5
2003-01-11,5.95,4.4,0.275,1.25,0,0.55,5.425,7.775,9.15,212.2
2003-01-12,8.475,6.225,0.475,1.8,0,0,8.475,7.825,9.125,229.025
2003-01-13,10.125,7.4,0.575,2.15,0,0,10.125,8.225,8.875,249.075
2003-01-14,10.65,7.75,0.575,2.3,0,0,10.65,8.775,8.825,270.2
2003-01-15,14.3,10.475,0.775,3.05,0,0,14.3,9.775,9.25,298.5
2003-01-16,10.7,7.925,0.575,2.175,0,0,10.7,10.85,9.325,319.675
2003-01-17,11.5,8.525,0.625,2.35,0,0,11.5,11.475,9.65,342.475
2003-01-18,11.95,8.825,0.65,2.475,0,0,11.95,11.825,10.025,366.15
2003-01-19,12.3,9.025,0.675,2.65,0,0,12.3,12.175,10.5,390.525
2003-01-20,12.775,9.375,0.725,2.725,0,0,12.775,11.85,10.825,415.85
2003-01-21,12.55,9.15,0.725,2.725,0,0,12.55,12.225,11.5,440.675
2003-01-22,14.025,10.35,0.775,2.925,0,0.325,13.725,12.7,12.05,467.85
2003-01-23,11.7,8.425,0.675,2.65,0,0,11.7,12.625,12.225,491
2003-01-24,13.325,9.925,0.7,2.675,0,0.125,13.2,12.8,12.475,517.15
2003-01-25,12.05,8.85,0.65,2.575,0,0,12.05,12.65,12.275,541.05
2003-01-26,15.25,11.1,0.9,3.225,0,0,15.25,13.175,12.725,571.2
2003-01-27,14.175,10.4,0.8,3.025,0,0,14.175,13.275,12.975,599.3
2003-01-28,18.8,13.825,1.05,3.9,0,1.3,17.5,14.45,13.5,633.95
2003-01-29,14.3,10.55,0.8,3.025,0,0,14.3,14.625,13.75,662.325
2003-01-30,16.45,12.2,0.925,3.325,0,0,16.45,15.55,14.075,694.85
2003-01-31,17.4,12.825,0.975,3.625,0,0,17.4,15.95,14.575,729.325
2003-02-01,16.5,12.3,0.875,3.35,0,0,16.5,16.45,14.875,762.025
2003-02-02,22.2,16.175,1.3,4.7,0,0,22.2,17.375,15.9,805.95
2003-02-03,17.4,12.825,0.975,3.6,0,0,17.4,17.975,16.325,840.4
2003-02-04,13.875,10.225,0.75,2.875,0,0,13.875,17.5,16.5,867.9
2003-02-05,14.35,10.625,0.75,2.975,0,0,14.35,16.875,16.45,896.375
2003-02-06,13.875,10.225,0.75,2.875,0,0,13.875,16.325,16.4,923.825
2003-02-07,10.625,7.7,0.625,2.325,0,0,10.625,14.025,15.7,944.875
2003-02-08,2.65,2.05,0.125,0.475,0,5.2,-2.525,10.025,14,939.875
2003-02-09,13.175,9.625,0.7,2.825,0,0,13.175,9.9,13.675,965.925
2003-02-10,13.475,9.9,0.775,2.775,0,0,13.475,9.75,13.3,992.6
2003-02-11,11.4,8.3,0.625,2.45,0,0,11.4,9.25,12.775,1015.175
2003-02-12,13.325,9.85,0.7,2.75,0,0,13.325,9.775,11.875,1041.55
2003-02-13,12.1,8.625,0.675,2.825,0,14.575,-2.475,9.8,9.9,1036.7
2003-02-14,10.75,7.825,0.6,2.35,0,1.4,9.325,9.025,9.45,1055.175
2003-02-15,15.125,11.05,0.8,3.25,0,0.075,15.025,9.325,9.5,1084.975
2003-02-16,16.15,11.85,0.85,3.45,0,0,16.15,10.3,9.775,1116.975
2003-02-17,15.175,11.15,0.85,3.15,0,0,15.175,10.675,10.225,1147.025
2003-02-18,9.4,6.725,0.55,2.1,0,0,9.4,13.025,11.4,1165.65
2003-02-19,16.675,12.15,1,3.575,0,0,16.675,14.5,11.75,1198.675
2003-02-20,4.725,3.45,0.275,1,0,40.525,-35.825,4.3,6.825,1127.7
2003-02-21,19.35,13.925,1.15,4.275,0,0,19.35,4.95,7.625,1166
2003-02-22,24.6,17.925,1.425,5.225,0,0,24.6,6.85,8.75,1214.7
2003-02-23,19.325,14.225,1.075,4.075,0,0,19.325,8.825,10.925,1253.025
2003-02-24,12.075,8.825,0.6,2.625,0,2.3,9.775,7.45,10.975,1272.375
2003-02-25,18.4,13.35,1,4.05,0,0,18.4,18.275,11.325,1308.825
2003-02-26,13.875,9.95,0.8,3.125,0,14.9,-1,14.225,9.6,1306.9
2003-02-27,18.7,13.7,1.075,3.975,0,0,18.7,13.075,9.95,1343.975
2003-02-28,14,10.05,0.775,3.225,0,1.425,12.6,11.725,10.275,1368.95
2003-03-01,11.375,8.125,0.7,2.55,0,0,11.375,12.025,9.75,1391.45
2003-03-02,13.275,9.65,0.8,2.825,0,0,13.275,11,14.625,1417.8
2003-03-03,18.475,13.275,1.25,3.975,0,0,18.475,14.9,14.575,1454.35
2003-03-04,19.975,14.2,1.4,4.375,0,0,19.975,15.15,14.1,1493.875
2003-03-05,19.875,14.425,1.325,4.1,0,0,19.875,16.6,14.175,1533.225
2003-03-06,25.9,18.525,1.85,5.525,0,0,25.9,19.5,15.75,1584.45
2003-03-07,24.4,17.4,1.875,5.1,0,0,24.4,21.725,16.35,1632.775
2003-03-08,26.875,19.175,2.15,5.525,0,0,26.875,23.4,19.125,1686
2003-03-09,25.675,18.05,2.15,5.45,0,0,25.675,24.55,19.825,1736.85
2003-03-10,28.3,19.875,2.475,5.925,0,0,28.3,26.225,21.425,1792.85
2003-03-11,27.15,18.85,2.475,5.8,0,0,27.15,26.475,22.975,1846.575
2003-03-12,27.3,19.275,2.525,5.55,0,0,27.3,27.075,24.4,1900.7
2003-03-13,40.675,28.775,3.65,8.175,0,0,40.675,29.825,26.6,1981.175
2003-03-14,30.4,21.55,2.8,6.05,0,0,30.4,30.75,27.65,2041.4
