"Date","Tot_DCU_cfs","Ag_DCU_cfs","Riparian_DCU_cfs","OpenWater_DCU_cfs","Urban_DCU_cfs","Rain_cfs","Tot_URGWOM_cfs","five_day_avg_URGWOM_cfs","ten_day_avg_URGWOM_cfs","Use_to_date_since_Jan1"
2003-01-01,63.1,47.9,3.2,11.9,0,0,63.1,0,0,125
2003-01-02,35.1,25.8,1.9,7.4,0,0,35.1,0,0,194.3
2003-01-03,49.9,36.9,2.5,10.5,0,0,49.9,0,0,293.1
2003-01-04,45.5,33.5,2.5,9.6,0,0,45.5,0,0,383.2
2003-01-05,39.4,28.7,2,8.6,0,0,39.4,46.6,0,461.3
2003-01-06,39.9,28.9,2.1,8.8,0,0,39.9,41.9,0,540.2
2003-01-07,33.4,24.2,1.9,7.3,0,0,33.4,41.5,0,606.3
2003-01-08,32.4,23.7,1.9,6.9,0,0,32.4,38.1,0,670.3
2003-01-09,31.6,23,1.8,6.9,0,0,31.6,35.3,0,732.9
2003-01-10,37,27.5,1.9,7.5,0,0,37,34.9,40.7,806
2003-01-11,23.8,17.6,1.1,5,0,2.2,21.7,31.1,36.6,848.8
2003-01-12,33.9,24.9,1.9,7.2,0,0,33.9,31.3,36.5,916.1
2003-01-13,40.5,29.6,2.3,8.6,0,0,40.5,32.9,35.5,996.3
2003-01-14,42.6,31,2.3,9.2,0,0,42.6,35.1,35.3,1080.8
2003-01-15,57.2,41.9,3.1,12.2,0,0,57.2,39.1,37,1194
2003-01-16,42.8,31.7,2.3,8.7,0,0,42.8,43.4,37.3,1278.7
2003-01-17,46,34.1,2.5,9.4,0,0,46,45.9,38.6,1369.9
2003-01-18,47.8,35.3,2.6,9.9,0,0,47.8,47.3,40.1,1464.6
2003-01-19,49.2,36.1,2.7,10.6,0,0,49.2,48.7,42,1562.1
2003-01-20,51.1,37.5,2.9,10.9,0,0,51.1,47.4,43.3,1663.4
2003-01-21,50.2,36.6,2.9,10.9,0,0,50.2,48.9,46,1762.7
2003-01-22,56.1,41.4,3.1,11.7,0,1.3,54.9,50.8,48.2,1871.4
2003-01-23,46.8,33.7,2.7,10.6,0,0,46.8,50.5,48.9,1964
2003-01-24,53.3,39.7,2.8,10.7,0,0.5,52.8,51.2,49.9,2068.6
2003-01-25,48.2,35.4,2.6,10.3,0,0,48.2,50.6,49.1,2164.2
2003-01-26,61,44.4,3.6,12.9,0,0,61,52.7,50.9,2284.8
2003-01-27,56.7,41.6,3.2,12.1,0,0,56.7,53.1,51.9,2397.2
2003-01-28,75.2,55.3,4.2,15.6,0,5.2,70,57.8,54,2535.8
2003-01-29,57.2,42.2,3.2,12.1,0,0,57.2,58.5,55,2649.3
2003-01-30,65.8,48.8,3.7,13.3,0,0,65.8,62.2,56.3,2779.4
2003-01-31,69.6,51.3,3.9,14.5,0,0,69.6,63.8,58.3,2917.3
2003-02-01,66,49.2,3.5,13.4,0,0,66,65.8,59.5,3048.1
2003-02-02,88.8,64.7,5.2,18.8,0,0,88.8,69.5,63.6,3223.8
2003-02-03,69.6,51.3,3.9,14.4,0,0,69.6,71.9,65.3,3361.6
2003-02-04,55.5,40.9,3,11.5,0,0,55.5,70,66,3471.6
2003-02-05,57.4,42.5,3,11.9,0,0,57.4,67.5,65.8,3585.5
2003-02-06,55.5,40.9,3,11.5,0,0,55.5,65.3,65.6,3695.3
2003-02-07,42.5,30.8,2.5,9.3,0,0,42.5,56.1,62.8,3779.5
2003-02-08,10.6,8.2,0.5,1.9,0,20.8,-10.1,40.1,56,3759.5
2003-02-09,52.7,38.5,2.8,11.3,0,0,52.7,39.6,54.7,3863.7
2003-02-10,53.9,39.6,3.1,11.1,0,0,53.9,39,53.2,3970.4
2003-02-11,45.6,33.2,2.5,9.8,0,0,45.6,37,51.1,4060.7
2003-02-12,53.3,39.4,2.8,11,0,0,53.3,39.1,47.5,4166.2
2003-02-13,48.4,34.5,2.7,11.3,0,58.3,-9.9,39.2,39.6,4146.8
2003-02-14,43,31.3,2.4,9.4,0,5.6,37.3,36.1,37.8,4220.7
2003-02-15,60.5,44.2,3.2,13,0,0.3,60.1,37.3,38,4339.9
2003-02-16,64.6,47.4,3.4,13.8,0,0,64.6,41.2,39.1,4467.9
2003-02-17,60.7,44.6,3.4,12.6,0,0,60.7,42.7,40.9,4588.1
2003-02-18,37.6,26.9,2.2,8.4,0,0,37.6,52.1,45.6,4662.6
2003-02-19,66.7,48.6,4,14.3,0,0,66.7,58,47,4794.7
2003-02-20,18.9,13.8,1.1,4,0,162.1,-143.3,17.2,27.3,4510.8
2003-02-21,77.4,55.7,4.6,17.1,0,0,77.4,19.8,30.5,4664
2003-02-22,98.4,71.7,5.7,20.9,0,0,98.4,27.4,35,4858.8
2003-02-23,77.3,56.9,4.3,16.3,0,0,77.3,35.3,43.7,5012.1
2003-02-24,48.3,35.3,2.4,10.5,0,9.2,39.1,29.8,43.9,5089.5
2003-02-25,73.6,53.4,4,16.2,0,0,73.6,73.1,45.3,5235.3
2003-02-26,55.5,39.8,3.2,12.5,0,59.6,-4,56.9,38.4,5227.6
2003-02-27,74.8,54.8,4.3,15.9,0,0,74.8,52.3,39.8,5375.9
2003-02-28,56,40.2,3.1,12.9,0,5.7,50.4,46.9,41.1,5475.8
2003-03-01,45.5,32.5,2.8,10.2,0,0,45.5,48.1,39,5565.8
2003-03-02,53.1,38.6,3.2,11.3,0,0,53.1,44,58.5,5671.2
2003-03-03,73.9,53.1,5,15.9,0,0,73.9,59.6,58.3,5817.4
