"Date","Year","Month","Month.n","Day","Tot_DCU_cfs","Ag_DCU_cfs","Riparian_DCU_cfs","OpenWater_DCU_cfs","Urban_DCU_cfs","Rain_cfs","Tot_URGWOM_cfs","five_day_avg_URGWOM_cfs","ten_day_avg_URGWOM_cfs","Use_to_date_since_Jan1","Reach"
2018-12-11,2018,"Dec",12,11,18.1,0,0.9,17.2,0,0,18.1,15.4,16.2,66468.6,"8"
2018-12-10,2018,"Dec",12,10,18.1,0,0.9,17.2,0,0,18.1,15.4,16.2,66432.9,"8"
2018-12-09,2018,"Dec",12,9,18.1,0,0.9,17.2,0,0,18.1,15.4,16.1,66397.1,"8"
2018-12-08,2018,"Dec",12,8,18.1,0,0.9,17.2,0,6.8,11.3,15.3,16.8,66361.3,"8"
2018-12-07,2018,"Dec",12,7,11.3,0,0.5,10.7,0,0,11.3,16.2,18,66339,"8"
2018-12-06,2018,"Dec",12,6,18.1,0,0.9,17.2,0,0,18.1,17.1,18.9,66316.6,"8"
2018-12-05,2018,"Dec",12,5,18.1,0,0.9,17.2,0,0,18.1,17.1,18.8,66280.9,"8"
2018-12-04,2018,"Dec",12,4,18,0,0.9,17.1,0,0,18,16.9,18.8,66245.1,"8"
2018-12-03,2018,"Dec",12,3,15.7,0,0.8,15,0,0,15.7,18.2,19.3,66209.4,"8"
2018-12-02,2018,"Dec",12,2,15.7,0,0.8,14.9,0,0,15.7,19.9,20.1,66178.3,"8"
2018-12-01,2018,"Dec",12,1,17.8,0,0.9,16.9,0,0,17.8,20.7,20.5,66147.3,"8"
2018-11-30,2018,"Nov",11,30,17.8,0,0.9,16.9,0,0.3,17.4,20.6,20.6,66112,"8"
2018-11-29,2018,"Nov",11,29,24.3,0,1.2,23.1,0,0,24.3,20.6,20.8,66077.5,"8"
2018-11-28,2018,"Nov",11,28,24.2,0,1.2,23,0,0,24.2,20.5,20.2,66029.4,"8"
2018-11-27,2018,"Nov",11,27,19.7,0,1,18.7,0,0,19.7,20.4,19.7,65981.6,"8"
2018-11-26,2018,"Nov",11,26,17.5,0,0.9,16.6,0,0,17.5,20.3,19.6,65942.6,"8"
2018-11-25,2018,"Nov",11,25,17.4,0,0.9,16.5,0,0,17.4,20.6,20.1,65908,"8"
2018-11-24,2018,"Nov",11,24,23.8,0,1.2,22.5,0,0,23.8,20.9,20.2,65873.6,"8"
2018-11-23,2018,"Nov",11,23,23.7,0,1.2,22.4,0,0,23.7,20,19.4,65826.6,"8"
2018-11-22,2018,"Nov",11,22,19.2,0,1,18.3,0,0.2,19,19,18.5,65779.7,"8"
2018-11-21,2018,"Nov",11,21,19.1,0,1,18.2,0,0,19.1,19,17.5,65742,"8"
2018-11-20,2018,"Nov",11,20,19.1,0,1,18.1,0,0,19.1,19.7,18.2,65704.1,"8"
2018-11-19,2018,"Nov",11,19,19,0,1,18,0,0,19,19.5,18.6,65666.4,"8"
2018-11-18,2018,"Nov",11,18,18.9,0,1,17.9,0,0,18.9,18.9,18.7,65628.9,"8"
2018-11-17,2018,"Nov",11,17,18.8,0,1,17.8,0,0,18.8,17.9,19.8,65591.5,"8"
2018-11-16,2018,"Nov",11,16,22.8,0,1.2,21.6,0,0,22.8,16.1,21.5,65554.4,"8"
2018-11-15,2018,"Nov",11,15,18.3,0,1,17.3,0,0,18.3,16.8,22.9,65509.2,"8"
2018-11-14,2018,"Nov",11,14,15.9,0,0.9,15,0,0,15.9,17.6,25.1,65473,"8"
2018-11-13,2018,"Nov",11,13,13.9,0,0.8,13.1,0,0,13.9,18.5,26.8,65441.5,"8"
2018-11-12,2018,"Nov",11,12,9.4,0,1.8,7.5,0,0,9.4,21.7,28.7,65414,"8"
2018-11-11,2018,"Nov",11,11,26.4,0,5.8,20.7,0,0,26.4,26.9,31.1,65395.4,"8"
2018-11-10,2018,"Nov",11,10,22.4,0,5.5,16.9,0,0,22.4,29.1,31.9,65343.2,"8"
2018-11-09,2018,"Nov",11,9,20.5,0,5.4,15,0,0,20.5,32.7,23.9,65298.8,"8"
2018-11-08,2018,"Nov",11,8,29.9,0,7.4,22.5,0,0,29.9,35.1,22.3,65258.3,"8"
2018-11-07,2018,"Nov",11,7,35.5,0,9.2,26.3,0,0,35.5,35.6,24,65199,"8"
2018-11-06,2018,"Nov",11,6,37.1,0,10.9,26.3,0,0,37.1,35.3,25.1,65128.7,"8"
2018-11-05,2018,"Nov",11,5,40.3,0,12.4,27.9,0,0,40.3,34.7,26.1,65055.2,"8"
2018-11-04,2018,"Nov",11,4,32.7,0,10.5,22.2,0,0,32.7,15.1,26.7,64975.5,"8"
2018-11-03,2018,"Nov",11,3,32.6,0,10.5,22.1,0,0,32.6,9.4,28,64910.8,"8"
2018-11-02,2018,"Nov",11,2,34,0,12,21.9,0,0,34,12.3,28,64846.3,"8"
2018-11-01,2018,"Nov",11,1,33.9,0,12,21.8,0,0,33.9,14.8,9.8,64779,"8"
2018-10-31,2018,"Oct",10,31,23,0,8.5,14.5,0,80.4,-57.5,17.6,7.2,64711.9,"8"
2018-10-30,2018,"Oct",10,30,40.5,0,15.3,25.2,0,36.5,4,38.3,14.7,64825.7,"8"
