"Date","Isleta_mean_daily_div_cfs","SanAcacia_mean_daily_div_cfs","Mean_cfs_SanAcacia","Mean_cfs_BosFarms","Ag_DCU_cfs_5","Riparian_DCU_cfs_5","OpenWater_DCU_cfs_5","Rain_cfs_5","Ag_DCU_cfs_6","Riparian_DCU_cfs_6","OpenWater_DCU_cfs_6","Rain_cfs_6","Ag_DCU_cfs_7","Riparian_DCU_cfs_7","OpenWater_DCU_cfs_7","Rain_cfs_7","Ag_DCU_cfs_8","Riparian_DCU_cfs_8","OpenWater_DCU_cfs_8","Rain_cfs_8","Ag_mn","Rip_mn","OW_mn","Rain_mn","Ag_sum","Rip_sum","OW_sum","Rain_sum"
"2003-01-01",NA,NA,557,NA,27,1.6,4,0,0.9,0.2,1.2,0,20,1,4.9,0,0,0.4,1.8,0,11.975,0.8,2.975,0,47.9,3.2,11.9,0
"2003-01-02",0,521.625,543,NA,12.9,0.7,2,0,0.7,0.2,0.9,0,12.2,0.7,3.2,0,0,0.3,1.3,0,6.45,0.475,1.85,0,25.8,1.9,7.4,0
"2003-01-03",0,500.020833333333,518,NA,13.8,0.8,2.5,0,1,0.2,1.4,0,22.1,1.2,5,0,0,0.3,1.6,0,9.225,0.625,2.625,0,36.9,2.5,10.5,0
"2003-01-04",0,496.5,514,NA,13.8,0.9,2.5,0,0.8,0.2,1.1,0,18.9,1,4.4,0,0,0.4,1.6,0,8.375,0.625,2.4,0,33.5,2.5,9.6,0
"2003-01-05",0,501.854166666667,526,NA,11.7,0.7,2.1,0,0.8,0.2,1.1,0,16.2,0.8,3.8,0,0,0.3,1.6,0,7.175,0.5,2.15,0,28.7,2,8.6,0
"2003-01-06",0,501.9375,525,NA,11.7,0.7,2.1,0,0.8,0.2,1,0,16.4,0.8,3.9,0,0,0.4,1.8,0,7.225,0.525,2.2,0,28.9,2.1,8.8,0
"2003-01-07",0,490.645833333333,514,NA,10.8,0.7,1.9,0,0.7,0.2,0.9,0,12.7,0.7,3.2,0,0,0.3,1.3,0,6.05,0.475,1.825,0,24.2,1.9,7.3,0
"2003-01-08",0,491.3125,517,NA,10.8,0.7,1.9,0,0.7,0.2,0.9,0,12.2,0.7,2.8,0,0,0.3,1.3,0,5.925,0.475,1.725,0,23.7,1.9,6.9,0
"2003-01-09",0,483.229166666667,520,NA,10.8,0.7,1.9,0,0.7,0.2,0.9,0,11.5,0.6,2.8,0,0,0.3,1.3,0,5.75,0.45,1.725,0,23,1.8,6.9,0
"2003-01-10",0,506.875,561,NA,11.7,0.7,2.1,0,0.8,0.2,1,0,15,0.7,3.1,0,0,0.3,1.3,0,6.875,0.475,1.875,0,27.5,1.9,7.5,0
"2003-01-11",0,NA,580,NA,9,0.4,1.3,0,0.4,0.1,0.6,0.1,8.2,0.4,2.2,1,0,0.2,0.9,1.1,4.4,0.275,1.25,0.55,17.6,1.1,5,2.2
"2003-01-12",0,NA,643,NA,11.7,0.7,2.1,0,0.7,0.2,0.9,0,12.5,0.7,2.9,0,0,0.3,1.3,0,6.225,0.475,1.8,0,24.9,1.9,7.2,0
"2003-01-13",0,530.166666666667,644,NA,13.8,0.9,2.3,0,0.8,0.2,1.1,0,15,0.9,3.6,0,0,0.3,1.6,0,7.4,0.575,2.15,0,29.6,2.3,8.6,0
"2003-01-14",0,NA,646,NA,13.8,0.8,2.3,0,0.8,0.2,1.1,0,16.4,0.9,4,0,0,0.4,1.8,0,7.75,0.575,2.3,0,31,2.3,9.2,0
"2003-01-15",0,NA,688,NA,16.5,1.1,3,0,1.2,0.3,1.6,0,24.2,1.3,5.6,0,0,0.4,2,0,10.475,0.775,3.05,0,41.9,3.1,12.2,0
"2003-01-16",0,569.270833333333,696,NA,15.9,1,2.4,0,0.8,0.2,1,0,15,0.8,3.7,0,0,0.3,1.6,0,7.925,0.575,2.175,0,31.7,2.3,8.7,0
"2003-01-17",0,639.666666666667,770,NA,15.9,1,2.5,0,0.8,0.2,1.1,0,17.4,1,4.2,0,0,0.3,1.6,0,8.525,0.625,2.35,0,34.1,2.5,9.4,0
"2003-01-18",0,560.583333333333,716,NA,15.9,1,2.5,0,0.8,0.2,1.1,0,18.6,1.1,4.7,0,0,0.3,1.6,0,8.825,0.65,2.475,0,35.3,2.6,9.9,0
"2003-01-19",0,NA,689,NA,16.3,1.1,2.8,0,0.9,0.2,1.3,0,18.9,1,4.7,0,0,0.4,1.8,0,9.025,0.675,2.65,0,36.1,2.7,10.6,0
"2003-01-20",0,506.8125,657,NA,16.3,1.1,2.8,0,1,0.3,1.4,0,20.2,1.1,4.9,0,0,0.4,1.8,0,9.375,0.725,2.725,0,37.5,2.9,10.9,0
"2003-01-21",0,466.229166666667,596,NA,17.7,1.2,3.2,0,1.1,0.3,1.5,0,17.8,1,4.4,0,0,0.4,1.8,0,9.15,0.725,2.725,0,36.6,2.9,10.9,0
"2003-01-22",0,NA,548,NA,17.3,1.1,2.8,0,1,0.3,1.4,0,23.1,1.3,5.5,0.7,0,0.4,2,0.6,10.35,0.775,2.925,0.325,41.4,3.1,11.7,1.3
"2003-01-23",0,409.3125,520,NA,14.2,1.1,2.8,0,0.9,0.2,1.3,0,18.6,1.1,4.9,0,0,0.3,1.6,0,8.425,0.675,2.65,0,33.7,2.7,10.6,0
"2003-01-24",0,NA,503,NA,17.6,1.1,2.8,0.5,0.9,0.2,1.1,0,21.2,1.1,5,0,0,0.4,1.8,0,9.925,0.7,2.675,0.125,39.7,2.8,10.7,0.5
"2003-01-25",0,389.0625,508,NA,16.3,1.1,2.7,0,0.9,0.2,1.1,0,18.2,0.9,4.3,0,0,0.4,2.2,0,8.85,0.65,2.575,0,35.4,2.6,10.3,0
"2003-01-26",0,NA,506,NA,17.6,1.2,3,0,1.2,0.3,1.6,0,25.6,1.5,6.1,0,0,0.6,2.2,0,11.1,0.9,3.225,0,44.4,3.6,12.9,0
