"Date","Mean_cfs_SanAcacia","Mean_cfs_BosFarms"
2003-01-01,557,NA
2003-01-02,543,NA
2003-01-03,518,NA
2003-01-04,514,NA
2003-01-05,526,NA
2003-01-06,525,NA
2003-01-07,514,NA
2003-01-08,517,NA
2003-01-09,520,NA
2003-01-10,561,NA
2003-01-11,580,NA
2003-01-12,643,NA
2003-01-13,644,NA
2003-01-14,646,NA
2003-01-15,688,NA
2003-01-16,696,NA
2003-01-17,770,NA
2003-01-18,716,NA
2003-01-19,689,NA
2003-01-20,657,NA
2003-01-21,596,NA
2003-01-22,548,NA
2003-01-23,520,NA
2003-01-24,503,NA
2003-01-25,508,NA
2003-01-26,506,NA
2003-01-27,513,NA
2003-01-28,561,NA
2003-01-29,577,NA
2003-01-30,577,NA
2003-01-31,588,NA
2003-02-01,593,NA
2003-02-02,586,NA
2003-02-03,563,NA
2003-02-04,574,NA
2003-02-05,616,NA
2003-02-06,621,NA
2003-02-07,639,NA
2003-02-08,692,NA
2003-02-09,702,NA
2003-02-10,583,NA
2003-02-11,516,NA
2003-02-12,492,NA
2003-02-13,458,NA
2003-02-14,446,NA
2003-02-15,500,NA
2003-02-16,697,NA
2003-02-17,700,NA
2003-02-18,838,NA
2003-02-19,735,NA
2003-02-20,582,NA
2003-02-21,501,NA
2003-02-22,697,NA
2003-02-23,686,NA
2003-02-24,554,NA
2003-02-25,530,NA
2003-02-26,473,NA
2003-02-27,423,NA
2003-02-28,311,NA
2003-03-01,334,NA
2003-03-02,355,NA
2003-03-03,445,NA
2003-03-04,380,NA
2003-03-05,345,NA
2003-03-06,312,NA
2003-03-07,275,NA
2003-03-08,232,NA
2003-03-09,233,NA
2003-03-10,256,NA
2003-03-11,277,NA
2003-03-12,269,NA
2003-03-13,206,NA
2003-03-14,177,NA
2003-03-15,187,NA
2003-03-16,204,NA
2003-03-17,196,NA
2003-03-18,187,NA
2003-03-19,200,NA
2003-03-20,272,NA
2003-03-21,692,NA
2003-03-22,589,NA
2003-03-23,1300,NA
2003-03-24,525,NA
2003-03-25,440,NA
2003-03-26,320,NA
2003-03-27,243,NA
2003-03-28,235,NA
2003-03-29,219,NA
2003-03-30,245,NA
2003-03-31,365,NA
2003-04-01,322,NA
2003-04-02,238,NA
2003-04-03,199,NA
2003-04-04,169,NA
2003-04-05,188,NA
2003-04-06,196,NA
2003-04-07,160,NA
2003-04-08,150,NA
2003-04-09,152,NA
2003-04-10,144,NA
2003-04-11,136,NA
2003-04-12,144,NA
2003-04-13,145,NA
2003-04-14,126,NA
2003-04-15,113,NA
2003-04-16,105,NA
2003-04-17,128,NA
2003-04-18,190,NA
2003-04-19,230,NA
2003-04-20,425,NA
2003-04-21,506,NA
2003-04-22,541,NA
2003-04-23,454,NA
2003-04-24,339,NA
2003-04-25,378,NA
2003-04-26,413,NA
2003-04-27,445,NA
2003-04-28,310,NA
2003-04-29,247,NA
2003-04-30,237,NA
2003-05-01,205,NA
2003-05-02,286,NA
2003-05-03,505,NA
2003-05-04,749,NA
2003-05-05,587,NA
2003-05-06,359,NA
2003-05-07,336,NA
2003-05-08,248,NA
2003-05-09,174,NA
2003-05-10,182,NA
2003-05-11,178,NA
2003-05-12,193,NA
2003-05-13,149,NA
2003-05-14,148,NA
2003-05-15,147,NA
2003-05-16,141,NA
2003-05-17,223,NA
2003-05-18,662,NA
2003-05-19,755,NA
2003-05-20,562,NA
2003-05-21,283,NA
2003-05-22,280,NA
2003-05-23,228,NA
2003-05-24,219,NA
2003-05-25,237,NA
2003-05-26,230,NA
2003-05-27,238,NA
2003-05-28,633,NA
2003-05-29,569,NA
2003-05-30,702,NA
2003-05-31,621,NA
2003-06-01,796,NA
2003-06-02,669,NA
2003-06-03,406,NA
2003-06-04,315,NA
2003-06-05,265,NA
2003-06-06,254,NA
2003-06-07,204,NA
2003-06-08,161,NA
2003-06-09,155,NA
2003-06-10,122,NA
2003-06-11,117,NA
2003-06-12,98.8,NA
2003-06-13,74.3,NA
2003-06-14,68.9,NA
2003-06-15,80.4,NA
2003-06-16,60.5,NA
2003-06-17,91.4,NA
2003-06-18,65.3,NA
2003-06-19,69.7,NA
2003-06-20,98.3,NA
2003-06-21,93.8,NA
2003-06-22,77,NA
2003-06-23,71.9,NA
2003-06-24,64.1,NA
2003-06-25,59.7,NA
2003-06-26,49.4,NA
2003-06-27,45.8,NA
2003-06-28,41.3,NA
2003-06-29,41.4,NA
2003-06-30,43.2,NA
2003-07-01,39.8,NA
2003-07-02,32.5,NA
2003-07-03,28.1,NA
2003-07-04,27.2,NA
2003-07-05,26.1,NA
2003-07-06,25.2,NA
2003-07-07,25,NA
2003-07-08,23.5,NA
2003-07-09,22.4,NA
2003-07-10,21.2,NA
2003-07-11,20.2,NA
2003-07-12,20.1,NA
2003-07-13,19.9,NA
2003-07-14,19.4,NA
2003-07-15,18.3,NA
2003-07-16,16.4,NA
2003-07-17,14.8,NA
2003-07-18,13.8,NA
2003-07-19,13.4,NA
2003-07-20,12.8,NA
2003-07-21,12.1,NA
2003-07-22,11.5,NA
2003-07-23,11.2,NA
2003-07-24,10.8,NA
2003-07-25,10.3,NA
2003-07-26,9.77,NA
2003-07-27,9.37,NA
2003-07-28,8.95,NA
2003-07-29,11.1,NA
2003-07-30,6.8,NA
2003-07-31,6.1,NA
2003-08-01,5.4,NA
2003-08-02,4.8,NA
2003-08-03,4.2,NA
2003-08-04,3.8,NA
2003-08-05,3.8,NA
2003-08-06,3.7,NA
2003-08-07,3.8,NA
2003-08-08,4.2,NA
2003-08-09,4.3,NA
2003-08-10,4.2,NA
2003-08-11,4.1,NA
2003-08-12,3.9,NA
2003-08-13,4.1,NA
2003-08-14,4.4,NA
2003-08-15,4.3,NA
2003-08-16,4.3,NA
2003-08-17,4.3,NA
2003-08-18,4.3,NA
2003-08-19,4.3,NA
2003-08-20,4.3,NA
2003-08-21,4.3,NA
2003-08-22,4.3,NA
2003-08-23,4.1,NA
2003-08-24,4,NA
2003-08-25,3.7,NA
2003-08-26,4.1,NA
2003-08-27,3.9,NA
2003-08-28,3.5,NA
2003-08-29,3.6,NA
2003-08-30,5.6,NA
2003-08-31,4,NA
2003-09-01,4.4,NA
2003-09-02,5,NA
2003-09-03,6,NA
2003-09-04,7,NA
2003-09-05,5,NA
2003-09-06,4.8,NA
2003-09-07,70.3,NA
2003-09-08,73.7,NA
2003-09-09,180,NA
2003-09-10,162,NA
2003-09-11,383,NA
2003-09-12,561,NA
2003-09-13,786,NA
2003-09-14,2160,NA
2003-09-15,992,NA
2003-09-16,164,NA
2003-09-17,100,NA
2003-09-18,50,NA
2003-09-19,19,NA
2003-09-20,21,NA
2003-09-21,0.7,NA
2003-09-22,0.4,NA
2003-09-23,0.35,NA
2003-09-24,0.35,NA
2003-09-25,0.4,NA
2003-09-26,0.42,NA
2003-09-27,0.7,NA
2003-09-28,1.4,NA
2003-09-29,1.9,NA
2003-09-30,2.2,NA
2003-10-01,2.84,NA
2003-10-02,6.41,NA
2003-10-03,9.05,NA
2003-10-04,15.1,NA
2003-10-05,12.9,NA
2003-10-06,13.7,NA
2003-10-07,313,NA
2003-10-08,414,NA
2003-10-09,422,NA
2003-10-10,273,NA
2003-10-11,262,NA
2003-10-12,244,NA
2003-10-13,266,NA
2003-10-14,308,NA
2003-10-15,205,NA
2003-10-16,161,NA
2003-10-17,149,NA
2003-10-18,129,NA
2003-10-19,107,NA
2003-10-20,77.5,NA
2003-10-21,42.1,NA
2003-10-22,74.6,NA
2003-10-23,62.9,NA
2003-10-24,66.9,NA
2003-10-25,54.6,NA
2003-10-26,59.2,NA
2003-10-27,49.8,NA
2003-10-28,47.3,NA
2003-10-29,77.5,NA
2003-10-30,92.5,NA
2003-10-31,76.7,NA
2003-11-01,188,NA
2003-11-02,195,NA
2003-11-03,219,NA
2003-11-04,236,NA
2003-11-05,246,NA
2003-11-06,252,NA
2003-11-07,261,NA
2003-11-08,277,NA
2003-11-09,302,NA
2003-11-10,310,NA
2003-11-11,316,NA
2003-11-12,338,NA
2003-11-13,362,NA
2003-11-14,401,NA
2003-11-15,488,NA
2003-11-16,507,NA
2003-11-17,489,NA
2003-11-18,481,NA
2003-11-19,478,NA
2003-11-20,488,NA
2003-11-21,510,NA
2003-11-22,521,NA
2003-11-23,516,NA
2003-11-24,500,NA
2003-11-25,493,NA
2003-11-26,525,NA
2003-11-27,545,NA
2003-11-28,605,NA
2003-11-29,630,NA
2003-11-30,620,NA
2003-12-01,628,NA
2003-12-02,585,NA
2003-12-03,582,NA
2003-12-04,572,NA
2003-12-05,591,NA
2003-12-06,605,NA
2003-12-07,627,NA
2003-12-08,617,NA
2003-12-09,568,NA
2003-12-10,571,NA
2003-12-11,559,NA
2003-12-12,587,NA
2003-12-13,634,NA
2003-12-14,610,NA
2003-12-15,578,NA
2003-12-16,520,NA
2003-12-17,497,NA
2003-12-18,515,NA
2003-12-19,564,NA
2003-12-20,567,NA
2003-12-21,563,NA
2003-12-22,539,NA
2003-12-23,556,NA
2003-12-24,552,NA
2003-12-25,561,NA
2003-12-26,650,NA
2003-12-27,698,NA
2003-12-28,649,NA
2003-12-29,641,NA
2003-12-30,646,NA
2003-12-31,627,NA
2004-01-01,563,NA
2004-01-02,481,NA
2004-01-03,481,NA
2004-01-04,506,NA
2004-01-05,523,NA
2004-01-06,565,NA
2004-01-07,561,NA
2004-01-08,557,NA
2004-01-09,551,NA
2004-01-10,509,NA
2004-01-11,518,NA
2004-01-12,542,NA
2004-01-13,561,NA
2004-01-14,565,NA
2004-01-15,568,NA
2004-01-16,582,NA
2004-01-17,572,NA
2004-01-18,576,NA
2004-01-19,593,NA
2004-01-20,629,NA
