"Date","Mean_cfs"
2003-01-01,557
2003-01-02,543
2003-01-03,518
2003-01-04,514
2003-01-05,526
2003-01-06,525
2003-01-07,514
2003-01-08,517
2003-01-09,520
2003-01-10,561
2003-01-11,580
2003-01-12,643
2003-01-13,644
2003-01-14,646
2003-01-15,688
2003-01-16,696
2003-01-17,770
2003-01-18,716
2003-01-19,689
2003-01-20,657
2003-01-21,596
2003-01-22,548
2003-01-23,520
2003-01-24,503
2003-01-25,508
2003-01-26,506
2003-01-27,513
2003-01-28,561
2003-01-29,577
2003-01-30,577
2003-01-31,588
2003-02-01,593
2003-02-02,586
2003-02-03,563
2003-02-04,574
2003-02-05,616
2003-02-06,621
2003-02-07,639
2003-02-08,692
2003-02-09,702
2003-02-10,583
2003-02-11,516
2003-02-12,492
2003-02-13,458
2003-02-14,446
2003-02-15,500
2003-02-16,697
2003-02-17,700
2003-02-18,838
2003-02-19,735
2003-02-20,582
2003-02-21,501
2003-02-22,697
2003-02-23,686
2003-02-24,554
2003-02-25,530
2003-02-26,473
2003-02-27,423
2003-02-28,311
2003-03-01,334
2003-03-02,355
2003-03-03,445
2003-03-04,380
2003-03-05,345
2003-03-06,312
2003-03-07,275
2003-03-08,232
2003-03-09,233
2003-03-10,256
2003-03-11,277
2003-03-12,269
2003-03-13,206
2003-03-14,177
2003-03-15,187
2003-03-16,204
2003-03-17,196
2003-03-18,187
2003-03-19,200
2003-03-20,272
2003-03-21,692
2003-03-22,589
2003-03-23,1300
2003-03-24,525
2003-03-25,440
2003-03-26,320
2003-03-27,243
2003-03-28,235
2003-03-29,219
2003-03-30,245
2003-03-31,365
2003-04-01,322
2003-04-02,238
2003-04-03,199
2003-04-04,169
2003-04-05,188
2003-04-06,196
2003-04-07,160
2003-04-08,150
2003-04-09,152
2003-04-10,144
2003-04-11,136
2003-04-12,144
2003-04-13,145
2003-04-14,126
2003-04-15,113
2003-04-16,105
2003-04-17,128
2003-04-18,190
2003-04-19,230
2003-04-20,425
2003-04-21,506
2003-04-22,541
2003-04-23,454
2003-04-24,339
2003-04-25,378
2003-04-26,413
2003-04-27,445
2003-04-28,310
2003-04-29,247
2003-04-30,237
2003-05-01,205
2003-05-02,286
2003-05-03,505
2003-05-04,749
2003-05-05,587
2003-05-06,359
2003-05-07,336
2003-05-08,248
2003-05-09,174
2003-05-10,182
2003-05-11,178
2003-05-12,193
2003-05-13,149
2003-05-14,148
2003-05-15,147
2003-05-16,141
2003-05-17,223
2003-05-18,662
2003-05-19,755
2003-05-20,562
2003-05-21,283
2003-05-22,280
2003-05-23,228
2003-05-24,219
2003-05-25,237
2003-05-26,230
2003-05-27,238
2003-05-28,633
2003-05-29,569
2003-05-30,702
2003-05-31,621
2003-06-01,796
2003-06-02,669
2003-06-03,406
2003-06-04,315
2003-06-05,265
2003-06-06,254
2003-06-07,204
2003-06-08,161
2003-06-09,155
2003-06-10,122
2003-06-11,117
2003-06-12,98.8
2003-06-13,74.3
2003-06-14,68.9
2003-06-15,80.4
2003-06-16,60.5
2003-06-17,91.4
2003-06-18,65.3
2003-06-19,69.7
2003-06-20,98.3
2003-06-21,93.8
2003-06-22,77
2003-06-23,71.9
2003-06-24,64.1
2003-06-25,59.7
2003-06-26,49.4
2003-06-27,45.8
2003-06-28,41.3
2003-06-29,41.4
2003-06-30,43.2
2003-07-01,39.8
2003-07-02,32.5
2003-07-03,28.1
2003-07-04,27.2
2003-07-05,26.1
2003-07-06,25.2
2003-07-07,25
2003-07-08,23.5
2003-07-09,22.4
2003-07-10,21.2
2003-07-11,20.2
2003-07-12,20.1
2003-07-13,19.9
2003-07-14,19.4
2003-07-15,18.3
2003-07-16,16.4
2003-07-17,14.8
2003-07-18,13.8
2003-07-19,13.4
2003-07-20,12.8
2003-07-21,12.1
2003-07-22,11.5
2003-07-23,11.2
2003-07-24,10.8
2003-07-25,10.3
2003-07-26,9.77
2003-07-27,9.37
2003-07-28,8.95
2003-07-29,11.1
2003-07-30,6.8
2003-07-31,6.1
2003-08-01,5.4
2003-08-02,4.8
2003-08-03,4.2
2003-08-04,3.8
2003-08-05,3.8
2003-08-06,3.7
2003-08-07,3.8
2003-08-08,4.2
2003-08-09,4.3
2003-08-10,4.2
2003-08-11,4.1
2003-08-12,3.9
2003-08-13,4.1
2003-08-14,4.4
2003-08-15,4.3
2003-08-16,4.3
2003-08-17,4.3
2003-08-18,4.3
2003-08-19,4.3
2003-08-20,4.3
2003-08-21,4.3
2003-08-22,4.3
2003-08-23,4.1
2003-08-24,4
2003-08-25,3.7
2003-08-26,4.1
2003-08-27,3.9
2003-08-28,3.5
2003-08-29,3.6
2003-08-30,5.6
2003-08-31,4
2003-09-01,4.4
2003-09-02,5
2003-09-03,6
2003-09-04,7
2003-09-05,5
2003-09-06,4.8
2003-09-07,70.3
2003-09-08,73.7
2003-09-09,180
2003-09-10,162
2003-09-11,383
2003-09-12,561
2003-09-13,786
2003-09-14,2160
2003-09-15,992
2003-09-16,164
2003-09-17,100
2003-09-18,50
2003-09-19,19
2003-09-20,21
2003-09-21,0.7
2003-09-22,0.4
2003-09-23,0.35
2003-09-24,0.35
2003-09-25,0.4
2003-09-26,0.42
2003-09-27,0.7
2003-09-28,1.4
2003-09-29,1.9
2003-09-30,2.2
2003-10-01,2.84
2003-10-02,6.41
2003-10-03,9.05
2003-10-04,15.1
2003-10-05,12.9
2003-10-06,13.7
2003-10-07,313
2003-10-08,414
2003-10-09,422
2003-10-10,273
2003-10-11,262
2003-10-12,244
2003-10-13,266
2003-10-14,308
2003-10-15,205
2003-10-16,161
2003-10-17,149
2003-10-18,129
2003-10-19,107
2003-10-20,77.5
2003-10-21,42.1
2003-10-22,74.6
2003-10-23,62.9
2003-10-24,66.9
2003-10-25,54.6
2003-10-26,59.2
2003-10-27,49.8
2003-10-28,47.3
2003-10-29,77.5
2003-10-30,92.5
2003-10-31,76.7
2003-11-01,188
2003-11-02,195
2003-11-03,219
2003-11-04,236
2003-11-05,246
2003-11-06,252
2003-11-07,261
2003-11-08,277
2003-11-09,302
2003-11-10,310
2003-11-11,316
2003-11-12,338
2003-11-13,362
2003-11-14,401
2003-11-15,488
2003-11-16,507
2003-11-17,489
2003-11-18,481
2003-11-19,478
2003-11-20,488
2003-11-21,510
2003-11-22,521
2003-11-23,516
2003-11-24,500
2003-11-25,493
2003-11-26,525
2003-11-27,545
2003-11-28,605
2003-11-29,630
2003-11-30,620
2003-12-01,628
2003-12-02,585
2003-12-03,582
2003-12-04,572
2003-12-05,591
2003-12-06,605
2003-12-07,627
2003-12-08,617
2003-12-09,568
2003-12-10,571
2003-12-11,559
2003-12-12,587
2003-12-13,634
2003-12-14,610
2003-12-15,578
2003-12-16,520
2003-12-17,497
2003-12-18,515
2003-12-19,564
2003-12-20,567
2003-12-21,563
2003-12-22,539
2003-12-23,556
2003-12-24,552
2003-12-25,561
2003-12-26,650
2003-12-27,698
2003-12-28,649
2003-12-29,641
2003-12-30,646
2003-12-31,627
2004-01-01,563
2004-01-02,481
2004-01-03,481
2004-01-04,506
2004-01-05,523
2004-01-06,565
2004-01-07,561
2004-01-08,557
2004-01-09,551
2004-01-10,509
2004-01-11,518
2004-01-12,542
2004-01-13,561
2004-01-14,565
2004-01-15,568
2004-01-16,582
2004-01-17,572
2004-01-18,576
2004-01-19,593
2004-01-20,629
2004-01-21,647
2004-01-22,649
2004-01-23,648
2004-01-24,660
2004-01-25,678
2004-01-26,674
2004-01-27,644
2004-01-28,638
2004-01-29,631
2004-01-30,656
2004-01-31,608
2004-02-01,565
2004-02-02,548
2004-02-03,544
2004-02-04,540
2004-02-05,541
2004-02-06,539
2004-02-07,545
2004-02-08,557
2004-02-09,565
2004-02-10,571
2004-02-11,576
2004-02-12,577
2004-02-13,569
2004-02-14,556
2004-02-15,525
2004-02-16,536
2004-02-17,537
