             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 5 (Isleta to Bernardo gage)           

      Vegetation classification: IKONOS 2000 + USU 2001         

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    44938.4 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2003   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2003 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 30       0.0         0.0          0.3         0.9       0.0     0.0        0.0         0.0          0.2               0.0           None        None         None
  Dec. 29       0.0         0.0          0.3         0.8       0.0     0.0        0.0         0.0          0.4               0.0           None        None         None
  Dec. 28       0.0         0.0          0.3         0.9       0.0     0.0        0.0         0.0          0.7               0.0           None        None         None
  Dec. 27       0.0         0.0          0.3         0.9       0.0     0.0        0.0         0.0          0.9               0.0           None        None         None
  Dec. 26       0.0         0.0          0.5         1.1       0.0     0.0        0.0         0.0          1.2               0.0           None        None         None
  Dec. 25       0.0         0.0          0.1         0.4       0.0     0.0        0.0         0.4          1.5               0.0           None        None         None
  Dec. 24       0.0         0.0          0.3         0.8       0.0     0.0        0.0         0.9          1.8               0.0           None        None         None
  Dec. 23       0.0         0.0          0.3         0.8       0.0     0.0        0.0         1.4          2.1               0.0           None        None         None
  Dec. 22       0.0         0.0          0.3         0.8       0.0     0.0        0.0         1.9          2.3               0.0           None        None         None
  Dec. 21       1.8         0.0          0.3         1.5       0.0     0.0        1.8         2.4          2.1          135765.6           None        None         None
  Dec. 20       2.6         0.0          0.5         2.0       0.0     0.0        2.6         2.6          2.2          135762.0           None        None         None
  Dec. 19       2.5         0.0          0.5         2.0       0.0     0.0        2.5         2.7          2.2          135756.9           None        None         None
  Dec. 18       2.5         0.0          0.5         2.0       0.0     0.0        2.5         2.7          2.3          135752.0           None        None         None
  Dec. 17       2.7         0.0          0.5         2.1       0.0     0.0        2.7         2.7          1.8          135747.0           None        None         None
  Dec. 16       2.6         0.0          0.6         2.1       0.0     0.0        2.6         1.7          1.8          135741.7           None        None         None
  Dec. 15       3.4         0.0          0.6         2.7       0.0     0.2        3.2         1.9          1.8          135736.4           None        None         None
  Dec. 14       2.7         0.0          0.6         2.1       0.0     0.0        2.7         1.8          1.7          135730.1           None        None         None
  Dec. 13       2.4         0.0          0.5         1.9       0.0     0.0        2.4         1.8          1.9          135724.8           None        None         None
  Dec. 12       1.6         0.0          0.2         1.3       0.0     3.8       -2.2         0.9          2.0          135720.0           None        None         None
  Dec. 11       3.2         0.0          0.7         2.5       0.0     0.0        3.2         1.9          2.6          135724.4           None        None         None
  Dec. 10       2.9         0.0          0.5         2.3       0.0     0.0        2.9         1.8          2.7          135718.1           None        None         None
  Dec.  9       2.8         0.0          0.5         2.2       0.0     0.0        2.8         1.7          2.8          135712.4           None        None         None
  Dec.  8       2.5         0.0          0.4         2.1       0.0     4.6       -2.1         1.9          2.8          135706.9           None        None         None
  Dec.  7       2.8         0.0          0.4         2.3       0.0     0.0        2.8         3.0          3.2          135711.0           None        None         None
  Dec.  6       2.5         0.0          0.5         2.0       0.0     0.0        2.5         3.3          3.3          135705.5           None        None         None
  Dec.  5       2.5         0.0          0.5         2.0       0.0     0.0        2.5         3.5          3.5          135700.5           None        None         None
  Dec.  4       3.7         0.1          0.7         2.9       0.0     0.0        3.7         3.8          3.5          135695.5           None        None         None
  Dec.  3       3.5         0.1          0.7         2.8       0.0     0.0        3.5         3.7          3.5          135688.2           None        None         None
  Dec.  2       4.2         0.1          0.8         3.4       0.0     0.0        4.2         3.4          3.5          135681.2           None        None         None
  Dec.  1       3.7         0.1          0.7         2.9       0.0     0.0        3.7         3.3          3.8          135672.8           None        None         None
  Nov. 30       3.9         0.1          0.7         3.1       0.0     0.0        3.9         3.5          4.1          135665.4           None        None         None
  Nov. 29       2.9         0.0          0.5         2.3       0.0     0.0        2.9         3.2          4.2          135657.7           None        None         None
  Nov. 28       2.2         0.0          0.3         1.9       0.0     0.0        2.2         3.3          4.5          135652.0           None        None         None
  Nov. 27       3.8         0.1          0.7         3.0       0.0     0.0        3.8         3.6          4.9          135647.7           None        None         None
  Nov. 26       4.7         0.1          0.8         3.8       0.0     0.0        4.7         4.3          5.2          135640.2           None        None         None
  Nov. 25       2.6         0.0          0.5         2.1       0.0     0.0        2.6         4.6          5.2          135630.9           None        None         None
  Nov. 24       3.3         0.0          0.6         2.7       0.0     0.0        3.3         5.2          5.4          135625.7           None        None         None
  Nov. 23       3.4         0.0          0.6         2.8       0.0     0.0        3.4         5.6          5.4          135619.1           None        None         None
  Nov. 22       7.6         0.1          1.3         6.2       0.0     0.1        7.5         6.3        -15.1          135612.3           None        None         None
  Nov. 21       6.3         0.1          2.7         3.6       0.0     0.0        6.3         6.1        -44.1          135597.5           None        None         None
  Nov. 20       5.4         0.1          2.1         3.3       0.0     0.0        5.4         5.8        -46.5          135584.9           None        None         None
  Nov. 19       5.4         0.1          2.0         3.3       0.0     0.0        5.4         5.6        -47.2          135574.2           None        None         None
  Nov. 18       6.6         0.1          2.8         3.7       0.0     0.0        6.6         5.2        -46.9          135563.5           None        None         None
  Nov. 17       6.9         0.1          2.8         4.0       0.0     0.0        6.9       -36.5        -46.7          135550.4           None        None         None
  Nov. 16       5.2         0.0          1.9         3.2       0.0     0.6        4.6       -94.3        -46.6          135536.8           None        None         None
  Nov. 15       4.8         0.0          1.8         2.9       0.0     0.0        4.8       -98.7        -46.2          135527.8           None        None         None
  Nov. 14       3.2         0.0          1.1         2.1       0.0     0.0        3.2      -100.1        -45.7          135518.3           None        None         None
  Nov. 13       0.4         0.0          0.0         0.3       0.0   202.3     -201.9       -99.0        -45.3          135512.0           None        None         None
  Nov. 12       0.4         0.0          0.0         0.4       0.0   282.6     -282.2       -57.0        -24.0          135911.8           None        None         None
  Nov. 11       4.5         0.0          1.8         2.7       0.0    21.8      -17.2         1.2          5.5          136470.6           None        None         None
  Nov. 10       7.8         0.1          3.1         4.7       0.0    10.2       -2.4         6.4          8.2          136504.8           None        None         None
  Nov.  9       8.6         0.1          3.4         5.2       0.0     0.0        8.6         8.6          9.5          136509.4           None        None         None
  Nov.  8       8.3         0.1          3.2         5.0       0.0     0.0        8.3         8.5          9.9          136492.3           None        None         None
  Nov.  7       8.6         0.1          3.8         4.7       0.0     0.0        8.6         8.9         10.9          136476.0           None        None         None
  Nov.  6       8.7         0.1          3.4         5.2       0.0     0.0        8.7         9.8         11.4          136459.0           None        None         None
  Nov.  5       9.1         0.1          3.9         5.1       0.0     0.0        9.1        10.0         11.6          136441.8           None        None         None
  Nov.  4       8.0         0.1          3.2         4.7       0.0     0.0        8.0        10.4         11.8          136423.9           None        None         None
  Nov.  3      10.3         0.1          4.6         5.6       0.0     0.0       10.3        11.3         12.0          136408.1           None        None         None
  Nov.  2      13.2         0.1          6.2         6.9       0.0     0.0       13.2        12.9         12.5          136387.7           None        None         None
  Nov.  1       9.4         0.1          4.1         5.3       0.0     0.0        9.4        12.9         13.3          136361.6           None        None         None
  Oct. 31      11.1         0.1          4.9         6.0       0.0     0.0       11.1        13.2         14.1          136342.9           None        None         None
