             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 5 (Isleta to Bernardo gage)           

      Vegetation classification: IKONOS 2000 + USU 2001          (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    46401.9 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2009   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2009 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 31  F    4.9         0.0          0.6         4.3       0.0     4.9        0.0         1.4          1.5          129901.8            522         456          231
  Dec. 30       3.5         0.0          0.3         3.2       0.0     1.9        1.6         2.3          1.9          129901.9            331         352          171
  Dec. 29       2.3         0.0          0.2         2.1       0.0     2.8       -0.5         2.9          2.3          129898.8            486         273          126
  Dec. 28       2.3         0.0          0.2         2.1       0.0     0.0        2.3         4.1          2.8          129899.9            480         199           68
  Dec. 27       3.6         0.0          0.4         3.2       0.0     0.0        3.6         2.1          3.1          129895.3            465         109           18
  Dec. 26       4.4         0.0          0.4         4.0       0.0     0.0        4.4         1.6          3.4          129888.2           None           6         None
  Dec. 25       4.5         0.0          0.4         4.0       0.0     0.0        4.5         1.6          3.4          129879.4           None        None         None
  Dec. 24       5.7         0.0          0.6         5.2       0.0     0.0        5.7         1.8          3.4          129870.5            114        None         None
  Dec. 23       2.5         0.0          0.2         2.3       0.0    10.4       -7.9         1.6          3.2          129859.2             32        None         None
  Dec. 22       1.4         0.0          0.2         1.2       0.0     0.0        1.4         4.1          4.7          129874.9           None        None         None
  Dec. 21       4.5         0.0          0.4         4.0       0.0     0.0        4.5         5.1          5.1          129872.1           None        None         None
  Dec. 20       5.3         0.0          0.5         4.8       0.0     0.0        5.3         5.1          5.1          129863.3           None        None         None
  Dec. 19       4.5         0.0          0.4         4.1       0.0     0.0        4.5         5.1          5.0          129852.8           None        None         None
  Dec. 18       4.8         0.0          0.4         4.3       0.0     0.0        4.8         4.9          5.1          129843.8           None        None         None
  Dec. 17       6.3         0.0          0.7         5.6       0.0     0.0        6.3         5.3          3.8          129834.3           None        None         None
  Dec. 16       4.5         0.0          0.4         4.1       0.0     0.0        4.5         5.0          3.1          129821.8           None        None         None
  Dec. 15       5.3         0.0          0.5         4.8       0.0     0.0        5.3         5.0          3.4          129812.8           None        None         None
  Dec. 14       3.5         0.0          0.3         3.2       0.0     0.0        3.5         4.8          3.7          129802.3           None        None         None
  Dec. 13       7.0         0.0          0.7         6.3       0.0     0.4        6.6         5.2          3.7          129795.3           None        None         None
  Dec. 12       5.3         0.0          0.5         4.7       0.0     0.0        5.3         2.3          2.8          129782.3           None        None         None
  Dec. 11       4.5         0.0          0.4         4.1       0.0     0.0        4.5         1.1          2.9          129771.9           None        None         None
  Dec. 10       4.2         0.0          0.4         3.7       0.0     0.0        4.2         1.8          3.2          129762.9           None        None         None
  Dec.  9       5.5         0.0          0.5         5.0       0.0     0.0        5.5         2.6          2.9          129754.7           None        None         None
  Dec.  8       7.2         0.0          0.7         6.4       0.0    15.0       -7.8         2.3          2.1          129743.8           None        None         None
  Dec.  7       3.1         0.0          0.2         2.8       0.0     3.9       -0.8         3.3          1.2          129759.3           None        None         None
  Dec.  6       8.0         0.0          0.8         7.2       0.0     0.0        8.0         4.8          2.0          129760.9           None        None         None
  Dec.  5       8.0         0.0          0.8         7.2       0.0     0.0        8.0         4.6          2.0          129745.0           None        None         None
  Dec.  4       4.0         0.0          0.4         3.6       0.0     0.0        4.0         3.2          1.8          129729.1           None        None         None
  Dec.  3       0.4         0.0          0.1         0.4       0.0     3.1       -2.7         1.9          2.1          129721.2           None        None            4
  Dec.  2       6.5         0.0          0.6         5.8       0.0     0.0        6.5        -0.8          3.3          129726.5           None        None           10
  Dec.  1       7.2         0.1          0.6         6.5       0.0     0.0        7.2        -0.7          3.5          129713.6           None          15           20
  Nov. 30       3.5         0.0          0.3         3.1       0.0     2.4        1.1        -0.7          4.6          129699.4             26          25           25
  Nov. 29       1.6         0.0          0.1         1.4       0.0     4.0       -2.5         0.5          6.3          129697.3             26          25           25
  Nov. 28       3.4         0.0          0.2         3.2       0.0    19.8      -16.3         2.3          8.9          129702.2             26          25           26
  Nov. 27       7.2         0.0          0.6         6.5       0.0     0.0        7.2         7.4         12.3          129734.6             26          25           27
  Nov. 26       7.2         0.0          0.6         6.5       0.0     0.0        7.2         7.6         13.7          129720.4             25          25           39
  Nov. 25       6.8         0.0          0.6         6.1       0.0     0.0        6.8         9.9         14.7          129706.2             25          25           60
  Nov. 24       6.8         0.0          0.6         6.1       0.0     0.0        6.8        12.2         15.7          129692.8             25          26           76
  Nov. 23       9.3         0.1          0.8         8.4       0.0     0.0        9.3        15.5         15.8          129679.4             25          26           91
  Nov. 22       8.2         0.0          0.7         7.5       0.0     0.0        8.2        17.2         16.7          129661.0             26          29          107
  Nov. 21      18.3         0.0         11.4         6.9       0.0     0.0       18.3        19.8         16.6          129644.8             27          52          124
  Nov. 20      18.5         0.0         11.4         7.1       0.0     0.0       18.5        19.4         16.9          129608.5             27          95          139
  Nov. 19      23.3         0.0         14.6         8.7       0.0     0.0       23.3        19.1         17.3          129571.9             28         127          156
  Nov. 18      17.9         0.1         10.7         7.1       0.0     0.0       17.9        16.1         17.7          129525.7             39         156          175
  Nov. 17      20.8         0.0         12.6         8.2       0.0     0.0       20.8        16.1         18.6          129490.3            143         185          186
  Nov. 16      16.7         0.0         10.2         6.4       0.0     0.0       16.7        13.5         19.3          129449.1            242         196          191
  Nov. 15      17.3         0.0         10.0         7.2       0.0     0.3       17.0        14.3         20.6          129416.1            184         183          189
  Nov. 14       8.7         0.0          5.0         3.7       0.0     0.4        8.3        15.5         21.9          129382.4            176         185          197
  Nov. 13      17.8         0.0         11.5         6.2       0.0     0.1       17.6        19.2         24.4          129366.0            180         193          207
  Nov. 12       7.9         0.0          4.6         3.2       0.0     0.0        7.9        21.2         26.5          129331.0            201         187          218
  Nov. 11      20.8         0.0         12.6         8.2       0.0     0.0       20.8        25.0         29.2          129315.5            178         186          229
