             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 5 (Isleta to Bosque, NM gage)         "

      Vegetation classification: IKONOS 2000 + USU 2001          (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    37324.5 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2011   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2011 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 31  F    3.5         0.0          0.3         3.1       0.0     0.0        3.5         1.5         -3.7           74394.3           None        None         None
  Dec. 30       0.9         0.0          0.0         0.8       0.0     0.0        0.9         1.0         -3.9           74387.4           None        None         None
  Dec. 29       1.3         0.0          0.1         1.2       0.0     0.0        1.3         1.0         -4.0           74385.7           None        None         None
  Dec. 28       1.1         0.0          0.1         1.0       0.0     0.0        1.1         0.9        -10.9           74383.1           None        None         None
  Dec. 27       0.9         0.0          0.0         0.8       0.0     0.0        0.9        -0.5        -12.3           74380.8           None        None         None
  Dec. 26       0.9         0.0          0.0         0.8       0.0     0.0        0.9        -8.9        -12.2           74379.1           None        None         None
  Dec. 25       0.9         0.0          0.1         0.8       0.0     0.0        0.9        -8.9        -12.2           74377.4           None        None         None
  Dec. 24       0.9         0.0          0.1         0.7       0.0     0.0        0.9        -9.0        -12.2           74375.6           None        None         None
  Dec. 23       1.5         0.0          0.1         1.3       0.0     7.7       -6.3       -22.8        -12.4           74373.8           None        None         None
  Dec. 22       1.7         0.0          0.2         1.5       0.0    42.5      -40.8       -24.0        -13.6           74386.3           None        None         None
  Dec. 21       0.8         0.0          0.0         0.8       0.0     0.0        0.8       -15.6        -16.1           74467.0           None        None         None
  Dec. 20       0.5         0.0          0.0         0.5       0.0     0.0        0.5       -15.6        -16.1           74465.4           None        None         None
  Dec. 19       0.1         0.0          0.0         0.1       0.0    68.1      -68.0       -15.4        -16.0           74464.4           None        None         None
  Dec. 18       1.2         0.0          0.1         1.1       0.0    13.5      -12.3        -2.1         -9.1           74599.1           None        None         None
  Dec. 17       0.9         0.0          0.1         0.8       0.0     0.0        0.9        -3.3         -7.8           74623.4           None        None         None
  Dec. 16       1.0         0.0          0.1         0.9       0.0     0.0        1.0       -16.5         -7.8           74621.7           None        None         None
  Dec. 15       1.4         0.0          0.1         1.2       0.0     0.0        1.4       -16.5         -7.8           74619.7           None        None         None
  Dec. 14       1.8         0.0          0.1         1.6       0.0     3.3       -1.5       -16.6        -13.1           74617.1           None        None         None
  Dec. 13       0.1         0.0          0.0         0.1       0.0    18.1      -18.0       -16.1        -13.6           74620.1           None        None         None
  Dec. 12       0.4         0.0          0.0         0.4       0.0    65.8      -65.4       -12.3        -12.5           74655.7           None        None         None
  Dec. 11       0.9         0.0          0.1         0.8       0.0     0.0        0.9         0.9         -7.2           74785.1           None        None         None
  Dec. 10       0.9         0.0          0.1         0.8       0.0     0.0        0.9         0.9         -6.6           74783.4           None        None         None
  Dec.  9       0.9         0.0          0.1         0.8       0.0     0.0        0.9        -9.6         -6.4           74781.7           None        None         None
  Dec.  8       1.0         0.0          0.1         0.9       0.0     0.0        1.0       -11.1         -6.3           74779.8           None        None         None
  Dec.  7       0.9         0.0          0.1         0.8       0.0     0.0        0.9       -12.7         -6.1           74777.9           None        None         None
  Dec.  6       0.7         0.0          0.0         0.6       0.0     0.0        0.7       -15.2         -6.0           74776.2           None        None         None
  Dec.  5       1.2         0.0          0.1         1.1       0.0    52.6      -51.3       -14.1         -5.6           74774.9           None        None         None
  Dec.  4       0.4         0.0          0.0         0.4       0.0     6.9       -6.5        -3.2         -0.4           74876.5           None        None         None
