             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 5 (Isleta to Bosque, NM gage)         "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    29842.6 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2012   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2012 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  F    9.6         0.0          1.6         8.0       0.0     0.0        9.6         6.6          7.0          119411.8
  Dec. 30       6.1         0.0          1.0         5.1       0.0    -0.0        6.1         5.9          6.6          119392.8
  Dec. 29       5.7         0.0          0.9         4.8       0.0    -0.0        5.7         5.9          6.6          119380.6
  Dec. 28       5.6         0.0          0.9         4.6       0.0    -0.0        5.6         6.4          6.1          119369.3
  Dec. 27       5.8         0.0          0.9         4.8       0.0    -0.0        5.8         7.0          6.3          119358.3
  Dec. 26       6.3         0.0          1.0         5.2       0.0    -0.0        6.3         7.4          6.4          119346.8
  Dec. 25       6.2         0.0          1.0         5.2       0.0    -0.0        6.2         7.4          6.3          119334.4
  Dec. 24       8.4         0.0          1.4         7.0       0.0     0.1        8.3         7.3          6.0          119322.1
  Dec. 23       8.5         0.0          1.4         7.0       0.0    -0.0        8.5         5.8          5.6          119305.6
  Dec. 22       7.6         0.0          1.3         6.3       0.0    -0.0        7.6         5.5          5.6          119288.9
  Dec. 21       6.2         0.0          1.0         5.2       0.0     0.0        6.2         5.3          5.5          119273.9
  Dec. 20       5.8         0.0          0.9         4.8       0.0     0.0        5.8         5.2          5.5          119261.6
  Dec. 19       4.7         0.0          0.8         3.9       0.0     3.6        1.1         4.7          5.5          119250.2
  Dec. 18       7.0         0.0          1.2         5.8       0.0     0.0        7.0         5.5          6.2          119248.1
  Dec. 17       6.7         0.0          1.1         5.6       0.0    -0.0        6.7         5.6          6.5          119234.3
  Dec. 16       5.9         0.0          1.0         4.9       0.0     0.5        5.4         5.7          6.9          119220.9
  Dec. 15       6.6         0.0          1.1         5.5       0.0     3.4        3.2         5.9          7.4          119210.2
  Dec. 14       6.3         0.0          1.1         5.3       0.0     1.4        4.9         6.4          8.1          119203.8
  Dec. 13       7.7         0.0          1.3         6.4       0.0     0.0        7.7         7.0          8.6          119194.0
  Dec. 12       7.2         0.0          1.2         5.9       0.0     0.0        7.2         7.4          8.9          119178.8
