             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 5 (Isleta to Bosque, NM gage)         "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    27430.8 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2017   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2017 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  F    9.1         0.0          1.5         7.6       0.0    -0.0        9.1         9.3          8.7           85923.9
  Dec. 30       9.6         0.0          1.6         8.0       0.0    -0.0        9.6         9.4          8.4           85905.9
  Dec. 29       9.6         0.0          1.6         8.0       0.0    -0.0        9.6         9.4          8.2           85886.8
  Dec. 28       9.6         0.0          1.6         8.0       0.0    -0.0        9.6         9.0          7.9           85867.7
  Dec. 27       8.7         0.0          1.5         7.2       0.0    -0.0        8.7         8.6          7.2           85848.7
  Dec. 26       9.4         0.0          1.6         7.8       0.0    -0.0        9.4         8.0          6.9           85831.4
  Dec. 25       9.5         0.0          1.6         7.9       0.0    -0.0        9.5         7.4          6.6           85812.8
  Dec. 24       8.0         0.0          1.3         6.7       0.0     0.0        8.0         7.1          6.4           85794.0
  Dec. 23       7.2         0.0          1.2         6.0       0.0     0.0        7.2         6.8          6.2           85778.2
  Dec. 22       5.8         0.0          0.9         4.8       0.0    -0.0        5.8         5.9          6.3           85763.9
  Dec. 21       6.7         0.0          1.1         5.6       0.0    -0.0        6.7         5.9          6.5           85752.4
  Dec. 20       7.7         0.0          1.3         6.4       0.0     0.0        7.7         5.9          6.6           85739.1
  Dec. 19       6.8         0.0          1.1         5.6       0.0    -0.0        6.8         5.7          6.6           85723.9
  Dec. 18       6.8         0.0          1.1         5.6       0.0     4.4        2.3         5.6          6.7           85710.5
  Dec. 17       5.7         0.0          0.9         4.8       0.0    -0.0        5.7         6.7          7.1           85705.9
  Dec. 16       6.7         0.0          1.1         5.6       0.0    -0.0        6.7         7.1          6.9           85694.5
  Dec. 15       6.8         0.0          1.1         5.6       0.0    -0.0        6.8         7.3          6.9           85681.1
  Dec. 14       6.6         0.0          1.1         5.5       0.0    -0.0        6.6         7.5          6.8           85667.8
  Dec. 13       7.7         0.0          1.3         6.4       0.0    -0.0        7.7         7.7          6.9           85654.6
  Dec. 12       7.7         0.0          1.3         6.4       0.0    -0.0        7.7         7.5          7.2           85639.4
  Dec. 11       7.7         0.0          1.3         6.4       0.0    -0.0        7.7         6.6          7.3           85624.1
  Dec. 10       7.7         0.0          1.3         6.4       0.0    -0.0        7.7         6.4          7.4           85608.8
  Dec.  9       7.7         0.0          1.3         6.4       0.0    -0.0        7.7         6.2          7.5           85593.4
  Dec.  8       6.8         0.0          1.1         5.6       0.0    -0.0        6.8         6.1          7.6           85578.2
  Dec.  7       3.8         0.0          0.6         3.2       0.0     0.8        3.0         6.9          7.8           85564.8
  Dec.  6       6.8         0.0          1.1         5.7       0.0    -0.0        6.8         8.0          8.6           85558.8
  Dec.  5       6.8         0.0          1.1         5.6       0.0     0.2        6.6         8.4          9.1           85545.4
  Dec.  4       7.3         0.0          1.2         6.1       0.0    -0.0        7.3         8.8          9.5           85532.3
  Dec.  3      10.6         0.0          1.8         8.8       0.0    -0.0       10.6         9.1          9.9           85517.8
  Dec.  2       8.9         0.0          1.5         7.4       0.0     0.0        8.9         8.7         10.0           85496.8
  Dec.  1       8.5         0.0          1.4         7.1       0.0    -0.0        8.5         9.2         10.2           85479.3
  Nov. 30       8.7         0.0          1.5         7.2       0.0    -0.0        8.7         9.8         10.4           85462.4
  Nov. 29       8.7         0.0          1.5         7.2       0.0    -0.0        8.7        10.2         10.5           85445.2
  Nov. 28       8.6         0.0          1.4         7.2       0.0    -0.0        8.6        10.8         10.5           85428.1
  Nov. 27      11.6         0.0          1.9         9.7       0.0    -0.0       11.6        11.4         10.5           85411.0
  Nov. 26      11.6         0.0          1.9         9.6       0.0    -0.0       11.6        11.2         10.7           85388.0
  Nov. 25      10.7         0.0          1.8         9.0       0.0    -0.0       10.7        11.0         10.9           85365.1
  Nov. 24      11.6         0.0          1.9         9.6       0.0    -0.0       11.6        10.8         11.0           85343.9
  Nov. 23      11.5         0.0          1.9         9.6       0.0    -0.0       11.5        10.3         11.3           85321.0
  Nov. 22      10.6         0.0          1.8         8.8       0.0     0.0       10.6         9.7         18.8           85298.2
  Nov. 21      10.6         0.0          1.8         8.9       0.0     0.0       10.6        10.3         25.6           85277.1
  Nov. 20       9.9         0.0          1.6         8.2       0.0     0.0        9.9        10.8         33.9           85256.1
  Nov. 19       8.7         0.0          1.5         7.2       0.0     0.0        8.7        11.2         42.4           85236.5
  Nov. 18       8.6         0.0          1.5         7.2       0.0    -0.0        8.6        12.3         50.0           85219.3
  Nov. 17      13.5         0.0          2.3        11.2       0.0     0.0       13.5        27.9         56.7           85202.2
