             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 5 (Isleta to Bosque, NM gage)         "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    26795.4 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2018   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2018 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 11  F    6.8         0.0          1.1         5.6       0.0    -0.0        6.8         6.4          4.9           92792.7
  Dec. 10  F    6.8         0.0          1.1         5.6       0.0    -0.0        6.8         6.4          4.8           92779.3
  Dec.  9  F    6.8         0.0          1.1         5.6       0.0    -0.0        6.8         6.4          4.8           92765.9
  Dec.  8  F    6.8         0.0          1.1         5.6       0.0    -0.0        6.8         6.0          4.9           92752.6
  Dec.  7  F    4.8         0.0          0.8         4.0       0.0    -0.0        4.8         5.6          5.1           92739.2
  Dec.  6  F    6.8         0.0          1.1         5.6       0.0    -0.0        6.8         3.4          5.4           92729.7
  Dec.  5  F    6.8         0.0          1.1         5.6       0.0    -0.0        6.8         3.3          5.5           92716.3
  Dec.  4  *    4.8         0.0          0.8         4.0       0.0    -0.0        4.8         3.2          5.5           92703.0
  Dec.  3  *    4.8         0.0          0.8         4.0       0.0    -0.0        4.8         3.9          6.1           92693.5
  Dec.  2  *    6.7         0.0          1.1         5.6       0.0    12.9       -6.1         4.7          6.4           92684.0
  Dec.  1  *    6.7         0.0          1.1         5.6       0.0     0.2        6.5         7.5          7.9           92696.1
  Nov. 30  *    6.7         0.0          1.1         5.6       0.0     0.9        5.8         7.6          8.1           92683.3
  Nov. 29  *    8.7         0.0          1.5         7.2       0.0    -0.0        8.7         7.8          8.4           92671.8
  Nov. 28  *    8.7         0.0          1.5         7.2       0.0    -0.0        8.7         8.2          8.4           92654.6
  Nov. 27  *    7.7         0.0          1.3         6.4       0.0    -0.0        7.7         8.2          8.4           92637.4
  Nov. 26  *    7.3         0.0          1.2         6.1       0.0    -0.0        7.3         8.4          8.6           92622.2
  Nov. 25  *    6.7         0.0          1.1         5.6       0.0    -0.0        6.7         8.6          8.8           92607.7
  Nov. 24  *   10.5         0.0          1.8         8.8       0.0    -0.0       10.5         9.0          9.0           92594.3
  Nov. 23  *    8.6         0.0          1.5         7.2       0.0    -0.0        8.6         8.6          8.8           92573.4
  Nov. 22  *    8.7         0.0          1.5         7.2       0.0    -0.0        8.7         8.6         11.8           92556.3
  Nov. 21  *    8.6         0.0          1.5         7.2       0.0     0.0        8.6         8.7         -1.5           92539.2
  Nov. 20  *    8.6         0.0          1.5         7.2       0.0    -0.0        8.6         8.9          3.3           92522.1
  Nov. 19  *    8.3         0.0          1.4         6.9       0.0    -0.0        8.3         9.0          8.3           92504.9
  Nov. 18  *    8.7         0.0          1.5         7.2       0.0    -0.0        8.7         9.0         12.8           92488.5
  Nov. 17  *    9.4         0.0          1.6         7.8       0.0    -0.0        9.4        15.1         19.3           92471.4
  Nov. 16  *    9.4         0.0          1.6         7.8       0.0    -0.0        9.4       -11.7         27.6           92452.8
  Nov. 15  *    9.4         0.0          1.6         7.8       0.0    -0.0        9.4        -2.2         36.2           92434.2
  Nov. 14  *    8.1         0.0          1.4         6.7       0.0    -0.0        8.1         7.6         44.8           92415.7
  Nov. 13  *   39.2        33.3          1.0         4.8       0.0     0.0       39.2        16.6         52.4           92399.7
  Nov. 12  *   29.7        25.5          0.7         3.5       0.0   154.1     -124.3        23.6         56.9           92322.2
  Nov. 11  *   58.5        46.6          4.7         7.2       0.0     2.0       56.5        66.8         78.1           92568.4
  Nov. 10  *   58.5        46.6          4.7         7.2       0.0     0.0       58.5        74.6         81.0           92456.4
  Nov.  9  *   53.1        41.1          5.3         6.7       0.0     0.0       53.1        82.1         58.7           92340.7
  Nov.  8  *   74.2        56.6          8.5         9.1       0.0     0.0       74.2        88.2         58.0           92235.6
  Nov.  7  *   91.8        69.9         10.7        11.2       0.0     0.0       91.8        90.1         62.5           92088.6
  Nov.  6  *   95.2        72.2         11.5        11.5       0.0     0.0       95.2        89.3         65.7           91906.8
  Nov.  5  *   96.2        72.2         12.5        11.5       0.0     0.0       96.2        87.4         68.3           91718.3
  Nov.  4  *   83.8        62.1         12.1         9.6       0.0     0.0       83.8        35.2         69.7           91527.8
  Nov.  3  *   83.8        62.1         12.1         9.6       0.0     0.0       83.8        27.8         72.3           91362.0
  Nov.  2  *   87.5        64.4         12.9        10.2       0.0     0.0       87.5        34.9         30.4           91196.1
  Nov.  1  *   85.5        62.1         13.8         9.6       0.0     0.0       85.5        42.1        -38.3           91022.9
  Oct. 31  *   53.3        38.8          8.6         5.9       0.0   217.8     -164.5        49.2        -35.5           90853.5
  Oct. 30  *   97.0        69.9         15.9        11.2       0.0    50.3       46.6       104.3         -8.3           91179.2
  Oct. 29  *  119.5        85.5         21.3        12.8       0.0     0.0      119.5       116.8         -1.2           91086.8
  Oct. 28  *  123.2        87.8         22.1        13.3       0.0     0.0      123.2        25.9         -2.1           90850.2
  Oct. 27  *  121.2        85.5         22.9        12.7       0.0     0.0      121.2      -118.7         -6.8           90606.3
  Oct. 26  *  110.8        77.7         21.1        12.0       0.0     0.0      110.8      -120.1        -12.0           90366.4
  Oct. 25  *  109.1        75.4         22.1        11.7       0.0     0.0      109.1      -120.8        -25.1           90147.0
  Oct. 24  *   83.7        56.7         17.9         9.1       0.0   418.3     -334.6      -119.1        -33.6           89931.0
  Oct. 23  *   87.2        59.8         18.1         9.3       0.0   687.3     -600.1       -30.1        -27.4           90593.6
  Oct. 22  *  114.2        77.7         24.6        12.0       0.0     0.0      114.2       105.2         45.5           91781.7
  Oct. 21  *  107.2        72.3         23.4        11.5       0.0     0.0      107.2        96.2         44.4           91555.6
  Oct. 20  *  117.6        80.1         25.3        12.3       0.0     0.0      117.6        70.6         47.4           91343.4
  Oct. 19  *  110.5        74.6         24.2        11.7       0.0     0.0      110.5        52.0         49.4           91110.5
  Oct. 18  *   76.6        52.1         16.5         7.9       0.0     0.0       76.6       -24.7         45.8           90891.7
  Oct. 17  *   68.9        46.6         15.1         7.2       0.0     0.0       68.9       -14.3         37.2           90740.1
  Oct. 16  *   71.5        48.9         15.4         7.2       0.0    92.2      -20.7        -7.4         26.1           90603.7
  Oct. 15  *   59.1        42.0         11.6         5.5       0.0    34.4       24.7        24.3         43.7           90644.7
  Oct. 14  *  103.7        69.9         22.6        11.2       0.0   376.9     -273.2        46.9         58.6           90595.8
  Oct. 13  *  129.0        87.8         27.9        13.3       0.0     0.0      129.0       116.4        104.0           91136.7
  Oct. 12  *  114.2        77.7         24.6        12.0       0.0    11.2      103.1        88.7        108.8           90881.2
  Oct. 11  *  141.1        95.5         30.9        14.6       0.0     3.3      137.8        59.7        104.4           90677.1
  Oct. 10  *  137.7        93.2         30.1        14.4       0.0     0.0      137.7        63.2        100.1           90404.3
  Oct.  9  *  107.2        72.3         23.4        11.5       0.0    32.6       74.6        70.3        107.1           90131.7
  Oct.  8  *  110.9        75.4         23.8        11.7       0.0   120.8       -9.9        91.5        119.3           89984.0
  Oct.  7  *  144.9        98.7         31.3        14.9       0.0   186.8      -41.9       128.9        141.3           90003.5
  Oct.  6  *  155.3       105.7         33.6        16.0       0.0     0.0      155.3       149.2        164.8           90086.4
