             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 6 (Bernardo to San Acacia gage)       

      Vegetation classification: IKONOS 2000 + USU 2001         

      ET TOOLBOX classes (ag. + rip. + open water + urb.):     6192.0 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2005   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2005 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec.  4       1.9         0.0          0.2         1.6       0.0     0.0        1.9         2.0          1.8           17410.1           None        None         None
  Dec.  3       1.9         0.0          0.2         1.6       0.0     0.0        1.9         1.9          1.8           17406.4           None        None         None
  Dec.  2       2.5         0.0          0.3         2.2       0.0     0.0        2.5         1.9          1.8           17402.7           None        None         None
  Dec.  1       1.9         0.0          0.2         1.6       0.0     0.0        1.9         1.8          1.7           17397.7           None        None         None
  Nov. 30       2.1         0.0          0.2         1.8       0.0     0.0        2.1         1.6          2.0           17394.0           None        None         None
  Nov. 29       1.1         0.0          0.1         1.0       0.0     0.0        1.1         1.6          2.2           17389.9           None        None         None
  Nov. 28       2.1         0.0          0.2         1.8       0.0     0.0        2.1         1.7          2.5           17387.7           None        None         None
  Nov. 27       1.9         0.0          0.2         1.6       0.0     0.0        1.9         1.7          2.7           17383.6           None        None         None
  Nov. 26       1.6         0.0          0.2         1.4       0.0     0.5        1.1         1.7          3.1           17379.9           None        None         None
  Nov. 25       2.1         0.0          0.2         1.8       0.0     0.0        2.1         2.4          3.4           17377.7           None        None         None
  Nov. 24       1.6         0.0          0.2         1.4       0.0     0.0        1.6         2.7          3.8           17373.6           None        None         None
  Nov. 23       1.8         0.0          0.2         1.6       0.0     0.0        1.8         3.3          4.3           17370.5           None        None         None
  Nov. 22       1.8         0.0          0.2         1.6       0.0     0.0        1.8         3.7          4.6           17366.9           None        None         None
  Nov. 21       4.6         0.0          2.8         1.8       0.0     0.0        4.6         4.6          5.2           17363.3           None        None         None
  Nov. 20       3.8         0.0          2.3         1.4       0.0     0.0        3.8         4.4          5.7           17354.2           None        None         None
  Nov. 19       4.4         0.0          2.8         1.6       0.0     0.0        4.4         4.8          6.1           17346.8           None        None         None
  Nov. 18       4.0         0.0          2.3         1.6       0.0     0.0        4.0         5.2          6.4           17338.1           None        None         None
  Nov. 17       6.1         0.0          3.9         2.2       0.0     0.0        6.1         5.5          6.8           17330.3           None        None         None
  Nov. 16       4.0         0.0          2.3         1.6       0.0     0.0        4.0         5.9          7.2           17318.1           None        None         None
  Nov. 15       5.7         0.0          3.5         2.2       0.0     0.0        5.7         6.9          8.0           17310.2           None        None         None
  Nov. 14       6.4         0.0          3.9         2.4       0.0     0.0        6.4         7.3          8.6           17298.9           None        None         None
  Nov. 13       5.5         0.0          3.4         2.0       0.0     0.0        5.5         7.5          9.3           17286.3           None        None         None
  Nov. 12       7.9         0.0          5.1         2.8       0.0     0.0        7.9         8.0          9.2           17275.4           None        None         None
  Nov. 11       9.0         0.0          5.7         3.3       0.0     0.0        9.0         8.4          9.6           17259.7           None        None         None
