             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 6 (Bosque, NM to San Acacia gage)     "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    15008.9 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2012   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2012 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  F    7.6         0.0          1.0         6.6       0.0    -0.0        7.6         4.6          4.7           65336.4
  Dec. 30       4.5         0.0          0.6         3.9       0.0    -0.0        4.5         4.1          4.4           65321.3
  Dec. 29       4.3         0.0          0.6         3.8       0.0     0.0        4.3         4.1          4.4           65312.3
  Dec. 28       3.3         0.0          0.4         2.9       0.0    -0.0        3.3         3.8          4.1           65303.8
  Dec. 27       4.3         0.0          0.6         3.8       0.0     0.9        3.5         4.4          4.3           65297.3
  Dec. 26       5.1         0.0          0.7         4.4       0.0    -0.0        5.1         4.8          4.5           65290.5
  Dec. 25       4.3         0.0          0.6         3.8       0.0    -0.0        4.3         4.7          4.2           65280.4
  Dec. 24       5.5         0.0          0.7         4.7       0.0     2.6        2.8         4.7          3.9           65271.9
  Dec. 23       6.3         0.0          0.8         5.4       0.0    -0.0        6.3         4.4          3.6           65266.2
  Dec. 22       5.5         0.0          0.7         4.8       0.0    -0.0        5.5         4.3          3.6           65253.9
  Dec. 21       4.6         0.0          0.6         4.0       0.0    -0.0        4.6         4.2          3.6           65243.0
  Dec. 20       4.3         0.0          0.6         3.8       0.0    -0.0        4.3         3.8          3.6           65234.0
  Dec. 19       2.9         0.0          0.4         2.5       0.0     1.6        1.2         3.1          3.7           65225.4
  Dec. 18       5.8         0.0          0.7         5.0       0.0    -0.0        5.8         2.9          4.0           65223.0
  Dec. 17       5.2         0.0          0.7         4.6       0.0    -0.0        5.2         2.9          4.1           65211.5
  Dec. 16       4.9         0.0          0.6         4.3       0.0     2.6        2.4         3.0          4.4           65201.2
  Dec. 15       4.5         0.0          0.6         4.0       0.0     3.9        0.7         3.4          4.9           65196.4
  Dec. 14       5.1         0.0          0.7         4.4       0.0     4.6        0.5         4.3          5.6           65195.1
  Dec. 13       5.8         0.0          0.7         5.0       0.0     0.1        5.7         5.1          6.3           65194.2
  Dec. 12       5.7         0.0          0.7         4.9       0.0    -0.0        5.7         5.4          6.5           65182.9
  Dec. 11       4.6         0.0          0.6         4.0       0.0    -0.0        4.6         5.7          6.7           65171.7
  Dec. 10       4.9         0.0          0.6         4.3       0.0    -0.0        4.9         6.4          7.1           65162.7
  Dec.  9       5.7         0.0          0.7         4.9       0.0     1.2        4.4         7.0          7.3           65152.9
  Dec.  8       7.4         0.0          1.0         6.4       0.0    -0.0        7.4         7.6          7.7           65144.1
  Dec.  7       7.4         0.0          1.0         6.4       0.0    -0.0        7.4         7.6          7.8           65129.4
  Dec.  6       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         7.7          7.7           65114.8
  Dec.  5       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         7.7          7.7           65099.1
  Dec.  4       7.2         0.0          0.9         6.3       0.0    -0.0        7.2         7.7          7.7           65083.4
  Dec.  3       7.4         0.0          1.0         6.4       0.0    -0.0        7.4         7.8          7.6           65069.2
  Dec.  2       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         7.9          7.5           65054.5
  Dec.  1       8.1         0.0          1.1         7.1       0.0    -0.0        8.1         7.6          7.6           65038.8
  Nov. 30       7.7         0.0          1.0         6.7       0.0    -0.0        7.7         7.6          7.6           65022.7
  Nov. 29       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         7.6          7.7           65007.4
  Nov. 28       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         7.4          7.7           64991.6
  Nov. 27       6.5         0.0          0.8         5.6       0.0    -0.0        6.5         7.1          7.4           64975.9
  Nov. 26       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         7.5          7.5           64963.1
  Nov. 25       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         7.7          7.5           64947.5
  Nov. 24       6.9         0.0          0.9         6.0       0.0    -0.0        6.9         7.7          7.5           64931.8
  Nov. 23       6.5         0.0          0.8         5.7       0.0    -0.0        6.5         7.9          7.6           64918.1
  Nov. 22       8.5         0.0          1.1         7.4       0.0     0.0        8.5         7.6          7.6           64905.3
  Nov. 21       8.6         0.0          1.1         7.4       0.0     0.0        8.6         7.5          8.8           64888.4
  Nov. 20       7.9         0.0          1.0         6.9       0.0     0.0        7.9         7.4          9.6           64871.4
  Nov. 19       7.9         0.0          1.0         6.9       0.0     0.0        7.9         7.4         11.2           64855.7
