             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 6 (Bosque, NM to San Acacia gage)     "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    15067.1 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2014   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2014 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  F    4.1         0.0          0.6         3.6       0.0     0.8        3.3        -4.1         -4.2           49823.0
  Dec. 30       3.3         0.0          0.4         2.9       0.0     9.4       -6.1        -5.8         -4.8           49816.5
  Dec. 29       4.5         0.0          0.6         3.9       0.0     9.4       -4.9        -5.2         -4.6           49828.6
  Dec. 28       2.8         0.0          0.4         2.5       0.0     9.4       -6.5        -5.2         -4.5           49838.2
  Dec. 27       3.3         0.0          0.4         2.9       0.0     9.4       -6.1        -4.9         -4.3           49851.1
  Dec. 26       4.1         0.0          0.6         3.6       0.0     9.4       -5.2        -4.3         -4.2           49863.2
  Dec. 25       6.3         0.0          0.8         5.4       0.0     9.4       -3.1        -3.8         -4.0           49873.6
  Dec. 24       4.6         0.0          0.6         4.0       0.0     9.4       -4.8        -4.0         -4.2           49879.8
  Dec. 23       4.1         0.0          0.6         3.6       0.0     9.4       -5.3        -3.9         -4.1           49889.3
  Dec. 22       6.5         0.0          0.8         5.7       0.0     9.4       -2.9        -3.8         -4.0           49899.7
  Dec. 21       6.5         0.0          0.8         5.7       0.0     9.4       -2.9        -4.1         -3.9           49905.4
  Dec. 20       5.1         0.0          0.7         4.4       0.0     9.4       -4.3        -4.3         -3.8           49911.1
  Dec. 19       5.1         0.0          0.7         4.4       0.0     9.4       -4.3        -4.3         -3.7           49919.7
  Dec. 18       4.9         0.0          0.6         4.3       0.0     9.4       -4.4        -4.3         -3.6           49928.2
  Dec. 17       5.1         0.0          0.7         4.4       0.0     9.4       -4.3        -4.1         -3.5           49937.0
  Dec. 16       5.2         0.0          0.7         4.6       0.0     9.4       -4.1        -3.8         -3.4           49945.6
  Dec. 15       5.1         0.0          0.7         4.4       0.0     9.4       -4.3        -3.4         -3.3           49953.8
  Dec. 14       5.1         0.0          0.7         4.4       0.0     9.4       -4.3        -3.2         -3.3           49962.3
  Dec. 13       5.8         0.0          0.7         5.0       0.0     9.4       -3.6        -2.9         -4.0           49970.9
  Dec. 12       7.0         0.0          0.9         6.1       0.0     9.4       -2.4        -2.8         -3.3           49978.1
  Dec. 11       7.2         0.0          0.9         6.2       0.0     9.4       -2.2        -3.0         -2.5           49982.8
  Dec. 10       6.2         0.0          0.8         5.4       0.0     9.4       -3.2        -3.3         -1.6           49987.2
  Dec.  9       6.2         0.0          0.8         5.4       0.0     9.4       -3.2        -3.4         -0.5           49993.5
  Dec.  8       6.2         0.0          0.8         5.4       0.0     9.4       -3.2        -5.0          0.7           49999.8
  Dec.  7       6.2         0.0          0.8         5.4       0.0     9.4       -3.2        -3.8          1.8           50006.2
  Dec.  6       5.7         0.0          0.7         5.0       0.0     9.4       -3.6        -1.9          2.8           50012.5
  Dec.  5       5.8         0.0          0.7         5.0       0.0     9.4       -3.6         0.1          3.8           50019.7
  Dec.  4       5.8         0.0          0.7         5.0       0.0    17.0      -11.2         2.4          4.7           50026.9
  Dec.  3       7.2         0.0          0.9         6.2       0.0     4.6        2.6         6.4          6.4           50049.1
  Dec.  2       6.4         0.0          0.8         5.5       0.0     0.0        6.4         7.4          6.7           50044.0
  Dec.  1       6.4         0.0          0.8         5.6       0.0     0.0        6.4         7.5          6.7           50031.4
  Nov. 30       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         7.5          6.7           50018.7
  Nov. 29       8.5         0.0          1.1         7.4       0.0     0.0        8.5         7.0          6.6           50003.0
  Nov. 28       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         6.4          6.4           49986.1
  Nov. 27       6.5         0.0          0.8         5.7       0.0     0.0        6.5         5.9          6.1           49970.4
  Nov. 26       6.5         0.0          0.8         5.7       0.0     0.0        6.5         6.0          6.0           49957.5
  Nov. 25       5.7         0.0          0.7         4.9       0.0    -0.0        5.7         6.0          4.8           49944.7
  Nov. 24       5.2         0.0          0.7         4.6       0.0    -0.0        5.2         6.2          5.0           49933.5
  Nov. 23       5.8         0.0          0.7         5.0       0.0     0.1        5.6         6.4          5.1           49923.1
  Nov. 22       6.9         0.0          0.9         6.0       0.0    -0.0        6.9         6.4          6.7           49912.0
  Nov. 21       6.5         0.0          0.8         5.6       0.0    -0.0        6.5         6.0          8.6           49898.3
  Nov. 20       6.9         0.0          0.9         6.0       0.0    -0.0        6.9         3.6         11.8           49885.5
  Nov. 19       6.0         0.0          0.8         5.2       0.0    -0.0        6.0         3.8         16.1           49871.8
