             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 6 (Bosque, NM to San Acacia gage)     "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    15679.4 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2015   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2015 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  F    2.9         0.0          0.4         2.5       0.0    -0.0        2.9        -4.7         -4.1           49994.4
  Dec. 30       2.9         0.0          0.4         2.5       0.0    -0.0        2.9       -11.6         -3.9           49988.8
  Dec. 29       2.8         0.0          0.4         2.5       0.0     4.2       -1.4       -11.3         -3.6           49983.1
  Dec. 28       2.8         0.0          0.4         2.5       0.0    -0.0        2.8       -11.1         -3.0           49985.8
  Dec. 27       2.1         0.0          0.3         1.9       0.0    32.7      -30.6       -10.7         -2.8           49980.2
  Dec. 26       2.9         0.0          0.4         2.5       0.0    34.7      -31.8        -3.6          0.7           50040.8
  Dec. 25       5.1         0.0          0.7         4.4       0.0     0.8        4.3         3.8          4.3           50103.8
  Dec. 24       5.0         0.0          0.7         4.4       0.0     5.2       -0.1         4.1          4.1           50095.3
  Dec. 23       5.0         0.0          0.7         4.4       0.0     0.1        4.9         5.1          4.2           50095.6
  Dec. 22       5.5         0.0          0.7         4.8       0.0     0.5        5.0         5.0          3.0           50085.9
  Dec. 21       5.1         0.0          0.7         4.4       0.0     0.0        5.1         4.9         -1.0           50076.0
  Dec. 20       5.6         0.0          0.7         4.9       0.0     0.0        5.6         4.7         -0.8           50066.0
  Dec. 19       5.0         0.0          0.7         4.4       0.0     0.0        5.0         4.2         -0.5           50054.8
  Dec. 18       4.5         0.0          0.6         3.9       0.0    -0.0        4.5         3.2         -0.3           50044.9
  Dec. 17       4.3         0.0          0.6         3.8       0.0    -0.0        4.3         0.9         -0.0           50035.9
  Dec. 16       4.1         0.0          0.6         3.5       0.0    -0.0        4.1        -6.8          0.1           50027.3
  Dec. 15       2.9         0.0          0.4         2.5       0.0    -0.0        2.9        -6.2          0.3           50019.3
  Dec. 14       5.1         0.0          0.7         4.4       0.0     4.7        0.4        -5.2          0.7           50013.6
  Dec. 13       4.7         0.0          0.6         4.0       0.0    11.8       -7.2        -3.9          1.2           50012.8
  Dec. 12       4.3         0.0          0.6         3.8       0.0    38.5      -34.2        -1.0          2.5           50027.1
  Dec. 11       7.0         0.0          0.9         6.1       0.0    -0.0        7.0         7.0          6.5           50094.8
