             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 7 (San Acacia to San Marcial gage)    

      Vegetation classification: IKONOS 2000 + USU 2001         

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    37642.7 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2003   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2003 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 30       0.9         0.0          0.1         0.8       0.0     0.0        0.9         1.0          1.4          117600.3           None        None         None
  Dec. 29       0.9         0.0          0.1         0.8       0.0     0.0        0.9         1.1          1.8          117598.5           None        None         None
  Dec. 28       0.9         0.0          0.1         0.8       0.0     0.0        0.9         1.1          2.2          117596.8           None        None         None
  Dec. 27       1.1         0.0          0.1         1.0       0.0     0.0        1.1         1.1          2.8          117595.0           None        None         None
  Dec. 26       1.4         0.0          0.1         1.3       0.0     0.0        1.4         0.9          3.3          117592.9           None        None         None
  Dec. 25       1.1         0.0          0.1         1.0       0.0     0.0        1.1         1.8          3.6          117590.1           None        None         None
  Dec. 24       0.9         0.0          0.1         0.8       0.0     0.0        0.9         2.5          4.1          117588.0           None        None         None
  Dec. 23       0.9         0.0          0.1         0.8       0.0     0.0        0.9         3.4          4.5          117586.3           None        None         None
  Dec. 22       0.3         0.0          0.0         0.3       0.0     0.0        0.3         4.5          4.9          117584.5           None        None         None
  Dec. 21       5.8         0.0          0.6         5.2       0.0     0.0        5.8         5.6          5.2          117583.8           None        None         None
  Dec. 20       4.5         0.0          0.5         4.0       0.0     0.0        4.5         5.5          5.1          117572.3           None        None         None
  Dec. 19       5.3         0.0          0.6         4.6       0.0     0.0        5.3         5.8          5.2          117563.3           None        None         None
  Dec. 18       6.6         0.0          0.8         5.8       0.0     0.0        6.6         5.7          5.2          117552.9           None        None         None
  Dec. 17       5.8         0.0          0.6         5.2       0.0     0.0        5.8         5.3          3.9          117540.0           None        None         None
  Dec. 16       5.1         0.0          0.6         4.6       0.0     0.0        5.1         4.9          3.9          117528.4           None        None         None
  Dec. 15       6.0         0.0          0.7         5.4       0.0     0.0        6.0         4.8          3.9          117518.2           None        None         None
  Dec. 14       5.0         0.0          0.5         4.5       0.0     0.0        5.0         4.6          3.9          117506.3           None        None         None
  Dec. 13       4.5         0.0          0.6         3.9       0.0     0.0        4.5         4.6          4.0          117496.4           None        None         None
  Dec. 12       3.8         0.0          0.3         3.4       0.0     0.0        3.8         2.6          4.2          117487.5           None        None         None
  Dec. 11       4.6         0.0          0.5         4.1       0.0     0.0        4.6         3.0          4.5          117480.0           None        None         None
