             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 7 (San Acacia to San Marcial gage)    

      Vegetation classification: IKONOS 2000 + USU 2001          (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    38655.2 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2009   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2009 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 31  F    6.3         0.0          0.5         5.7       0.0     2.8        3.5         2.1          3.4          123489.1           None        None         None
  Dec. 30       5.1         0.0          0.4         4.6       0.0     1.6        3.5         2.5          3.6          123482.2           None        None         None
  Dec. 29       1.9         0.0          0.1         1.8       0.0     6.5       -4.6         3.0          3.8          123475.4           None        None         None
  Dec. 28       3.1         0.0          0.2         2.9       0.0     0.0        3.1         5.2          4.9          123484.4           None        None         None
  Dec. 27       5.2         0.0          0.4         4.8       0.0     0.0        5.2         4.7          5.3          123478.3           None        None         None
  Dec. 26       5.5         0.0          0.5         5.0       0.0     0.0        5.5         4.6          5.6          123468.0           None        None         None
  Dec. 25       5.8         0.0          0.4         5.3       0.0     0.0        5.8         4.6          5.7          123457.2           None        None         None
  Dec. 24       6.7         0.0          0.6         6.1       0.0     0.0        6.7         4.6          5.7          123445.7           None        None         None
  Dec. 23       4.5         0.0          0.4         4.1       0.0     3.8        0.6         4.6          5.2          123432.5           None        None         None
  Dec. 22       4.7         0.0          0.3         4.4       0.0     0.2        4.5         5.9          5.9          123431.3           None        None         None
  Dec. 21       5.4         0.0          0.4         5.0       0.0     0.0        5.4         6.5          6.1          123422.4           None        None         None
  Dec. 20       6.0         0.0          0.5         5.5       0.0     0.0        6.0         6.8          6.1          123411.7           None        None         None
  Dec. 19       6.6         0.0          0.5         6.1       0.0     0.0        6.6         6.8          6.2          123399.8           None        None         None
  Dec. 18       7.1         0.0          0.5         6.6       0.0     0.0        7.1         5.7          6.2          123386.7           None        None         None
  Dec. 17       7.5         0.0          0.6         6.9       0.0     0.0        7.5         5.8          6.0          123372.5           None        None         None
  Dec. 16       6.6         0.0          0.5         6.0       0.0     0.0        6.6         5.6          6.0          123357.8           None        None         None
  Dec. 15       6.4         0.0          0.5         5.8       0.0     0.0        6.4         5.4          6.2          123344.8           None        None         None
  Dec. 14       3.6         0.0          0.3         3.3       0.0     2.5        1.1         5.5          6.4          123332.2           None        None         None
  Dec. 13       7.5         0.0          0.6         7.0       0.0     0.0        7.5         6.7          6.7          123330.1           None        None         None
  Dec. 12       6.4         0.0          0.5         5.9       0.0     0.0        6.4         6.3          5.7          123315.1           None        None         None
  Dec. 11       5.7         0.0          0.4         5.3       0.0     0.0        5.7         6.4          5.8          123302.5           None        None         None
  Dec. 10       7.0         0.0          0.5         6.4       0.0     0.0        7.0         7.1          6.0          123291.3           None        None         None
  Dec.  9       7.2         0.0          0.6         6.6       0.0     0.0        7.2         7.3          5.0          123277.5           None        None         None
  Dec.  8       9.6         0.0          0.7         8.9       0.0     4.4        5.2         6.7          3.4          123263.3           None        None         None
  Dec.  7       7.1         0.0          0.5         6.6       0.0     0.3        6.8         5.2          2.5          123252.9           None        None         None
  Dec.  6       9.3         0.0          0.8         8.5       0.0     0.0        9.3         5.2          2.8          123239.5           None        None         None
  Dec.  5       8.0         0.0          0.7         7.3       0.0     0.0        8.0         4.9          2.8          123221.2           None        None         None
  Dec.  4       4.2         0.0          0.4         3.9       0.0     0.0        4.2         2.7          3.0          123205.4           None        None         None
  Dec.  3       1.8         0.0          0.2         1.6       0.0     4.1       -2.3         0.0          3.4          123197.0           None        None         None
  Dec.  2       7.0         0.0          0.6         6.4       0.0     0.0        7.0        -0.1          4.9          123201.6           None        None         None
  Dec.  1       7.8         0.0          0.6         7.2       0.0     0.0        7.8         0.4          5.2          123187.8           None        None         None
  Nov. 30       3.2         0.0          0.3         3.0       0.0     6.5       -3.3         0.8          5.9          123172.4           None        None         None
  Nov. 29       3.0         0.0          0.2         2.8       0.0    12.0       -9.0         3.3          7.7          123179.0           None        None         None
  Nov. 28       7.3         0.0          0.5         6.8       0.0    10.3       -3.0         6.9         10.2          123196.9           None        None         None
  Nov. 27       9.3         0.0          0.7         8.7       0.0     0.0        9.3         9.8         11.9          123202.8           None        None         None
  Nov. 26       9.8         0.0          0.7         9.1       0.0     0.0        9.8        10.1         12.3          123184.3           None        None         None
  Nov. 25       9.3         0.0          0.7         8.6       0.0     0.0        9.3        11.1         12.7          123164.8           None        None         None
  Nov. 24       8.9         0.0          0.6         8.3       0.0     0.0        8.9        12.2         13.2          123146.5           None        None         None
  Nov. 23      11.8         0.0          0.8        11.0       0.0     0.0       11.8        13.5         13.8          123128.9           None        None         None
  Nov. 22      10.7         0.0          0.7         9.9       0.0     0.0       10.7        13.9         14.2          123105.5           None        None         None
  Nov. 21      14.7         0.0          4.4        10.3       0.0     0.0       14.7        14.5         14.7          123084.4           None        None         None
  Nov. 20      14.7         0.0          4.0        10.7       0.0     0.0       14.7        14.4         15.1          123055.3           None        None         None
  Nov. 19      15.6         0.0          4.2        11.4       0.0     0.0       15.6        14.3         15.6          123026.2           None        None         None
  Nov. 18      14.0         0.0          4.1         9.9       0.0     0.0       14.0        14.2         16.1          122995.4           None        None         None
  Nov. 17      13.5         0.0          3.7         9.8       0.0     0.0       13.5        14.4         16.5          122967.7           None        None         None
  Nov. 16      14.2         0.0          4.1        10.1       0.0     0.0       14.2        14.9         17.3          122941.0           None        None         None
  Nov. 15      14.2         0.0          3.7        10.5       0.0     0.0       14.2        15.9         18.3          122912.8           None        None         None
  Nov. 14      15.2         0.0          4.1        11.1       0.0     0.0       15.2        17.0         19.3          122884.7           None        None         None
  Nov. 13      14.9         0.0          4.3        10.6       0.0     0.0       14.9        17.9         20.2          122854.7           None        None         None
  Nov. 12      16.2         0.0          5.6        10.6       0.0     0.0       16.2        18.7         21.2          122825.2           None        None         None
  Nov. 11      18.9         0.0          5.6        13.4       0.0     0.0       18.9        19.7         22.2          122793.2           None        None         None
  Nov. 10      19.6         0.0          6.0        13.6       0.0     0.0       19.6        20.8         22.9          122755.7           None        None         None
  Nov.  9      19.9         0.0          5.6        14.2       0.0     0.0       19.9        21.7         23.2          122716.9           None        None         None
  Nov.  8      18.8         0.0          5.7        13.1       0.0     0.0       18.8        22.5         23.8          122677.6           None        None         None
  Nov.  7      21.3         0.0          6.7        14.7       0.0     0.0       21.3        23.6         23.0          122640.3           None        None         None
  Nov.  6      24.2         0.0          7.3        16.9       0.0     0.0       24.2        24.6         18.2          122598.0           None        None         None
  Nov.  5      24.1         0.0          7.9        16.1       0.0     0.0       24.1        25.0         19.4          122550.0           None        None         None
  Nov.  4      24.1         0.0          7.9        16.2       0.0     0.0       24.1        24.8         19.5          122502.4           None        None         None
  Nov.  3      24.4         0.0          8.6        15.8       0.0     0.0       24.4        25.2         19.7          122454.6           None        None         None
  Nov.  2      26.4         0.0          9.4        17.0       0.0     0.0       26.4        22.4         20.6          122406.3           None        None         None
  Nov.  1      25.9         0.0          9.3        16.6       0.0     0.0       25.9        11.7         21.1          122354.0           None        None         None
  Oct. 31      23.1         0.0          8.5        14.6       0.0     0.0       23.1        13.9         21.2          122302.8           None        None         None
  Oct. 30      26.1         0.0         10.2        15.8       0.0     0.0       26.1        14.2         17.2          122257.1           None        None         None
  Oct. 29      16.1         0.0          6.9         9.2       0.0     5.6       10.5        14.3        -55.6          122205.5           None        None         None
  Oct. 28      23.0         0.0         10.2        12.7       0.0    50.2      -27.2        18.8        -44.5          122184.7           None        None         None
  Oct. 27      36.9         0.0         14.5        22.4       0.0     0.0       36.9        30.6        -27.5          122238.6           None        None         None
  Oct. 26      24.8         0.0         10.6        14.2       0.0     0.0       24.8        28.6        -15.8          122165.5           None        None         None
  Oct. 25      30.4         0.0         12.3        18.1       0.0     3.7       26.7        20.1         -4.8          122116.5           None        None         None
  Oct. 24      32.7         0.0         15.0        17.8       0.0     0.0       32.7      -125.4          7.0          122063.6           None        None         None
  Oct. 23      31.8         0.0         14.8        16.9       0.0     0.0       31.8      -107.7         17.2          121998.8           None        None         None
  Oct. 22      27.1         0.0         13.6        13.6       0.0     0.0       27.1       -85.5         28.8          121935.9           None        None         None
  Oct. 21      17.9         0.0          8.9         9.1       0.0    35.5      -17.6       -60.1         40.8          121882.2           None        None         None
  Oct. 20      95.6        60.3         18.2        16.6       0.4   796.8     -701.3       -29.7         57.9          121917.0           None        None         None
  Oct. 19     121.4        76.4         24.0        20.4       0.5     0.0      121.4       139.5        142.3          123305.5           None        None         None
  Oct. 18     160.3       100.2         33.4        25.9       0.8    17.5      142.8       142.1        146.1          123065.1           None        None         None
  Oct. 17     153.9        95.1         33.7        24.4       0.8     0.0      153.9       143.1        148.8          122782.4           None        None         None
  Oct. 16     134.4        81.5         31.0        21.3       0.6     0.0      134.4       141.7        146.7          122477.6           None        None         None
  Oct. 15     144.8        87.1         34.5        22.6       0.6     0.0      144.8       145.5        145.7          122211.5           None        None         None
  Oct. 14     134.5        78.3         34.9        20.7       0.5     0.0      134.5       145.1        153.6          121924.7           None        None         None
  Oct. 13     147.8        86.3         38.8        22.1       0.6     0.0      147.8       150.1        158.0          121658.5           None        None         None
  Oct. 12     147.0        84.6         40.2        21.6       0.6     0.0      147.0       154.6        155.9          121365.9           None        None         None
  Oct. 11     153.2        85.9         44.7        22.0       0.6     0.0      153.2       151.7        160.6          121074.8           None        None         None
  Oct. 10     143.2        78.8         43.9        20.0       0.5     0.0      143.2       145.9        168.6          120771.4           None        None         None
  Oct.  9     159.3        85.9         51.4        21.3       0.6     0.0      159.3       162.1        183.3          120487.9           None        None         None
  Oct.  8     170.1        89.2         58.7        21.5       0.6     0.0      170.1       165.8        190.2          120172.5           None        None         None
  Oct.  7     145.8        75.6         51.1        18.7       0.5    13.1      132.7       157.2        195.8          119835.8           None        None         None
  Oct.  6     130.4        65.5         48.2        16.3       0.4     6.3      124.1       169.5        209.1          119573.0           None        None         None
  Oct.  5     224.1       109.9         86.9        26.7       0.7     0.0      224.1       191.3        221.3          119327.4           None        None         None
  Oct.  4     178.0        86.0         71.0        20.4       0.6     0.0      178.0       204.6        224.2          118883.6           None        None         None
  Oct.  3     206.6        99.1         83.6        23.2       0.7    79.3      127.2       214.7        227.8          118531.1           None        None         None
  Oct.  2     193.9        91.2         80.6        21.5       0.6     0.0      193.9       234.4        236.9          118279.1           None        None         None
  Oct.  1     232.9       108.3         98.9        24.9       0.8     0.0      232.9       248.8        239.6          117895.1           None        None         None
  Sep. 30     290.8       131.0        128.6        30.4       0.8     0.0      290.8       251.4        245.9          117434.0           None        None         None
  Sep. 29     228.6       102.1        102.2        23.6       0.7     0.0      228.6       243.8        234.4          116858.2           None        None         None
  Sep. 28     225.8       100.3        102.3        22.5       0.7     0.0      225.8       240.9        224.4          116405.5           None        None         None
  Sep. 27     265.8       115.0        124.3        25.7       0.7     0.0      265.8       239.3        210.1          115958.5           None        None         None
  Sep. 26     246.2       105.2        117.3        23.0       0.7     0.0      246.2       230.3        155.0          115432.2           None        None         None
  Sep. 25     252.8       106.1        122.9        23.1       0.7     0.0      252.8       240.3         84.8          114944.7           None        None         None
  Sep. 24     214.0        89.6        104.5        19.3       0.6     0.0      214.0       224.9         89.5          114444.2           None        None         None
  Sep. 23     219.1        91.0        108.0        19.5       0.5     1.2      217.9       207.9         90.5          114020.6           None        None         None
  Sep. 22     221.0        92.7        108.2        19.6       0.5     0.1      220.9       181.0         96.5          113589.2           None        None         None
  Sep. 21     296.6       119.3        150.9        25.6       0.7     0.4      296.2        79.6        103.7          113151.8           None        None         None
  Sep. 20     287.6       119.3        142.6        24.9       0.8   111.8      175.8       -70.8         98.2          112565.4           None        None         None
  Sep. 19     181.4        70.7         95.3        15.0       0.4    52.5      128.9       -46.0         95.6          112217.3           None        None         None
  Sep. 18     163.7        62.3         87.7        13.3       0.3    80.6       83.0       -27.0        100.1          111962.1           None        None         None
  Sep. 17     122.1        46.5         65.6         9.8       0.2   408.1     -286.0        12.1        124.9          111797.6           None        None         None
  Sep. 16     219.9        86.1        115.7        17.7       0.4   675.7     -455.8       127.9        188.4          112364.0           None        None         None
  Sep. 15     305.2       122.6        157.2        24.7       0.7     5.3      299.9       267.1        256.2          113266.4           None        None         None
  Sep. 14     253.8        97.6        135.9        19.8       0.5    29.8      224.0       237.1        258.8          112672.6           None        None         None
  Sep. 13     278.4       110.0        146.5        21.3       0.6     0.0      278.4       227.2        273.4          112229.0           None        None         None
  Sep. 12     294.7       118.4        153.0        22.7       0.6     1.8      292.9       237.7        257.2          111677.7           None        None         None
  Sep. 11     328.7       130.1        173.8        24.2       0.6    88.4      240.3       248.9        269.9          111097.8           None        None         None
  Sep. 10     268.8       106.2        142.2        19.9       0.5   118.8      150.0       245.3        286.3          110621.9           None        None         None
  Sep.  9     372.1       147.0        197.5        26.8       0.8   197.9      174.2       280.5        311.0          110324.9           None        None         None
  Sep.  8     334.2       130.8        179.0        23.8       0.6     3.2      330.9       319.6        338.5          109980.1           None        None         None
  Sep.  7     355.2       139.7        189.6        25.2       0.7     6.2      349.1       276.8        346.0          109324.9           None        None         None
  Sep.  6     248.3        88.6        142.0        17.3       0.4    26.1      222.3       290.9        355.9          108633.7           None        None         None
  Sep.  5     341.9       132.4        185.3        23.5       0.6    15.7      326.2       327.3        377.8          108193.6           None        None         None
