             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 7 (San Acacia to San Marcial gage)    

      Vegetation classification: IKONOS 2000 + USU 2001          (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    38655.2 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2011   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2011 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 31  F    6.4         0.0          0.5         5.9       0.0     0.0        6.4         4.0         -3.2           82879.3           None        None         None
  Dec. 30       2.2         0.0          0.1         2.1       0.0     0.0        2.2         3.2         -3.7           82866.6           None        None         None
  Dec. 29       4.3         0.0          0.3         4.0       0.0     0.0        4.3         3.4         -3.7           82862.2           None        None         None
  Dec. 28       3.4         0.0          0.2         3.2       0.0     0.0        3.4         3.3         -6.3           82853.7           None        None         None
  Dec. 27       3.4         0.0          0.2         3.2       0.0     0.0        3.4        -0.7         -8.1           82846.9           None        None         None
  Dec. 26       2.8         0.0          0.2         2.6       0.0     0.0        2.8       -10.4         -8.2           82840.1           None        None         None
  Dec. 25       3.2         0.0          0.2         2.9       0.0     0.0        3.2       -10.6         -8.1           82834.6           None        None         None
  Dec. 24       4.1         0.0          0.2         3.9       0.0     0.4        3.7       -10.9         -8.0           82828.4           None        None         None
  Dec. 23       3.5         0.0          0.2         3.3       0.0    19.9      -16.4       -16.0         -8.1           82821.0           None        None         None
  Dec. 22       4.6         0.0          0.3         4.2       0.0    49.9      -45.4       -15.6         -8.4           82853.5           None        None         None
  Dec. 21       2.0         0.0          0.1         1.8       0.0     0.0        2.0        -5.9         -7.4           82943.3           None        None         None
  Dec. 20       1.7         0.0          0.0         1.6       0.0     0.0        1.7        -5.6         -7.4           82939.4           None        None         None
  Dec. 19       2.6         0.0          0.2         2.4       0.0    24.4      -21.8        -5.1         -7.4           82936.1           None        None         None
  Dec. 18       1.9         0.0          0.1         1.8       0.0    16.2      -14.3        -0.1         -5.0           82979.3           None        None         None
  Dec. 17       2.9         0.0          0.1         2.7       0.0     0.0        2.9        -1.3         -3.2           83007.5           None        None         None
  Dec. 16       3.7         0.0          0.2         3.4       0.0     0.0        3.7        -8.9         -3.3           83001.8           None        None         None
  Dec. 15       3.9         0.0          0.2         3.7       0.0     0.0        3.9        -9.3         -3.2           82994.6           None        None         None
  Dec. 14       3.3         0.0          0.1         3.1       0.0     0.0        3.3        -9.7         -6.3           82986.9           None        None         None
  Dec. 13       3.3         0.0          0.2         3.1       0.0    23.2      -19.9        -9.8         -6.8           82980.5           None        None         None
  Dec. 12       1.4         0.0          0.0         1.4       0.0    36.5      -35.1        -5.2         -4.7           83020.0           None        None         None
  Dec. 11       1.4         0.0          0.0         1.4       0.0     0.0        1.4         2.3         -3.0           83089.5           None        None         None
  Dec. 10       1.7         0.0          0.1         1.6       0.0     0.0        1.7         2.9         -2.3           83086.7           None        None         None
  Dec.  9       2.8         0.0          0.2         2.6       0.0     0.0        2.8        -2.9         -1.9           83083.3           None        None         None
  Dec.  8       3.2         0.0          0.2         3.0       0.0     0.0        3.2        -3.8         -1.9           83077.7           None        None         None
  Dec.  7       2.5         0.0          0.2         2.3       0.0     0.0        2.5        -4.2         -1.5           83071.4           None        None         None
  Dec.  6       4.3         0.0          0.3         4.0       0.0     0.0        4.3        -8.3         -1.2           83066.5           None        None         None
  Dec.  5       3.1         0.0          0.2         2.8       0.0    30.3      -27.3        -7.5         -0.9           83058.0           None        None         None
  Dec.  4       2.9         0.0          0.1         2.8       0.0     4.7       -1.8        -0.8          2.1           83112.0           None        None         None
  Dec.  3       2.9         0.0          0.1         2.7       0.0     1.7        1.1         0.1          2.5           83115.6           None        None         None
  Dec.  2       6.5         0.0          0.5         6.0       0.0    24.3      -17.8         1.3          3.1           83113.3           None        None         None
  Dec.  1       8.1         0.0          0.7         7.4       0.0     0.0        8.1         5.9          5.5           83148.6           None        None         None
  Nov. 30       6.2         0.0          0.5         5.7       0.0     0.0        6.2         5.8          6.4           83132.6           None        None         None
  Nov. 29       2.7         0.0          0.1         2.5       0.0     0.0        2.7         5.1          7.9           83120.3           None        None         None
  Nov. 28       7.4         0.0          0.5         6.9       0.0     0.0        7.4         5.0         11.8           83115.0           None        None         None
  Nov. 27       5.3         0.0          0.4         4.9       0.0     0.0        5.3         5.0         15.6           83100.3           None        None         None
  Nov. 26       7.6         0.0          0.5         7.0       0.0     0.0        7.6         5.0         18.6           83089.9           None        None         None
  Nov. 25      10.6         0.0          0.9         9.7       0.0     8.2        2.3         7.0         21.6           83074.9           None        None         None
  Nov. 24       5.8         0.0          0.4         5.4       0.0     3.5        2.3        10.8         25.1           83070.3           None        None         None
  Nov. 23       7.2         0.0          0.5         6.7       0.0     0.0        7.2        18.6         27.9           83065.6           None        None         None
  Nov. 22       5.5         0.0          0.4         5.1       0.0     0.0        5.5        26.3         29.2           83051.3           None        None         None
  Nov. 21      39.6         0.0         32.8         6.7       0.0    21.9       17.6        32.1         32.2           83040.4           None        None         None
  Nov. 20      30.5         0.0         24.3         6.2       0.0     9.3       21.2        36.2         32.7           83005.5           None        None         None
  Nov. 19      41.3         0.0         32.9         8.3       0.0     0.0       41.3        39.5         33.5           82963.5           None        None         None
  Nov. 18      45.7         0.0         36.4         9.3       0.0     0.0       45.7        37.3         32.1           82881.8           None        None         None
  Nov. 17      34.7         0.0         27.7         7.0       0.0     0.0       34.7        32.1         32.0           82791.2           None        None         None
  Nov. 16      37.8         0.0         31.0         6.8       0.0     0.0       37.8        32.3         33.2           82722.5           None        None         None
  Nov. 15      37.9         0.0         31.0         6.9       0.0     0.0       37.9        29.3         33.3           82647.6           None        None         None
  Nov. 14      30.4         0.0         24.2         6.1       0.0     0.0       30.4        27.4         34.0           82572.5           None        None         None
  Nov. 13      24.6         0.0         19.0         5.6       0.0     4.9       19.7        26.9         36.6           82512.4           None        None         None
  Nov. 12      35.5         0.0         27.7         7.8       0.0     0.0       35.5        32.0         38.7           82473.4           None        None         None
  Nov. 11      34.7         0.0         27.7         7.0       0.0    11.6       23.1        34.2         38.8           82403.1           None        None         None
  Nov. 10      28.5         0.0         22.4         6.1       0.0     0.0       28.5        37.2         41.7           82357.3           None        None         None
  Nov.  9      27.7         0.0         22.3         5.3       0.0     0.0       27.7        40.5         43.1           82300.9           None        None         None
  Nov.  8      45.1         0.0         36.3         8.8       0.0     0.0       45.1        46.3         43.0           82246.1           None        None         None
  Nov.  7      51.6         0.0         41.6        10.0       0.0     4.9       46.7        45.4         42.3           82156.9           None        None         None
  Nov.  6      38.0         0.0         30.9         7.1       0.0     0.0       38.0        43.5         41.8           82064.4           None        None         None
  Nov.  5      48.5         0.0         36.5        12.0       0.0     3.6       44.9        46.1         40.1           81989.3           None        None         None
  Nov.  4      56.7         0.0         41.8        14.8       0.0     0.0       56.7        45.7         37.8           81900.3           None        None         None
  Nov.  3      40.7         0.0         31.1         9.6       0.0     0.0       40.7        39.7         36.5           81788.0           None        None         None
  Nov.  2      37.1         0.0         27.8         9.3       0.0     0.0       37.1        39.2         37.3           81707.4           None        None         None
  Nov.  1      51.3         0.0         36.7        14.6       0.0     0.0       51.3        40.0         37.2           81633.9           None        None         None
