             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 7 (San Acacia to San Marcial gage)    

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    28638.6 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2012   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2012 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  F   15.7         0.0          2.0        13.8       0.0     0.0       15.7         8.9          9.6          123769.0
  Dec. 30       9.0         0.0          1.1         7.9       0.0     1.1        7.9         7.6          8.9          123737.8
  Dec. 29       7.8         0.0          1.0         6.8       0.0    -0.0        7.8         7.7          8.9          123722.3
  Dec. 28       8.0         0.0          1.0         7.0       0.0    -0.0        8.0         8.0          8.7          123706.7
  Dec. 27       8.3         0.0          1.1         7.3       0.0     3.2        5.1         8.9          9.0          123690.8
  Dec. 26       9.2         0.0          1.2         8.0       0.0    -0.0        9.2        10.2          9.5          123680.7
  Dec. 25       8.3         0.0          1.1         7.3       0.0    -0.0        8.3        10.2          9.4          123662.5
  Dec. 24      11.8         0.0          1.5        10.3       0.0     2.3        9.5        10.1          9.4          123646.0
  Dec. 23      12.5         0.0          1.5        10.9       0.0     0.0       12.5         9.4          9.2          123627.2
  Dec. 22      11.7         0.0          1.5        10.2       0.0     0.0       11.7         9.1          9.3          123602.5
  Dec. 21       9.2         0.0          1.2         8.0       0.0    -0.0        9.2         8.8          9.2          123579.3
  Dec. 20       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         8.5          9.2          123561.1
  Dec. 19       6.3         0.0          0.8         5.6       0.0     0.7        5.6         8.7          9.3          123545.5
  Dec. 18      11.0         0.0          1.3         9.7       0.0     0.0       11.0         9.1          9.7          123534.4
  Dec. 17      10.3         0.0          1.3         9.0       0.0     0.0       10.3         9.5         10.1          123512.6
  Dec. 16       9.5         0.0          1.2         8.3       0.0     1.8        7.7         9.5         10.5          123492.2
  Dec. 15       9.4         0.0          1.2         8.2       0.0     0.3        9.1         9.9         11.2          123477.0
  Dec. 14      10.2         0.0          1.3         9.0       0.0     2.7        7.6         9.8         11.8          123459.1
  Dec. 13      12.9         0.0          1.6        11.3       0.0     0.0       12.9        10.3         12.4          123444.1
  Dec. 12      10.5         0.0          1.3         9.2       0.0     0.0       10.5        10.6         12.6          123418.5
  Dec. 11       9.3         0.0          1.2         8.2       0.0    -0.0        9.3        11.5         13.1          123397.8
  Dec. 10       9.0         0.0          1.1         7.8       0.0    -0.0        9.0        12.6         13.7          123379.3
  Dec.  9      11.5         0.0          1.4        10.1       0.0     1.6        9.9        13.7         14.3          123361.6
  Dec.  8      14.4         0.0          1.8        12.6       0.0     0.0       14.4        14.5         14.9          123341.9
  Dec.  7      14.6         0.0          1.8        12.8       0.0     0.0       14.6        14.5         14.9          123313.3
  Dec.  6      14.9         0.0          1.8        13.1       0.0     0.0       14.9        14.7         14.8          123284.4
  Dec.  5      14.7         0.0          1.8        12.9       0.0     0.0       14.7        14.9         14.9          123254.8
  Dec.  4      13.8         0.0          1.7        12.1       0.0     0.0       13.8        14.9         15.0          123225.8
  Dec.  3      14.6         0.0          1.8        12.8       0.0     0.0       14.6        15.3         15.0          123198.5
  Dec.  2      15.4         0.0          1.9        13.5       0.0     0.0       15.4        15.3         14.8          123169.6
  Dec.  1      15.8         0.0          2.0        13.8       0.0     0.0       15.8        14.9         15.0          123139.0
  Nov. 30      15.1         0.0          1.9        13.3       0.0     0.0       15.1        14.9         15.1          123107.7
  Nov. 29      15.3         0.0          1.9        13.5       0.0     0.0       15.3        15.0         15.2          123077.8
  Nov. 28      14.9         0.0          1.8        13.0       0.0     0.0       14.9        14.8         15.2          123047.4
  Nov. 27      13.6         0.0          1.6        12.0       0.0    -0.0       13.6        14.4         14.3          123018.0
  Nov. 26      15.3         0.0          1.9        13.4       0.0     0.0       15.3        15.1         14.5          122991.0
  Nov. 25      15.7         0.0          1.9        13.8       0.0     0.0       15.7        15.4         14.5          122960.7
  Nov. 24      14.4         0.0          1.8        12.6       0.0     0.0       14.4        15.4         14.5          122929.6
  Nov. 23      12.7         0.0          1.6        11.1       0.0    -0.0       12.7        15.7         14.6          122901.0
  Nov. 22      17.6         0.0          2.1        15.4       0.0    -0.0       17.6        14.2         14.6          122875.9
  Nov. 21      16.6         0.0          2.1        14.5       0.0     0.0       16.6        13.9         17.4          122841.1
  Nov. 20      15.7         0.0          1.9        13.8       0.0     0.0       15.7        13.6         19.9          122808.3
  Nov. 19      16.0         0.0          2.0        14.0       0.0     0.0       16.0        13.6         23.8          122777.3
  Nov. 18      16.3         0.0          2.0        14.3       0.0    11.3        5.0        13.4         28.5          122745.7
  Nov. 17      16.1         0.0          2.0        14.1       0.0     0.0       16.1        15.1         38.5          122735.7
  Nov. 16      15.3         0.0          1.9        13.5       0.0     0.0       15.3        21.0         48.3          122703.8
  Nov. 15      15.6         0.0          1.9        13.7       0.0     0.0       15.6        26.1         57.1          122673.5
  Nov. 14      15.1         0.0          1.9        13.3       0.0     0.0       15.1        34.0         66.3          122642.5
  Nov. 13      13.2         0.0          1.6        11.6       0.0     0.0       13.2        43.6         76.5          122612.6
  Nov. 12      45.6        24.8         11.4         9.4       0.0     0.0       45.6        61.9         85.6          122586.5
  Nov. 11      41.1        21.1         11.3         8.7       0.0     0.0       41.1        75.6         93.3          122496.2
  Nov. 10      55.8        28.6         17.0        10.3       0.0     0.6       55.2        88.0        102.0          122414.8
  Nov.  9      76.5        39.1         22.8        14.6       0.0    13.6       62.9        98.5        110.9          122305.6
