             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 7 (San Acacia to San Marcial gage)    

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    28962.1 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2014   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2014 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  F    6.9         0.0          0.9         6.0       0.0     2.9        4.0       -17.2        -18.8           98220.0
  Dec. 30       7.9         0.0          1.0         6.9       0.0    30.4      -22.5       -22.4        -21.0           98212.0
  Dec. 29       9.2         0.0          1.2         8.0       0.0    30.4      -21.2       -21.6        -20.8           98256.6
  Dec. 28       7.7         0.0          0.9         6.7       0.0    30.4      -22.7       -21.6        -20.8           98298.6
  Dec. 27       6.8         0.0          0.8         6.0       0.0    30.4      -23.6       -21.5        -20.6           98343.6
  Dec. 26       8.3         0.0          1.1         7.3       0.0    30.4      -22.1       -20.4        -20.3           98390.5
  Dec. 25      12.3         0.0          1.5        10.7       0.0    30.4      -18.1       -19.6        -20.1           98434.2
  Dec. 24       9.2         0.0          1.2         8.0       0.0    30.4      -21.2       -20.1        -20.3           98470.1
  Dec. 23       7.9         0.0          1.0         6.9       0.0    30.4      -22.5       -20.0        -20.3           98512.2
  Dec. 22      12.5         0.0          1.5        10.9       0.0    30.4      -17.9       -19.7        -19.9           98556.8
  Dec. 21      12.3         0.0          1.5        10.8       0.0    30.4      -18.1       -20.3        -19.8           98592.3
  Dec. 20       9.8         0.0          1.2         8.7       0.0    30.4      -20.6       -20.5        -19.6           98628.2
  Dec. 19       9.4         0.0          1.2         8.3       0.0    30.4      -21.0       -20.5        -19.3           98668.9
  Dec. 18       9.4         0.0          1.2         8.3       0.0    30.4      -21.0       -20.5        -19.0           98710.5
  Dec. 17       9.6         0.0          1.2         8.4       0.0    30.4      -20.8       -20.0        -18.7           98752.0
  Dec. 16      11.0         0.0          1.3         9.7       0.0    30.4      -19.4       -19.2        -18.4           98793.2
  Dec. 15       9.9         0.0          1.2         8.7       0.0    30.4      -20.5       -18.7        -18.3           98831.6
  Dec. 14       9.6         0.0          1.2         8.5       0.0    30.4      -20.8       -18.0        -18.1           98872.3
  Dec. 13      11.8         0.0          1.4        10.4       0.0    30.4      -18.6       -17.5        -17.4           98913.4
  Dec. 12      13.5         0.0          1.7        11.9       0.0    30.4      -16.9       -17.4        -14.3           98950.2
  Dec. 11      13.5         0.0          1.7        11.9       0.0    30.4      -16.9       -17.5        -11.6           98983.6
  Dec. 10      13.5         0.0          1.7        11.9       0.0    30.4      -16.9       -17.9         -8.7           99017.0
  Dec.  9      12.0         0.0          1.5        10.5       0.0    30.4      -18.4       -18.3         -5.5           99050.5
  Dec.  8      12.6         0.0          1.6        11.0       0.0    30.4      -17.8       -17.3         -2.0           99086.9
