             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: IKONOS 2000 + USU 2001         

      ET TOOLBOX classes (ag. + rip. + open water + urb.):     4312.0 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2003   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2003 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 30       1.4         0.0          0.3         1.1       0.0     0.0        1.4         1.6          1.5           13487.8           None        None         None
  Dec. 29       1.3         0.0          0.2         1.1       0.0     0.0        1.3         1.7          1.5           13485.0           None        None         None
  Dec. 28       1.4         0.0          0.3         1.1       0.0     0.0        1.4         1.7          1.6           13482.3           None        None         None
  Dec. 27       1.7         0.0          0.3         1.3       0.0     0.0        1.7         1.7          1.7           13479.5           None        None         None
  Dec. 26       2.2         0.0          0.4         1.8       0.0     0.0        2.2         1.5          1.7           13476.2           None        None         None
  Dec. 25       1.7         0.0          0.3         1.3       0.0     0.0        1.7         1.5          1.6           13471.9           None        None         None
  Dec. 24       1.4         0.0          0.3         1.1       0.0     0.0        1.4         1.3          1.7           13468.6           None        None         None
  Dec. 23       1.4         0.0          0.3         1.1       0.0     0.0        1.4         1.5          1.7           13465.8           None        None         None
  Dec. 22       0.5         0.0          0.1         0.4       0.0     0.0        0.5         1.6          1.8           13462.9           None        None         None
  Dec. 21       2.2         0.0          0.4         1.8       0.0     0.0        2.2         2.0          1.9           13461.9           None        None         None
  Dec. 20       1.1         0.0          0.2         0.9       0.0     0.0        1.1         1.8          1.8           13457.5           None        None         None
  Dec. 19       2.2         0.0          0.4         1.8       0.0     0.0        2.2         2.0          1.9           13455.3           None        None         None
  Dec. 18       2.2         0.0          0.4         1.8       0.0     0.0        2.2         1.9          1.9           13451.0           None        None         None
  Dec. 17       2.2         0.0          0.4         1.8       0.0     0.0        2.2         1.9          1.6           13446.6           None        None         None
  Dec. 16       1.4         0.0          0.3         1.1       0.0     0.0        1.4         1.7          1.6           13442.3           None        None         None
  Dec. 15       1.9         0.0          0.3         1.6       0.0     0.0        1.9         1.8          1.6           13439.5           None        None         None
  Dec. 14       1.9         0.0          0.3         1.6       0.0     0.0        1.9         1.9          1.7           13435.7           None        None         None
  Dec. 13       1.9         0.0          0.3         1.6       0.0     0.0        1.9         1.8          1.7           13432.0           None        None         None
  Dec. 12       1.7         0.0          0.3         1.3       0.0     0.1        1.6         1.3          1.7           13428.3           None        None         None
  Dec. 11       1.9         0.0          0.3         1.6       0.0     0.0        1.9         1.4          1.8           13425.2           None        None         None
  Dec. 10       2.2         0.0          0.4         1.8       0.0     0.0        2.2         1.5          2.0           13421.4           None        None         None
  Dec.  9       1.7         0.0          0.3         1.3       0.0     0.0        1.7         1.5          1.9           13417.1           None        None         None
  Dec.  8       1.1         0.0          0.2         0.9       0.0     2.0       -0.9         1.6          1.9           13413.8           None        None         None
  Dec.  7       2.2         0.0          0.4         1.8       0.0     0.0        2.2         2.2          2.1           13415.5           None        None         None
  Dec.  6       2.2         0.0          0.4         1.8       0.0     0.0        2.2         2.2          2.2           13411.2           None        None         None
  Dec.  5       2.2         0.0          0.4         1.8       0.0     0.0        2.2         2.4          2.3           13406.8           None        None         None
  Dec.  4       2.2         0.0          0.4         1.8       0.0     0.0        2.2         2.3          2.2           13402.5           None        None         None
  Dec.  3       2.2         0.0          0.4         1.8       0.0     0.0        2.2         2.3          2.2           13398.1           None        None         None
  Dec.  2       2.2         0.0          0.4         1.8       0.0     0.0        2.2         2.1          2.3           13393.8           None        None         None
  Dec.  1       3.4         0.0          0.6         2.9       0.0     0.0        3.4         2.2          2.5           13389.4           None        None         None
  Nov. 30       1.7         0.0          0.3         1.3       0.0     0.0        1.7         2.1          2.5           13382.7           None        None         None
  Nov. 29       1.9         0.0          0.3         1.6       0.0     0.0        1.9         2.1          2.5           13379.4           None        None         None
  Nov. 28       1.3         0.0          0.2         1.1       0.0     0.0        1.3         2.2          2.6           13375.7           None        None         None
  Nov. 27       2.6         0.0          0.4         2.2       0.0     0.0        2.6         2.4          2.8           13373.1           None        None         None
  Nov. 26       3.0         0.0          0.6         2.4       0.0     0.0        3.0         2.7          2.8           13367.8           None        None         None
  Nov. 25       1.5         0.0          0.2         1.3       0.0     0.0        1.5         2.8          2.8           13362.0           None        None         None
  Nov. 24       2.4         0.0          0.4         2.0       0.0     0.0        2.4         3.0          2.9           13358.9           None        None         None
  Nov. 23       2.6         0.0          0.4         2.2       0.0     0.0        2.6         3.1          2.6           13354.2           None        None         None
  Nov. 22       4.2         0.0          0.7         3.5       0.0     0.0        4.2         3.2         -2.6           13349.0           None        None         None
  Nov. 21       3.4         0.0          0.6         2.9       0.0     0.0        3.4         2.9         -6.7           13340.6           None        None         None
  Nov. 20       2.4         0.0          0.4         2.0       0.0     0.0        2.4         2.8         -6.7           13333.9           None        None         None
  Nov. 19       2.8         0.0          0.4         2.4       0.0     0.0        2.8         2.8         -6.6           13329.1           None        None         None
