             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: IKONOS 2000 + USU 2001          (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    18486.3 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2009   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2009 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 31  F   37.3         0.0          0.3        37.0       0.0     0.4       36.9        23.6         27.4           80185.0           None        None         None
  Dec. 30      37.3         0.0          0.3        37.0       0.0     0.0       37.3        22.5         26.9           80111.9           None        None         None
  Dec. 29      18.6         0.0          0.1        18.6       0.0    30.9      -12.3        21.3         26.2           80038.0           None        None         None
  Dec. 28      24.9         0.0          0.2        24.7       0.0     0.0       24.9        30.0         30.6           80062.4           None        None         None
  Dec. 27      31.2         0.0          0.3        30.9       0.0     0.0       31.2        28.8         32.5           80013.0           None        None         None
  Dec. 26      31.2         0.0          0.3        30.9       0.0     0.0       31.2        31.3         34.3           79951.2           None        None         None
  Dec. 25      31.3         0.0          0.3        31.0       0.0     0.0       31.3        31.3         34.9           79889.4           None        None         None
  Dec. 24      31.2         0.0          0.3        30.9       0.0     0.0       31.2        31.2         34.9           79827.4           None        None         None
  Dec. 23      25.1         0.0          0.3        24.8       0.0     6.1       19.0        31.2         30.5           79765.5           None        None         None
  Dec. 22      43.6         0.0          0.4        43.2       0.0     0.0       43.6        36.1         32.9           79727.9           None        None         None
  Dec. 21      31.2         0.0          0.3        30.9       0.0     0.0       31.2        37.3         32.3           79641.5           None        None         None
