             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: IKONOS 2000 + USU 2001          (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    18019.3 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2011   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2011 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 31  F   36.2         0.0          0.3        35.9       0.0     0.0       36.2        18.3          0.5           26069.2           None        None         None
  Dec. 30      12.0         0.0          0.1        12.0       0.0     0.0       12.0        13.5         -1.9           25997.7           None        None         None
  Dec. 29      18.4         0.0          0.3        18.2       0.0     0.0       18.4        13.6         -1.9           25973.8           None        None         None
  Dec. 28      12.3         0.0          0.2        12.2       0.0     0.0       12.3         4.3         -6.1           25937.3           None        None         None
  Dec. 27      12.5         0.0          0.3        12.2       0.0     0.0       12.5        -4.1         -9.1           25912.9           None        None         None
  Dec. 26      12.4         0.0          0.3        12.1       0.0     0.0       12.4       -17.3         -9.7           25888.2           None        None         None
  Dec. 25      12.6         0.0          0.3        12.3       0.0     0.0       12.6       -17.3         -9.1           25863.6           None        None         None
  Dec. 24      12.8         0.0          0.4        12.4       0.0    41.4      -28.5       -17.4         -9.1           25838.7           None        None         None
  Dec. 23       6.9         0.0          0.4         6.5       0.0    36.3      -29.4       -16.5         -5.0           25895.2           None        None         None
  Dec. 22      12.8         0.0          0.4        12.4       0.0    66.5      -53.7       -14.2         -8.1           25953.3           None        None         None
  Dec. 21      12.3         0.0          0.2        12.1       0.0     0.0       12.3        -2.2        -10.5           26059.7           None        None         None
  Dec. 20      12.3         0.0          0.2        12.1       0.0     0.0       12.3        -0.9        -11.1           26035.3           None        None         None
  Dec. 19      12.6         0.0          0.3        12.3       0.0    36.6      -24.0        -0.8        -11.1           26011.0           None        None         None
  Dec. 18       6.4         0.0          0.2         6.2       0.0    24.3      -17.8         6.5         -7.5           26058.5           None        None         None
  Dec. 17       6.4         0.0          0.2         6.3       0.0     0.0        6.4        -1.9         -3.9           26093.8           None        None         None
  Dec. 16      18.7         0.0          0.4        18.3       0.0     0.0       18.7       -18.9         -3.3           26081.0           None        None         None
  Dec. 15      12.6         0.0          0.3        12.3       0.0     0.0       12.6       -21.4         -3.9           26044.0           None        None         None
  Dec. 14      12.3         0.0          0.2        12.2       0.0     0.0       12.3       -21.5         -7.5           26019.0           None        None         None
  Dec. 13       6.9         0.0          0.4         6.5       0.0    66.8      -59.8       -21.4         -8.0           25994.6           None        None         None
  Dec. 12       6.1         0.0          0.1         6.1       0.0    84.3      -78.2        -5.8         -0.8           26113.0           None        None         None
  Dec. 11       6.1         0.0          0.1         6.1       0.0     0.0        6.1        12.4         -0.8           26267.9           None        None         None
  Dec. 10      12.1         0.0          0.1        12.1       0.0     0.0       12.1        13.7          1.0           26255.8           None        None         None
  Dec.  9      12.6         0.0          0.3        12.3       0.0     0.0       12.6         6.6          2.2           26231.7           None        None         None
  Dec.  8      18.5         0.0          0.3        18.2       0.0     0.0       18.5         5.4          2.2           26206.9           None        None         None
  Dec.  7      12.6         0.0          0.3        12.3       0.0     0.0       12.6         4.1          3.4           26170.3           None        None         None
  Dec.  6      12.6         0.0          0.3        12.3       0.0     0.0       12.6       -14.0          4.0           26145.5           None        None         None
  Dec.  5      12.9         0.0          0.4        12.5       0.0    36.1      -23.2       -11.6          5.2           26120.6           None        None         None
  Dec.  4       6.4         0.0          0.2         6.2       0.0     0.0        6.4        -2.1          4.6           26166.6           None        None         None
  Dec.  3      12.3         0.0          0.2        12.1       0.0     0.0       12.3        -0.9          3.9           26153.8           None        None         None
  Dec.  2      24.4         0.0          0.3        24.1       0.0   102.5      -78.1         2.7          5.1           26129.4           None        None         None
  Dec.  1      24.4         0.0          0.3        24.1       0.0     0.0       24.4        22.0         14.8           26284.1           None        None         None
  Nov. 30      24.4         0.0          0.3        24.1       0.0     0.0       24.4        22.0          9.0           26235.7           None        None         None
  Nov. 29      12.3         0.0          0.2        12.1       0.0     0.0       12.3        11.3          9.2           26187.5           None        None         None
  Nov. 28      30.5         0.0          0.4        30.1       0.0     0.0       30.5         8.8         12.2           26163.2           None        None         None
  Nov. 27      18.5         0.0          0.3        18.2       0.0     0.0       18.5         7.6         13.6           26102.8           None        None         None
  Nov. 26      24.4         0.0          0.3        24.1       0.0     0.0       24.4         7.6         15.9           26066.2           None        None         None
  Nov. 25      25.0         0.0          0.5        24.5       0.0    54.2      -29.2        -4.0         17.7           26017.8           None        None         None
  Nov. 24      30.3         0.0          0.3        30.0       0.0    30.5       -0.1         7.0         24.8           26075.7           None        None         None
  Nov. 23      24.4         0.0          0.3        24.1       0.0     0.0       24.4        15.6         27.6           26075.9           None        None         None
  Nov. 22      18.5         0.0          0.3        18.2       0.0     0.0       18.5        19.6         28.3           26027.6           None        None         None
  Nov. 21      36.9         0.0         12.7        24.2       0.0    70.5      -33.6        24.1         30.5           25990.9           None        None         None
  Nov. 20      27.5         0.0          9.3        18.2       0.0     1.7       25.8        39.3         38.3           26057.4           None        None         None
  Nov. 19      42.9         0.0         12.7        30.2       0.0     0.0       42.9        42.6         39.6           26006.3           None        None         None
  Nov. 18      44.6         0.0         14.3        30.3       0.0     0.0       44.6        39.6         38.1           25921.3           None        None         None
  Nov. 17      40.9         0.0         10.8        30.1       0.0     0.0       40.9        36.9         38.1           25833.0           None        None         None
  Nov. 16      42.4         0.0         12.2        30.1       0.0     0.0       42.4        36.9         39.8           25752.0           None        None         None
  Nov. 15      42.4         0.0         12.2        30.1       0.0     0.0       42.4        37.4         41.0           25668.1           None        None         None
  Nov. 14      27.5         0.0          9.3        18.2       0.0     0.0       27.5        36.7         41.8           25584.2           None        None         None
  Nov. 13      31.3         0.0          7.3        24.0       0.0     0.0       31.3        36.6         45.5           25529.7           None        None         None
  Nov. 12      40.9         0.0         10.8        30.1       0.0     0.0       40.9        39.2         46.7           25467.6           None        None         None
  Nov. 11      46.8         0.0         10.8        36.0       0.0     2.2       44.7        42.7         48.4           25386.6           None        None         None
  Nov. 10      38.8         0.0          8.8        30.0       0.0     0.0       38.8        44.7         50.8           25298.1           None        None         None
  Nov.  9      27.0         0.0          8.8        18.2       0.0     0.0       27.0        47.0         51.8           25221.3           None        None         None
  Nov.  8      44.7         0.0         14.3        30.4       0.0     0.0       44.7        54.5         52.2           25167.8           None        None         None
  Nov.  7      58.6         0.0         16.2        42.4       0.0     0.0       58.6        54.1         52.5           25079.3           None        None         None
  Nov.  6      54.3         0.0         12.2        42.1       0.0     0.0       54.3        54.1         52.1           24963.4           None        None         None
  Nov.  5      50.6         0.0         14.3        36.3       0.0     0.0       50.6        56.9         50.7           24855.8           None        None         None
  Nov.  4      64.5         0.0         16.2        48.3       0.0     0.0       64.5        56.5         51.0           24755.6           None        None         None
  Nov.  3      42.5         0.0         12.2        30.3       0.0     0.0       42.5        49.9         50.8           24627.9           None        None         None
  Nov.  2      58.7         0.0         10.8        47.9       0.0     0.0       58.7        50.8         52.2           24543.7           None        None         None
  Nov.  1      68.4         0.0         14.3        54.1       0.0     0.0       68.4        50.0         50.9           24427.4           None        None         None
  Oct. 31      48.5         0.0         12.2        36.3       0.0     0.0       48.5        44.4         49.4           24292.1           None        None         None
  Oct. 30      31.4         0.0          7.3        24.2       0.0     0.0       31.4        45.5         49.8           24196.0           None        None         None
  Oct. 29      47.1         0.0         10.9        36.2       0.0     0.0       47.1        51.8         52.0           24133.7           None        None         None
  Oct. 28      54.6         0.0         12.4        42.2       0.0     0.0       54.6        53.6         54.0           24040.4           None        None         None
  Oct. 27      42.7         0.0          6.9        35.9       0.0     2.4       40.3        51.8         52.9           23932.4           None        None         None
  Oct. 26      80.5         0.0         20.0        60.4       0.0    26.3       54.2        54.4         57.3           23852.7           None        None         None
  Oct. 25      62.7         0.0         14.5        48.2       0.0     0.0       62.7        54.2         58.0           23745.4           None        None         None
  Oct. 24      56.2         0.0         14.1        42.2       0.0     0.0       56.2        52.3         57.4           23621.2           None        None         None
  Oct. 23      45.4         0.0          9.4        36.0       0.0     0.0       45.4        54.4         56.5           23509.8           None        None         None
  Oct. 22      53.2         0.0         11.1        42.1       0.0     0.0       53.2        54.0         58.5           23419.9           None        None         None
  Oct. 21      53.2         0.0         11.1        42.1       0.0     0.0       53.2        60.3         59.9           23314.4           None        None         None
  Oct. 20      53.3         0.0         11.2        42.1       0.0     0.0       53.3        61.9         60.7           23209.0           None        None         None
  Oct. 19      66.8         0.0         12.7        54.0       0.0     0.0       66.8        62.6         60.7           23103.5           None        None         None
  Oct. 18      43.6         0.0          7.7        36.0       0.0     0.0       43.6        58.6         58.4           22971.3           None        None         None
  Oct. 17      84.7         0.0         18.5        66.2       0.0     0.0       84.7        63.0         59.6           22884.9           None        None         None
  Oct. 16      61.1         0.0         13.0        48.1       0.0     0.0       61.1        59.5         56.3           22717.3           None        None         None
  Oct. 15      56.9         0.0         14.6        42.3       0.0     0.0       56.9        59.5         58.3           22596.3           None        None         None
  Oct. 14      47.0         0.0         10.8        36.1       0.0     0.0       47.0        58.9         60.5           22483.7           None        None         None
  Oct. 13      65.4         0.0         11.4        53.9       0.0     0.0       65.4        58.2         43.5           22390.7           None        None         None
  Oct. 12      67.1         0.0         13.1        54.0       0.0     0.0       67.1        56.2         40.0           22261.3           None        None         None
  Oct. 11      61.2         0.0         13.1        48.1       0.0     0.0       61.2        53.2         35.1           22128.5           None        None         None
  Oct. 10      53.6         0.0         11.5        42.1       0.0     0.0       53.6        57.1         34.5           22007.3           None        None         None
  Oct.  9      43.6         0.0         13.2        30.4       0.0     0.0       43.6        62.2         34.0           21901.1           None        None         None
  Oct.  8      55.4         0.0         13.2        42.2       0.0     0.0       55.4        28.7         33.7           21814.7           None        None         None
  Oct.  7      73.2         0.0         13.3        59.9       0.0    21.0       52.2        23.8         33.0           21705.0           None        None         None
  Oct.  6      80.8         0.0         20.4        60.3       0.0     0.0       80.8        17.0         32.6           21601.6           None        None         None
  Oct.  5      85.1         0.0         18.9        66.2       0.0     6.3       78.8        11.9         31.2           21441.7           None        None         None
  Oct.  4      57.3         0.0         15.0        42.3       0.0   180.9     -123.5         5.8         30.1           21285.7           None        None         None
  Oct.  3      41.6         0.0         11.3        30.3       0.0    10.7       30.9        38.7         49.2           21530.3           None        None         None
  Oct.  2      43.3         0.0         12.9        30.4       0.0    25.4       18.0        42.2         51.2           21469.2           None        None         None
  Oct.  1      55.4         0.0         13.1        42.2       0.0     0.0       55.4        48.3         54.0           21433.6           None        None         None
  Sep. 30      48.3         0.0         12.0        36.3       0.0     0.0       48.3        50.5         52.8           21324.0           None        None         None
  Sep. 29      54.2         0.0         12.0        42.2       0.0    13.1       41.1        54.4         53.5           21228.4           None        None         None
  Sep. 28      48.3         0.0         12.0        36.3       0.0     0.0       48.3        59.6         55.0           21147.0           None        None         None
  Sep. 27      54.2         0.0         12.0        42.2       0.0     5.9       48.2        60.3         55.3           21051.4           None        None         None
  Sep. 26      67.8         0.0         13.7        54.1       0.0     1.3       66.5        59.8         55.7           20955.9           None        None         None
  Sep. 25      67.8         0.0         13.7        54.1       0.0     0.0       67.8        55.2         54.5           20824.3           None        None         None
  Sep. 24      67.2         0.0         13.1        54.0       0.0     0.0       67.2        52.7         48.1           20690.1           None        None         None
  Sep. 23      51.8         0.0          9.8        42.0       0.0     0.0       51.8        50.5         39.1           20557.1           None        None         None
  Sep. 22      46.0         0.0          9.8        36.1       0.0     0.0       46.0        50.4         34.1           20454.5           None        None         None
  Sep. 21      51.9         0.0         15.4        36.5       0.0     8.9       43.0        51.5         34.4           20363.5           None        None         None
  Sep. 20      55.4         0.0         13.3        42.2       0.0     0.0       55.4        53.9         28.3           20278.3           None        None         None
  Sep. 19      56.1         0.0         13.8        42.3       0.0     0.0       56.1        43.4         22.0           20168.5           None        None         None
  Sep. 18      51.3         0.0          9.4        41.9       0.0     0.0       51.3        27.8         15.8           20057.5           None        None         None
  Sep. 17      62.0         0.0         13.8        48.2       0.0    10.2       51.8        17.9         14.8           19955.8           None        None         None
  Sep. 16      55.5         0.0         13.3        42.2       0.0     0.7       54.8        17.2          0.9           19853.2           None        None         None
  Sep. 15      53.7         0.0         11.5        42.1       0.0    50.6        3.1         2.6          1.3           19744.7           None        None         None
  Sep. 14      53.7         0.0         11.5        42.1       0.0    75.7      -22.0         0.6          6.6           19738.6           None        None         None
  Sep. 13      55.4         0.0         13.3        42.2       0.0    53.8        1.7         3.9         10.5           19782.2           None        None         None
  Sep. 12      48.4         0.0         12.1        36.3       0.0     0.0       48.4        11.8          8.9           19779.0           None        None         None
  Sep. 11      48.4         0.0         12.1        36.3       0.0    66.3      -17.9       -15.3          9.1           19683.1           None        None         None
  Sep. 10      52.0         0.0          9.9        42.0       0.0    58.9       -7.0         0.0         14.6           19718.5           None        None         None
  Sep.  9      54.3         0.0         12.1        42.2       0.0    60.1       -5.7        12.6        -29.9           19732.3           None        None         None
  Sep.  8      56.2         0.0         13.9        42.3       0.0    14.9       41.3        17.0        -23.1           19743.7           None        None         None
  Sep.  7      64.0         0.0         15.6        48.4       0.0   151.2      -87.2         6.0        -22.3           19661.9           None        None         None
  Sep.  6      60.3         0.0         12.2        48.1       0.0     1.9       58.5        33.5         -8.7           19834.6           None        None         None
  Sep.  5      56.2         0.0         13.9        42.3       0.0     0.0       56.2        29.2         -8.8           19718.9           None        None         None
  Sep.  4      52.2         0.0         15.6        36.6       0.0    35.8       16.4       -72.3         -8.6           19607.5           None        None         None
  Sep.  3      68.0         0.0         13.9        54.1       0.0    82.1      -14.1       -63.3         -4.7           19575.0           None        None         None
