             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    14349.6 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2015   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2015 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  *   31.3         0.0          0.4        30.9       0.0     0.0       31.3        17.7         21.8           66459.7
  Dec. 30  *   27.3         0.0          0.6        26.7       0.0     0.0       27.3         7.8         22.6           66397.8
  Dec. 29  *   26.8         0.0          0.4        26.4       0.0     0.0       26.8        10.4         24.2           66343.7
  Dec. 28  *   26.8         0.0          0.4        26.3       0.0     0.0       26.8        11.4         25.0           66290.6
  Dec. 27  *   17.8         0.0          0.3        17.6       0.0    41.4      -23.6        12.3         25.8           66237.6
  Dec. 26  *   18.0         0.0          0.4        17.6       0.0    36.2      -18.2        25.8         31.1           66284.3
  Dec. 25  *   40.3         0.0          0.9        39.4       0.0     0.0       40.3        37.4         35.5           66320.3
  Dec. 24  *   31.6         0.0          0.9        30.7       0.0     0.0       31.6        38.0         34.0           66240.5
  Dec. 23  *   31.5         0.0          0.9        30.5       0.0     0.0       31.5        38.6         34.2           66177.9
  Dec. 22  *   44.0         0.0          0.9        43.0       0.0     0.0       44.0        39.2         34.0           66115.6
  Dec. 21  *   39.6         0.0          0.9        38.6       0.0     0.0       39.6        36.4         22.4           66028.5
  Dec. 20  *   43.3         0.0          0.9        42.5       0.0    -0.0       43.3        33.6         23.0           65950.2
  Dec. 19  *   34.8         0.0          0.9        33.9       0.0     0.0       34.8        30.0         23.1           65864.4
  Dec. 18  *   34.4         0.0          0.7        33.6       0.0     0.0       34.4        29.8         24.1           65795.5
  Dec. 17  *   29.9         0.0          0.6        29.2       0.0     0.0       29.9        28.7         25.1           65727.4
  Dec. 16  *   25.6         0.0          0.6        25.0       0.0     0.0       25.6         8.4         26.1           65668.3
  Dec. 15  *   25.4         0.0          0.6        24.8       0.0     0.0       25.4        12.3         27.5           65617.6
  Dec. 14  *   33.5         0.0          0.7        32.8       0.0     0.0       33.5        16.3         29.3           65567.3
  Dec. 13  *   29.3         0.0          0.7        28.6       0.0     0.0       29.3        18.5         29.8           65500.9
  Dec. 12  *   28.9         0.0          0.6        28.3       0.0   100.7      -71.8        21.4         30.8           65442.9
  Dec. 11  *   45.2         0.0          1.1        44.1       0.0    -0.0       45.2        43.8         41.0           65585.0
  Dec. 10  *   45.1         0.0          1.2        43.9       0.0     0.0       45.1        42.7         39.9           65495.6
  Dec.  9  *   44.5         0.0          1.1        43.5       0.0     0.0       44.5        42.3         38.5           65406.3
  Dec.  8  *   44.2         0.0          1.1        43.2       0.0     0.0       44.2        41.2         37.4           65318.1
  Dec.  7  *   40.1         0.0          1.1        39.0       0.0     0.0       40.1        40.1         36.0           65230.6
  Dec.  6  *   39.4         0.0          0.9        38.6       0.0     0.0       39.4        38.2         32.2           65151.2
  Dec.  5  *   43.3         0.0          1.1        42.2       0.0     0.0       43.3        37.2         31.6           65073.1
  Dec.  4  *   38.9         0.0          0.9        38.0       0.0     0.0       38.9        34.7         29.9           64987.4
  Dec.  3  *   38.6         0.0          0.9        37.7       0.0    -0.0       38.6        33.6         30.4           64910.4
  Dec.  2  *   30.9         0.0          0.9        30.1       0.0     0.0       30.9        31.9         29.8           64833.9
  Dec.  1  *   34.4         0.0          0.9        33.5       0.0    -0.0       34.4        26.1         29.9           64772.7
  Nov. 30  *   30.5         0.0          0.9        29.6       0.0     0.0       30.5        25.9         29.0           64704.6
  Nov. 29  *   33.6         0.0          0.7        32.9       0.0     0.0       33.6        25.1         30.2           64644.3
  Nov. 28  *   30.1         0.0          0.9        29.2       0.0     0.0       30.1        27.1         30.6           64577.7
  Nov. 27  *   29.6         0.0          0.7        28.9       0.0    27.5        2.1        27.7         31.4           64518.2
  Nov. 26  *   33.3         0.0          0.9        32.3       0.0     0.0       33.2        33.7         33.9           64514.0
  Nov. 25  *   44.1         0.0          1.3        42.8       0.0    17.7       26.4        32.0         29.0           64448.2
  Nov. 24  *   43.7         0.0          1.3        42.4       0.0    -0.0       43.7        35.2         28.5           64395.9
  Nov. 23  *   32.9         0.0          1.2        31.7       0.0     0.0       32.9        34.1         28.2           64309.3
  Nov. 22  *   32.2         0.0          0.9        31.3       0.0     0.0       32.2        35.1         28.9           64244.2
  Nov. 21  *   24.9         0.0          0.7        24.2       0.0    -0.0       24.9        34.1         29.6           64180.3
  Nov. 20  *   42.3         0.0          1.3        41.1       0.0     0.0       42.3        25.9         30.5           64131.0
  Nov. 19  *   38.1         0.0          0.9        37.1       0.0     0.0       38.1        21.8         31.6           64047.2
  Nov. 18  *   37.8         0.0          0.9        36.8       0.0     0.0       37.8        22.3         32.3           63971.8
  Nov. 17  *   27.6         0.0          0.9        26.7       0.0    -0.0       27.6        22.7         31.5           63897.0
  Nov. 16  *   24.0         0.0          0.7        23.2       0.0    40.3      -16.4        25.0         33.1           63842.3
  Nov. 15  *   31.1         0.0          1.2        29.9       0.0     9.2       21.9        35.2         39.4           63874.7
  Nov. 14  *   40.5         0.0          1.2        39.3       0.0     0.0       40.5        41.3         41.6           63831.4
  Nov. 13  *   39.9         0.0          4.0        35.9       0.0    -0.0       39.9        42.4         42.0           63751.2
  Nov. 12  *   39.3         0.0          3.8        35.5       0.0     0.0       39.3        40.3         44.1           63672.3
  Nov. 11  *   34.4         0.0          5.3        29.1       0.0     0.0       34.4        41.2         46.8           63594.5
  Nov. 10  *   52.5         0.0          7.4        45.1       0.0     0.0       52.5        43.7         49.1           63526.4
  Nov.  9  *   45.7         0.0          7.1        38.6       0.0     0.0       45.7        41.8         49.0           63422.4
  Nov.  8  *   29.4         0.0          6.8        22.7       0.0     0.0       29.4        41.7         33.0           63331.9
  Nov.  7  *   43.8         0.0          8.5        35.3       0.0     0.0       43.8        48.0         30.1           63273.6
  Nov.  6  *   46.8         0.0          8.5        38.3       0.0     0.0       46.8        52.4         32.6           63186.9
  Nov.  5  *   43.2         0.0          8.3        35.0       0.0     0.0       43.2        54.5         35.2           63094.1
  Nov.  4  *   45.1         0.0         10.0        35.1       0.0     0.0       45.1        56.1         37.4           63008.5
  Nov.  3  *   61.1         0.0         13.4        47.7       0.0     0.0       61.1        24.4         39.5           62919.3
  Nov.  2  *   65.6         0.0         14.9        50.7       0.0     0.0       65.6        12.2         39.9           62798.2
  Nov.  1  *   57.7         0.0         13.3        44.4       0.0     0.0       57.7        12.7         39.8           62668.4
  Oct. 31  *   51.0         0.0         13.1        38.0       0.0     0.0       51.0        15.8         40.2           62554.2
  Oct. 30  *   45.8         0.0         11.2        34.6       0.0   159.3     -113.5        18.8         25.8           62453.2
  Oct. 29  *   60.3         0.0         16.2        44.1       0.0    59.8        0.4        54.5         38.9           62677.9
  Oct. 28  *   68.0         0.0         17.8        50.2       0.0     0.0       68.0        67.5         45.6           62677.0
  Oct. 27  *   72.9         0.0         22.6        50.2       0.0     0.0       72.9        67.0         45.8           62542.3
  Oct. 26  *   65.9         0.0         19.3        46.7       0.0     0.0       65.9        64.7         36.6           62398.1
  Oct. 25  *   65.4         0.0         19.2        46.2       0.0     0.0       65.4        32.9         34.0           62267.5
