             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):     9026.1 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2018   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2018 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 11  *   18.1         0.0          0.9        17.2       0.0     0.0       18.1        15.4         16.2           66468.6
  Dec. 10  *   18.1         0.0          0.9        17.2       0.0     0.0       18.1        15.4         16.2           66432.9
  Dec.  9  *   18.1         0.0          0.9        17.2       0.0     0.0       18.1        15.4         16.1           66397.1
  Dec.  8  *   18.1         0.0          0.9        17.2       0.0     6.8       11.3        15.3         16.8           66361.3
  Dec.  7  *   11.3         0.0          0.5        10.7       0.0     0.0       11.3        16.2         18.0           66339.0
  Dec.  6  *   18.1         0.0          0.9        17.2       0.0     0.0       18.1        17.1         18.9           66316.6
  Dec.  5  *   18.1         0.0          0.9        17.2       0.0     0.0       18.1        17.1         18.8           66280.9
  Dec.  4  *   18.0         0.0          0.9        17.1       0.0     0.0       18.0        16.9         18.8           66245.1
  Dec.  3  *   15.7         0.0          0.8        15.0       0.0     0.0       15.7        18.2         19.3           66209.4
  Dec.  2  *   15.7         0.0          0.8        14.9       0.0     0.0       15.7        19.9         20.1           66178.3
  Dec.  1  *   17.8         0.0          0.9        16.9       0.0     0.0       17.8        20.7         20.5           66147.3
  Nov. 30  *   17.8         0.0          0.9        16.9       0.0     0.3       17.4        20.6         20.6           66112.0
  Nov. 29  *   24.3         0.0          1.2        23.1       0.0     0.0       24.3        20.6         20.8           66077.5
  Nov. 28  *   24.2         0.0          1.2        23.0       0.0     0.0       24.2        20.5         20.2           66029.4
  Nov. 27  *   19.7         0.0          1.0        18.7       0.0     0.0       19.7        20.4         19.7           65981.6
  Nov. 26  *   17.5         0.0          0.9        16.6       0.0     0.0       17.5        20.3         19.6           65942.6
  Nov. 25  *   17.4         0.0          0.9        16.5       0.0     0.0       17.4        20.6         20.1           65908.0
  Nov. 24  *   23.8         0.0          1.2        22.5       0.0     0.0       23.8        20.9         20.2           65873.6
  Nov. 23  *   23.7         0.0          1.2        22.4       0.0     0.0       23.7        20.0         19.4           65826.6
  Nov. 22  *   19.2         0.0          1.0        18.3       0.0     0.2       19.0        19.0         18.5           65779.7
  Nov. 21  *   19.1         0.0          1.0        18.2       0.0    -0.0       19.1        19.0         17.5           65742.0
  Nov. 20  *   19.1         0.0          1.0        18.1       0.0     0.0       19.1        19.7         18.2           65704.1
  Nov. 19  *   19.0         0.0          1.0        18.0       0.0     0.0       19.0        19.5         18.6           65666.4
  Nov. 18  *   18.9         0.0          1.0        17.9       0.0    -0.0       18.9        18.9         18.7           65628.9
  Nov. 17  *   18.8         0.0          1.0        17.8       0.0     0.0       18.8        17.9         19.8           65591.5
  Nov. 16  *   22.8         0.0          1.2        21.6       0.0     0.0       22.8        16.1         21.5           65554.4
  Nov. 15  *   18.3         0.0          1.0        17.3       0.0     0.0       18.3        16.8         22.9           65509.2
  Nov. 14  *   15.9         0.0          0.9        15.0       0.0    -0.0       15.9        17.6         25.1           65473.0
  Nov. 13  *   13.9         0.0          0.8        13.1       0.0     0.0       13.9        18.5         26.8           65441.5
  Nov. 12  *    9.4         0.0          1.8         7.5       0.0     0.0        9.4        21.7         28.7           65414.0
  Nov. 11  *   26.4         0.0          5.8        20.7       0.0     0.0       26.4        26.9         31.1           65395.4
  Nov. 10  *   22.4         0.0          5.5        16.9       0.0     0.0       22.4        29.1         31.9           65343.2
  Nov.  9  *   20.5         0.0          5.4        15.0       0.0     0.0       20.5        32.7         23.9           65298.8
  Nov.  8  *   29.9         0.0          7.4        22.5       0.0     0.0       29.9        35.1         22.3           65258.3
  Nov.  7  *   35.5         0.0          9.2        26.3       0.0     0.0       35.5        35.6         24.0           65199.0
  Nov.  6  *   37.1         0.0         10.9        26.3       0.0     0.0       37.1        35.3         25.1           65128.7
  Nov.  5  *   40.3         0.0         12.4        27.9       0.0     0.0       40.3        34.7         26.1           65055.2
  Nov.  4  *   32.7         0.0         10.5        22.2       0.0     0.0       32.7        15.1         26.7           64975.5
  Nov.  3  *   32.6         0.0         10.5        22.1       0.0     0.0       32.6         9.4         28.0           64910.8
  Nov.  2  *   34.0         0.0         12.0        21.9       0.0     0.0       34.0        12.3         28.0           64846.3
  Nov.  1  *   33.9         0.0         12.0        21.8       0.0     0.0       33.9        14.8          9.8           64779.0
  Oct. 31  *   23.0         0.0          8.5        14.5       0.0    80.4      -57.5        17.6          7.2           64711.9
  Oct. 30  *   40.5         0.0         15.3        25.2       0.0    36.5        4.0        38.3         14.7           64825.7
  Oct. 29  *   47.1         0.0         18.6        28.5       0.0     0.0       47.1        46.5         16.4           64817.7
  Oct. 28  *   46.7         0.0         18.6        28.1       0.0     0.0       46.7        43.7         13.8           64724.4
  Oct. 27  *   47.7         0.0         20.0        27.7       0.0     0.0       47.7         4.7         10.2           64632.0
  Oct. 26  *   45.8         0.0         20.0        25.7       0.0     0.0       45.8        -3.2          7.1           64537.5
  Oct. 25  *   45.4         0.0         20.0        25.4       0.0     0.0       45.4        -8.8          2.4           64446.9
  Oct. 24  *   33.4         0.0         15.0        18.4       0.0     0.4       33.0       -13.6         -1.1           64357.0
  Oct. 23  *   26.4         0.0         13.0        13.4       0.0   175.0     -148.6       -16.0         -2.4           64291.7
  Oct. 22  *   43.1         0.0         19.9        23.2       0.0    34.5        8.6        15.7          8.9           64585.9
  Oct. 21  *   17.6         0.0         16.6         1.0       0.0     0.0       17.6        17.3          3.7           64568.8
  Oct. 20  *   21.2         0.0         19.9         1.2       0.0     0.0       21.2        13.6          4.7           64534.1
  Oct. 19  *   21.1         0.0         19.9         1.2       0.0     0.0       21.1        11.4          5.4           64492.1
  Oct. 18  *   12.3         0.0         11.6         0.7       0.0     2.4        9.9        11.2          4.3           64450.3
  Oct. 17  *   16.7         0.0         15.8         1.0       0.0     0.0       16.7         2.2          2.5           64430.7
  Oct. 16  *    8.6         0.0          8.2         0.4       0.0     9.8       -1.2       -10.0         -0.6           64397.6
  Oct. 15  *   10.2         0.0          9.6         0.6       0.0     0.0       10.2        -4.2          2.5           64399.9
  Oct. 14  *   20.3         0.0         19.2         1.1       0.0     0.0       20.3        -0.6          7.8           64379.7
  Oct. 13  *   22.7         0.0         21.4         1.3       0.0    57.9      -35.2        -2.6         12.7           64339.5
  Oct. 12  *   20.3         0.0         19.2         1.1       0.0    64.3      -43.9         2.8         23.2           64409.1
  Oct. 11  *   27.8         0.0         26.2         1.6       0.0     0.0       27.8         8.8         33.4           64496.1
  Oct. 10  *   28.2         0.0         26.6         1.6       0.0     0.0       28.2         9.2         33.3           64441.1
  Oct.  9  *   22.9         0.0         21.6         1.3       0.0    12.9       10.0        16.2         37.7           64385.3
  Oct.  8  *   21.2         0.0         19.9         1.2       0.0    29.1       -7.9        28.1         44.1           64365.4
  Oct.  7  *   27.8         0.0         26.2         1.6       0.0    42.0      -14.1        43.5         52.3           64381.1
  Oct.  6  *   29.9         0.0         28.2         1.7       0.0     0.0       29.9        58.1         60.6           64409.1
  Oct.  5  *   63.1         0.0         31.5        31.7       0.0     0.0       63.1        57.4         62.1           64349.8
