             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 6 (Bernardo to San Acacia gage)       

      Vegetation classification: IKONOS 2000 + USU 2001         

      ET TOOLBOX classes (ag. + rip. + open water + urb.):     6192.0 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2004   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2004 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 29       1.8         0.0          0.3         1.4       0.0     0.5        1.3         1.0          0.5           16707.9           None        None         None
  Dec. 28       1.2         0.0          0.2         1.0       0.0     0.0        1.2         0.9          0.5           16705.3           None        None         None
  Dec. 27       0.7         0.0          0.1         0.6       0.0     0.0        0.7         0.8          0.5           16703.0           None        None         None
  Dec. 26       1.0         0.0          0.2         0.8       0.0     0.0        1.0         0.4          0.5           16701.6           None        None         None
  Dec. 25       1.0         0.0          0.2         0.8       0.0     0.0        1.0        -0.1          0.4           16699.7           None        None         None
  Dec. 24       0.7         0.0          0.1         0.6       0.0     0.0        0.7         0.0          0.4           16697.8           None        None         None
  Dec. 23       0.5         0.0          0.1         0.4       0.0     0.0        0.5         0.1          0.4           16696.4           None        None         None
  Dec. 22       0.5         0.0          0.1         0.4       0.0     1.7       -1.2         0.2          0.5           16695.4           None        None         None
  Dec. 21       1.0         0.0          0.2         0.8       0.0     2.7       -1.7         0.7          0.8           16697.8           None        None         None
  Dec. 20       1.5         0.0          0.3         1.2       0.0     0.0        1.5         0.9          1.1           16701.1           None        None         None
  Dec. 19       1.3         0.0          0.3         1.0       0.0     0.0        1.3         0.8          1.1           16698.2           None        None         None
  Dec. 18       1.3         0.0          0.3         1.0       0.0     0.0        1.3         0.7          1.1           16695.7           None        None         None
  Dec. 17       1.0         0.0          0.2         0.8       0.0     0.0        1.0         0.7          1.1           16693.2           None        None         None
  Dec. 16       0.5         0.0          0.1         0.4       0.0     1.0       -0.5         0.8          1.1           16691.2           None        None         None
  Dec. 15       1.0         0.0          0.2         0.8       0.0     0.0        1.0         1.2          1.0           16692.2           None        None         None
  Dec. 14       1.0         0.0          0.2         0.8       0.0     0.0        1.0         1.3          1.0           16690.2           None        None         None
  Dec. 13       1.3         0.0          0.3         1.0       0.0     0.0        1.3         1.4          0.7           16688.3           None        None         None
  Dec. 12       1.5         0.0          0.3         1.2       0.0     0.0        1.5         1.5          0.7           16685.8           None        None         None
