             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 6 (Bernardo to San Acacia gage)       

      Vegetation classification: IKONOS 2000 + USU 2001          (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):     6548.1 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2009   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2009 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 31  F    1.7         0.0          0.2         1.6       0.0     1.2        0.5         0.7          1.0           18132.1           None        None         None
  Dec. 30       1.7         0.0          0.1         1.6       0.0     0.5        1.2         0.9          1.1           18131.1           None        None         None
  Dec. 29       0.7         0.0          0.1         0.7       0.0     1.6       -0.8         1.0          1.2           18128.7           None        None         None
  Dec. 28       1.2         0.0          0.1         1.1       0.0     0.0        1.2         1.6          1.4           18130.4           None        None           35
  Dec. 27       1.4         0.0          0.1         1.2       0.0     0.0        1.4         1.2          1.5           18128.1           None          37           63
  Dec. 26       1.5         0.0          0.1         1.4       0.0     0.0        1.5         1.3          1.6           18125.4            140         139          112
  Dec. 25       1.7         0.0          0.1         1.6       0.0     0.0        1.7         1.4          1.6           18122.4            229         149          124
  Dec. 24       2.3         0.0          0.2         2.1       0.0     0.0        2.3         1.4          1.6           18118.9             36         134          128
  Dec. 23       1.5         0.0          0.1         1.4       0.0     2.2       -0.7         1.2          1.6           18114.4            119         128          152
  Dec. 22       1.5         0.0          0.1         1.4       0.0     0.0        1.5         1.8          1.9           18115.7            173          89          154
  Dec. 21       1.9         0.0          0.1         1.7       0.0     0.0        1.9         1.9          1.9           18112.7            189          85          148
  Dec. 20       1.7         0.0          0.1         1.6       0.0     0.0        1.7         1.9          1.9           18109.0            156          99          139
  Dec. 19       1.7         0.0          0.1         1.6       0.0     0.0        1.7         1.9          1.9           18105.5              5         122          130
  Dec. 18       1.9         0.0          0.1         1.8       0.0     0.0        1.9         1.9          2.0           18102.1           None         176          140
  Dec. 17       2.1         0.0          0.2         1.9       0.0     0.0        2.1         2.0          1.7           18098.3            157         220          167
  Dec. 16       1.9         0.0          0.1         1.8       0.0     0.0        1.9         1.9          1.7           18094.1            255         210          157
  Dec. 15       1.9         0.0          0.1         1.8       0.0     0.0        1.9         1.9          1.8           18090.3            275         179          129
  Dec. 14       1.5         0.0          0.1         1.4       0.0     0.0        1.5         1.9          1.9           18086.6            275         137          101
  Dec. 13       2.5         0.0          0.2         2.3       0.0     0.0        2.5         2.1          1.9           18083.6            141         104           72
  Dec. 12       1.9         0.0          0.1         1.8       0.0     0.0        1.9         1.4          1.7           18078.7            108         115           63
