             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 6 (Bosque, NM to San Acacia gage)     "

      Vegetation classification: IKONOS 2000 + USU 2001          (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    15437.6 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water    ----- Daily Flow Difference -----
    2011   F  Total   Agriculture    Riparian   Open Water   Urban    Rain      Total    5-Day Avg.  10-Day Avg.    Use To-Date Since      Total    5-Day Avg.  10-Day Avg.
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2011 AC-FT     CFS         CFS          CFS"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------   -------   ----------  -----------
  Dec. 31  F    2.6         0.0          0.2         2.4       0.0     0.0        2.6         1.6         -4.2           35823.0           None        None         None
  Dec. 30       1.3         0.0          0.1         1.2       0.0     0.0        1.3         1.3         -4.4           35817.9           None        None         None
  Dec. 29       1.5         0.0          0.1         1.4       0.0     0.0        1.5         1.3         -4.5           35815.3           None        None         None
  Dec. 28       1.3         0.0          0.1         1.2       0.0     0.0        1.3         1.3         -7.4           35812.4           None        None         None
  Dec. 27       1.3         0.0          0.1         1.2       0.0     0.0        1.3        -3.7         -8.6           35809.8           None        None         None
  Dec. 26       1.3         0.0          0.1         1.2       0.0     0.0        1.3       -10.1         -8.7           35807.2           None        None         None
  Dec. 25       1.3         0.0          0.1         1.2       0.0     0.0        1.3       -10.2         -8.7           35804.7           None        None         None
  Dec. 24       1.3         0.0          0.1         1.2       0.0     0.0        1.3       -10.3         -8.7           35802.1           None        None         None
  Dec. 23       0.9         0.0          0.1         0.9       0.0    24.4      -23.5       -16.1         -8.7           35799.5           None        None         None
  Dec. 22       2.0         0.0          0.2         1.9       0.0    32.8      -30.7       -13.6         -8.4           35846.0           None        None         None
  Dec. 21       0.7         0.0          0.1         0.6       0.0     0.0        0.7        -7.3        -11.1           35906.8           None        None         None
  Dec. 20       0.6         0.0          0.0         0.6       0.0     0.0        0.6        -7.1        -11.1           35905.5           None        None         None
  Dec. 19       1.2         0.0          0.1         1.1       0.0    28.8      -27.6        -7.0        -11.1           35904.3           None        None         None
  Dec. 18       0.6         0.0          0.0         0.6       0.0    11.5      -10.9        -1.2         -8.2           35958.9           None        None         None
  Dec. 17       0.8         0.0          0.1         0.8       0.0     0.0        0.8        -3.2         -7.0           35980.5           None        None         None
  Dec. 16       1.3         0.0          0.1         1.2       0.0     0.0        1.3       -14.9         -7.0           35978.8           None        None         None
  Dec. 15       1.3         0.0          0.1         1.2       0.0     0.0        1.3       -15.0         -7.0           35976.2           None        None         None
  Dec. 14       1.5         0.0          0.1         1.4       0.0     0.2        1.3       -15.1        -10.0           35973.7           None        None         None
  Dec. 13       0.8         0.0          0.1         0.8       0.0    21.6      -20.7       -15.2        -10.6           35971.1           None        None         None
  Dec. 12       0.6         0.0          0.0         0.6       0.0    58.2      -57.5       -10.8         -8.7           36012.1           None        None         None
  Dec. 11       0.6         0.0          0.0         0.6       0.0     0.0        0.6         0.9         -3.8           36126.0           None        None         None
  Dec. 10       0.6         0.0          0.0         0.6       0.0     0.0        0.6         1.0         -3.4           36124.8           None        None         None
  Dec.  9       1.2         0.0          0.1         1.1       0.0     0.0        1.2        -4.9         -3.0           36123.6           None        None         None
  Dec.  8       1.3         0.0          0.1         1.2       0.0     0.0        1.3        -6.0         -3.0           36121.2           None        None         None
  Dec.  7       0.7         0.0          0.1         0.6       0.0     0.0        0.7        -6.6         -2.8           36118.6           None        None         None
  Dec.  6       1.2         0.0          0.1         1.1       0.0     0.0        1.2        -8.5         -2.6           36117.2           None        None         None
  Dec.  5       1.0         0.0          0.1         1.0       0.0    29.7      -28.7        -7.7         -2.4           36114.9           None        None         None
  Dec.  4       1.7         0.0          0.1         1.7       0.0     6.3       -4.5        -1.2          0.9           36171.6           None        None         None
  Dec.  3       1.3         0.0          0.1         1.2       0.0     3.0       -1.7         0.0          1.5           36180.6           None        None         None
  Dec.  2       3.9         0.0          0.3         3.6       0.0    12.9       -9.0         1.1          2.1           36183.9           None        None         None
  Dec.  1       5.2         0.0          0.4         4.9       0.0     0.0        5.2         3.3          3.3           36201.7           None        None         None
  Nov. 30       4.0         0.0          0.3         3.8       0.0     0.0        4.0         3.0          3.0           36191.3           None        None         None
  Nov. 29       1.3         0.0          0.1         1.2       0.0     0.0        1.3         2.9          3.0           36183.4           None        None         None
  Nov. 28       3.7         0.0          0.3         3.4       0.0     0.0        3.7         3.0          3.4           36180.8           None        None         None
  Nov. 27       2.2         0.0          0.1         2.0       0.0     0.0        2.2         3.1          3.6           36173.4           None        None         None
  Nov. 26       3.6         0.0          0.2         3.3       0.0     0.0        3.6         3.2          3.9           36169.2           None        None         None
  Nov. 25       6.0         0.0          0.4         5.6       0.0     2.1        3.9         3.0          3.9           36162.1           None        None         None
  Nov. 24       3.5         0.0          0.3         3.3       0.0     2.1        1.5         3.1          3.9           36154.4           None        None         None
  Nov. 23       4.5         0.0          0.3         4.3       0.0     0.0        4.5         3.8          4.0           36151.5           None        None         None
  Nov. 22       2.7         0.0          0.2         2.5       0.0     0.0        2.7         4.1          2.7           36142.5           None        None         None
  Nov. 21       4.1         0.0          0.3         3.8       0.0     1.5        2.6         4.5          2.9           36137.2           None        None         None
  Nov. 20       4.0         0.0          0.3         3.8       0.0     0.0        4.0         4.8          3.1           36132.1           None        None         None
  Nov. 19       5.4         0.0          0.4         5.0       0.0     0.0        5.4         4.7          3.0           36124.1           None        None         None
  Nov. 18       6.0         0.0          0.4         5.6       0.0     0.0        6.0         4.2          2.8           36113.5           None        None         None
  Nov. 17       4.6         0.0          0.3         4.4       0.0     0.0        4.6         1.2          2.7           36101.6           None        None         None
  Nov. 16       3.7         0.0          0.2         3.5       0.0     0.0        3.7         1.3          2.3           36092.4           None        None         None
  Nov. 15       3.5         0.0          0.2         3.3       0.0     0.0        3.5         1.3          2.3           36084.9           None        None         None
  Nov. 14       2.8         0.0          0.1         2.7       0.0     0.0        2.8         1.3          1.7           36077.9           None        None         None
  Nov. 13       4.0         0.0          0.2         3.8       0.0    12.5       -8.5         1.4          2.4           36072.4           None        None         None
  Nov. 12       4.7         0.0          0.3         4.4       0.0     0.0        4.7         4.1          3.8           36089.2           None        None         None
  Nov. 11       4.2         0.0          0.3         3.9       0.0     0.0        4.2         3.4          3.8           36080.0           None        None         None
  Nov. 10       3.5         0.0          0.2         3.3       0.0     0.0        3.5         3.3          4.3           36071.6           None        None         None
  Nov.  9       3.3         0.0          0.2         3.1       0.0     0.0        3.3         2.1          4.7           36064.7           None        None         None
  Nov.  8       4.7         0.0          0.3         4.4       0.0     0.0        4.7         3.3          4.8           36058.2           None        None         None
  Nov.  7       4.8         0.0          0.3         4.6       0.0     3.7        1.1         3.6          4.8           36049.0           None        None         None
  Nov.  6       4.0         0.0          0.2         3.8       0.0     0.0        4.0         4.3          5.3           36046.8           None        None         None
  Nov.  5       7.3         0.0          0.4         6.9       0.0     9.8       -2.6         5.3          4.0           36038.9           None        None         None
  Nov.  4       9.3         0.0          0.5         8.8       0.0     0.0        9.3         7.2          5.0           36044.0           None        None         None
  Nov.  3       6.2         0.0          0.3         5.8       0.0     0.0        6.2         6.3          4.4           36025.5           None        None         None
  Nov.  2       4.8         0.0          0.3         4.5       0.0     0.0        4.8         6.1          4.6           36013.3           None        None         None
