             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 6 (Bosque, NM to San Acacia gage)     "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    15067.1 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2013   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2013 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  F    5.5         0.0          0.7         4.7       0.0     0.0        5.5         5.2          5.0           56407.0
  Dec. 30       5.1         0.0          0.7         4.4       0.0    -0.0        5.1         5.1          2.2           56396.2
  Dec. 29       4.3         0.0          0.6         3.8       0.0    -0.0        4.3         4.9          2.0           56386.2
  Dec. 28       5.5         0.0          0.7         4.7       0.0     0.0        5.5         5.1          2.3           56377.6
  Dec. 27       5.5         0.0          0.7         4.8       0.0    -0.0        5.5         5.0          2.4           56366.8
  Dec. 26       5.1         0.0          0.7         4.4       0.0    -0.0        5.1         4.7          2.5           56356.0
  Dec. 25       4.3         0.0          0.6         3.8       0.0    -0.0        4.3        -0.8          2.5           56346.0
  Dec. 24       5.0         0.0          0.7         4.4       0.0    -0.0        5.0        -0.9          2.5           56337.4
  Dec. 23       5.1         0.0          0.7         4.4       0.0    -0.0        5.1        -0.5          2.5           56327.4
  Dec. 22       4.3         0.0          0.6         3.8       0.0     0.1        4.2        -0.1          2.2           56317.4
  Dec. 21       4.3         0.0          0.6         3.8       0.0    26.7      -22.4         0.2          1.2           56309.0
  Dec. 20       5.1         0.0          0.7         4.4       0.0     1.6        3.5         5.7          3.9           56353.4
  Dec. 19       7.0         0.0          0.9         6.1       0.0    -0.0        7.0         6.0          3.8           56346.4
  Dec. 18       7.0         0.0          0.9         6.1       0.0    -0.0        7.0         5.5          3.1           56332.6
  Dec. 17       5.8         0.0          0.7         5.0       0.0     0.0        5.8         4.5          2.8           56318.8
  Dec. 16       5.3         0.0          0.7         4.6       0.0     0.0        5.3         2.3          2.6           56307.3
  Dec. 15       5.1         0.0          0.7         4.4       0.0    -0.0        5.1         2.1          2.4           56296.9
  Dec. 14       4.3         0.0          0.6         3.8       0.0    -0.0        4.3         1.7          1.1           56286.9
  Dec. 13       5.2         0.0          0.7         4.6       0.0     3.0        2.2         0.7          1.3           56278.3
  Dec. 12       4.6         0.0          0.6         4.0       0.0    10.0       -5.5         1.2          1.7           56273.9
  Dec. 11       4.3         0.0          0.6         3.8       0.0    -0.0        4.3         3.0          2.9           56284.8
  Dec. 10       2.9         0.0          0.4         2.5       0.0    -0.0        2.9         2.7          3.0           56276.2
  Dec.  9       2.1         0.0          0.3         1.9       0.0     2.6       -0.5         0.6          3.3           56270.5
  Dec.  8       4.6         0.0          0.6         4.0       0.0    -0.0        4.6         2.0          4.0           56271.5
  Dec.  7       3.6         0.0          0.4         3.2       0.0    -0.0        3.6         2.2          4.1           56262.4
  Dec.  6       3.1         0.0          0.4         2.7       0.0    -0.0        3.1         2.8          4.2           56255.3
  Dec.  5       3.6         0.0          0.4         3.2       0.0    11.2       -7.6         3.4          4.4           56249.2
  Dec.  4       6.2         0.0          0.8         5.4       0.0    -0.0        6.2         6.0          5.3           56264.2
  Dec.  3       5.8         0.0          0.7         5.0       0.0    -0.0        5.8         6.0          4.1           56252.0
  Dec.  2       6.5         0.0          0.8         5.7       0.0     0.0        6.5         6.0          2.9           56240.5
  Dec.  1       6.0         0.0          0.8         5.2       0.0     0.0        6.0         5.7          2.7           56227.7
  Nov. 30       5.8         0.0          0.7         5.0       0.0    -0.0        5.8         5.5          1.9           56215.8
  Nov. 29       5.8         0.0          0.7         5.0       0.0     0.0        5.8         4.6          0.7           56204.4
  Nov. 28       5.8         0.0          0.7         5.0       0.0     0.0        5.8         2.3          0.9           56193.0
  Nov. 27       5.0         0.0          0.7         4.4       0.0    -0.0        5.0        -0.1          1.2           56181.6
  Nov. 26       5.0         0.0          0.7         4.4       0.0    -0.0        5.0        -0.2          1.5           56171.6
  Nov. 25       3.6         0.0          0.4         3.2       0.0     2.2        1.4        -1.7          1.7           56161.6
  Nov. 24       2.9         0.0          0.4         2.5       0.0     8.8       -6.0        -3.1          2.1           56158.8
  Nov. 23       5.1         0.0          0.7         4.4       0.0    10.9       -5.9        -0.4          3.5           56170.7
  Nov. 22       5.1         0.0          0.7         4.4       0.0     0.6        4.5         2.4          7.0           56182.3
  Nov. 21       6.9         0.0          0.9         6.0       0.0     9.6       -2.8         3.1          9.0           56173.4
  Nov. 20       7.9         0.0          1.0         6.9       0.0    13.5       -5.6         5.1         13.4           56178.8
  Nov. 19       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         7.3         18.4           56189.9
  Nov. 18       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         7.3         22.2           56174.2
  Nov. 17       7.9         0.0          1.0         6.9       0.0     0.0        7.9        11.5         25.6           56158.5
  Nov. 16       7.5         0.0          1.0         6.6       0.0    -0.0        7.5        14.9         28.9           56142.8
  Nov. 15       8.6         0.0          1.1         7.5       0.0     3.5        5.1        21.7         32.0           56127.9
  Nov. 14       8.1         0.0          1.1         7.1       0.0     0.0        8.1        29.5         31.2           56117.8
  Nov. 13      28.9        19.5          2.5         6.9       0.0     0.0       28.9        37.1         34.4           56101.7
  Nov. 12      24.7        16.7          2.3         5.6       0.0     0.0       24.7        39.6         35.3           56044.4
  Nov. 11      41.8        24.1          9.5         8.2       0.0     0.0       41.8        42.9         38.2           55995.6
  Nov. 10      43.8        24.2         11.1         8.6       0.0     0.0       43.8        42.2         39.0           55912.8
  Nov.  9      46.1        25.1         12.2         8.8       0.0     0.0       46.1        33.0         39.4           55826.1
  Nov.  8      41.8        22.3         12.1         7.5       0.0     0.0       41.8        31.8         39.8           55734.9
  Nov.  7      40.9        21.4         12.0         7.4       0.0     0.0       40.9        31.0         40.9           55652.0
  Nov.  6      38.4        19.5         12.0         6.9       0.0     0.0       38.4        33.6         43.9           55571.1
  Nov.  5      34.1        16.7         11.8         5.7       0.0    36.5       -2.4        35.8         47.0           55495.1
  Nov.  4      50.1        24.2         17.4         8.5       0.0     9.8       40.3        45.9         54.6           55499.8
  Nov.  3      53.8        25.1         19.9         8.8       0.0    16.2       37.6        47.7         47.0           55419.9
  Nov.  2      53.8        25.1         19.9         8.8       0.0     0.0       53.8        50.9         50.1           55345.4
  Nov.  1      49.6        22.3         19.7         7.5       0.0     0.0       49.6        54.3         53.2           55238.8
  Oct. 31      48.2        21.4         19.4         7.4       0.0     0.0       48.2        58.2         56.0           55140.7
  Oct. 30      51.4        22.3         21.5         7.5       0.0     2.2       49.2        63.3         57.7           55045.2
  Oct. 29      53.5        22.4         23.2         7.9       0.0     0.0       53.5        46.4         60.5           54947.7
  Oct. 28      71.1        30.6         30.4        10.0       0.0     0.0       71.1        49.4         61.9           54841.8
  Oct. 27      68.8        28.0         31.2         9.6       0.0     0.0       68.8        52.0         62.0           54701.0
  Oct. 26      73.7        30.6         33.0        10.1       0.0     0.0       73.7        53.9         62.9           54564.7
  Oct. 25      75.0        29.8         35.3        10.0       0.0   110.2      -35.2        52.0         62.1           54418.8
  Oct. 24      83.9        33.5         39.2        11.3       0.0    15.4       68.6        74.7         73.4           54488.5
  Oct. 23      84.3        32.6         40.6        11.1       0.0     0.0       84.3        74.4         75.2           54352.7
  Oct. 22      78.1        30.7         37.4        10.0       0.0     0.0       78.1        71.9         76.7           54185.7
  Oct. 21      64.4        24.2         31.6         8.6       0.0     0.0       64.4        71.9         78.1           54031.2
  Oct. 20      78.1        30.7         37.4        10.0       0.0     0.0       78.1        72.2         79.5           53903.6
  Oct. 19      67.0        25.2         32.8         9.0       0.0     0.0       67.0        72.2         75.2           53749.0
  Oct. 18      72.0        27.9         34.7         9.4       0.0     0.0       72.0        75.9         78.4           53616.3
  Oct. 17      78.0        30.7         37.4        10.0       0.0     0.0       78.0        81.5         81.8           53473.8
  Oct. 16      65.9        25.1         32.0         8.8       0.0     0.0       65.9        84.4         84.0           53319.3
  Oct. 15      78.1        30.7         37.4        10.0       0.0     0.0       78.1        86.8         86.8           53188.8
  Oct. 14      85.8        32.6         42.1        11.1       0.0     0.0       85.8        78.2         86.8           53034.3
  Oct. 13      99.8        39.1         48.2        12.6       0.0     0.0       99.8        80.8         85.9           52864.4
  Oct. 12      92.2        35.4         45.0        11.8       0.0     0.0       92.2        82.1         87.2           52666.8
