             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 6 (Bosque, NM to San Acacia gage)     "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    14843.0 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2016   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2016 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  F    5.1         0.0          0.7         4.4       0.0    13.5       -8.5         2.6         -0.4           53387.8
  Dec. 30       5.1         0.0          0.7         4.4       0.0    -0.0        5.1         5.3          1.0           53404.5
  Dec. 29       5.1         0.0          0.7         4.4       0.0     0.0        5.1         4.2          1.0           53394.5
  Dec. 28       6.5         0.0          0.8         5.6       0.0    -0.0        6.5         4.1          1.0           53384.5
  Dec. 27       5.1         0.0          0.7         4.4       0.0     0.0        5.1         3.2          0.8           53371.6
  Dec. 26       4.6         0.0          0.6         4.0       0.0    -0.0        4.6        -3.4         -0.4           53361.6
  Dec. 25       4.3         0.0          0.6         3.8       0.0     4.5       -0.1        -3.2         -0.2           53352.5
  Dec. 24       5.1         0.0          0.7         4.4       0.0     0.6        4.5        -2.1          0.7           53352.8
  Dec. 23       5.5         0.0          0.7         4.7       0.0     3.6        1.9        -2.0          0.9           53343.9
  Dec. 22       2.8         0.0          0.4         2.5       0.0    30.5      -27.7        -1.5          1.5           53340.2
  Dec. 21       6.5         0.0          0.8         5.7       0.0     1.0        5.5         2.5          4.9           53395.0
  Dec. 20       5.1         0.0          0.7         4.4       0.0    -0.0        5.1         2.9          5.1           53384.1
  Dec. 19       5.1         0.0          0.7         4.4       0.0    -0.0        5.1         3.5          5.2           53374.1
  Dec. 18       4.3         0.0          0.6         3.8       0.0    -0.0        4.3         3.9          5.2           53364.1
  Dec. 17       3.3         0.0          0.4         2.8       0.0    10.5       -7.2         4.4          5.2           53355.5
  Dec. 16       7.2         0.0          0.9         6.2       0.0    -0.0        7.2         7.3          6.4           53369.8
  Dec. 15       7.9         0.0          1.0         6.9       0.0    -0.0        7.9         7.3          6.3           53355.6
  Dec. 14       7.2         0.0          0.9         6.3       0.0    -0.0        7.2         7.0          6.1           53339.9
  Dec. 13       7.2         0.0          0.9         6.2       0.0    -0.0        7.2         6.5          5.9           53325.7
  Dec. 12       7.2         0.0          0.9         6.2       0.0    -0.0        7.2         6.0          5.2           53311.5
  Dec. 11       7.2         0.0          0.9         6.3       0.0    -0.0        7.2         5.6          4.6           53297.3
  Dec. 10       6.2         0.0          0.8         5.4       0.0    -0.0        6.2         5.3          4.4           53283.1
  Dec.  9       5.0         0.0          0.7         4.4       0.0    -0.0        5.0         5.2          4.2           53270.8
  Dec.  8       4.3         0.0          0.6         3.8       0.0    -0.0        4.3         5.2          3.7           53260.9
  Dec.  7       5.1         0.0          0.7         4.4       0.0    -0.0        5.1         4.5          3.8           53252.3
  Dec.  6       5.8         0.0          0.7         5.0       0.0    -0.0        5.8         3.7          3.7           53242.3
  Dec.  5       5.8         0.0          0.7         5.0       0.0    -0.0        5.8         3.6          3.7           53230.8
  Dec.  4       5.0         0.0          0.7         4.4       0.0    -0.0        5.0         3.2          3.7           53219.4
  Dec.  3       5.1         0.0          0.7         4.4       0.0     4.4        0.6         2.2          3.8           53209.4
  Dec.  2       5.3         0.0          0.7         4.6       0.0     3.9        1.3         3.1          4.4           53208.1
  Dec.  1       5.1         0.0          0.7         4.4       0.0    -0.0        5.1         3.8          4.9           53205.5
  Nov. 30       4.0         0.0          0.5         3.5       0.0    -0.0        4.0         3.9          2.8           53195.5
  Nov. 29       3.6         0.0          0.4         3.2       0.0     3.5        0.1         4.2          3.2           53187.5
  Nov. 28       5.1         0.0          0.7         4.4       0.0    -0.0        5.1         5.4          3.9           53187.2
