             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 6 (Bosque, NM to San Acacia gage)     "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    15093.4 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2017   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2017 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Dec. 31  F    7.1         0.0          0.9         6.2       0.0    -0.0        7.1         7.3          6.9           51842.7
  Dec. 30       7.9         0.0          1.1         6.8       0.0    -0.0        7.9         7.4          6.8           51828.6
  Dec. 29       7.3         0.0          1.0         6.4       0.0    -0.0        7.3         7.3          6.6           51813.0
  Dec. 28       7.4         0.0          1.0         6.4       0.0    -0.0        7.4         7.2          6.4           51798.5
  Dec. 27       7.0         0.0          0.9         6.1       0.0    -0.0        7.0         7.0          6.0           51784.0
  Dec. 26       7.3         0.0          1.0         6.4       0.0    -0.0        7.3         6.4          5.7           51770.0
  Dec. 25       7.4         0.0          1.0         6.4       0.0    -0.0        7.4         6.2          5.5           51755.5
  Dec. 24       6.7         0.0          0.9         5.8       0.0    -0.0        6.7         5.9          5.2           51740.8
  Dec. 23       6.7         0.0          0.9         5.8       0.0    -0.0        6.7         5.6          5.1           51727.6
  Dec. 22       5.1         0.0          0.7         4.4       0.0     1.1        4.0         4.9          5.0           51714.4
  Dec. 21       6.2         0.0          0.8         5.4       0.0    -0.0        6.2         4.9          5.2           51706.5
  Dec. 20       5.9         0.0          0.8         5.1       0.0     0.0        5.9         4.8          5.1           51694.2
  Dec. 19       5.4         0.0          0.7         4.7       0.0    -0.0        5.4         4.6          5.1           51682.6
  Dec. 18       5.1         0.0          0.7         4.4       0.0     2.2        2.9         4.5          5.2           51671.8
  Dec. 17       4.3         0.0          0.6         3.7       0.0    -0.0        4.3         5.1          5.4           51666.1
  Dec. 16       5.3         0.0          0.7         4.6       0.0    -0.0        5.3         5.4          5.1           51657.6
  Dec. 15       5.2         0.0          0.7         4.5       0.0    -0.0        5.2         5.5          5.1           51647.2
  Dec. 14       5.1         0.0          0.7         4.4       0.0    -0.0        5.1         5.7          5.0           51636.9
  Dec. 13       5.8         0.0          0.8         5.1       0.0    -0.0        5.8         5.8          5.0           51626.8
  Dec. 12       5.7         0.0          0.7         5.0       0.0    -0.0        5.7         5.7          5.3           51615.2
  Dec. 11       5.8         0.0          0.8         5.1       0.0     0.0        5.8         4.7          5.3           51603.9
  Dec. 10       5.8         0.0          0.8         5.1       0.0    -0.0        5.8         4.6          5.3           51592.3
  Dec.  9       5.8         0.0          0.8         5.1       0.0     0.0        5.8         4.2          5.4           51580.8
  Dec.  8       5.1         0.0          0.7         4.5       0.0     0.0        5.1         4.3          5.5           51569.2
  Dec.  7       2.9         0.0          0.4         2.6       0.0     2.0        0.9         4.9          5.6           51559.0
  Dec.  6       5.1         0.0          0.7         4.5       0.0     0.0        5.1         5.8          6.6           51557.2
  Dec.  5       5.0         0.0          0.6         4.3       0.0     0.9        4.1         6.1          6.9           51547.0
  Dec.  4       6.0         0.0          0.8         5.2       0.0    -0.0        6.0         6.6          7.4           51538.8
  Dec.  3       8.2         0.0          1.1         7.1       0.0    -0.0        8.2         6.7          7.7           51527.0
  Dec.  2       7.1         0.0          0.9         6.2       0.0     1.4        5.6         6.4          7.7           51510.8
  Dec.  1       6.5         0.0          0.8         5.7       0.0     0.0        6.5         7.3          8.0           51499.7
  Nov. 30       6.5         0.0          0.8         5.7       0.0     0.0        6.5         7.8          8.2           51486.7
  Nov. 29       6.7         0.0          0.9         5.8       0.0    -0.0        6.7         8.2          8.3           51473.9
  Nov. 28       6.6         0.0          0.8         5.7       0.0    -0.0        6.6         8.7          8.4           51460.7
  Nov. 27      10.4         0.0          1.4         9.1       0.0    -0.0       10.4         9.1          8.4           51447.7
  Nov. 26       8.7         0.0          1.2         7.6       0.0     0.0        8.7         8.6          8.5           51427.1
  Nov. 25       8.8         0.0          1.2         7.6       0.0     0.0        8.8         8.5          8.7           51409.8
  Nov. 24       8.8         0.0          1.2         7.6       0.0     0.0        8.8         8.4          8.8           51392.4
  Nov. 23       8.6         0.0          1.1         7.5       0.0     0.0        8.6         8.2          9.0           51374.9
  Nov. 22       8.0         0.0          1.1         6.9       0.0    -0.0        8.0         7.8         11.4           51357.8
  Nov. 21       8.5         0.0          1.1         7.4       0.0     0.0        8.5         8.4         14.1           51342.0
  Nov. 20       8.1         0.0          1.1         7.0       0.0     0.0        8.1         8.9         17.0           51325.2
  Nov. 19       7.7         0.0          1.0         6.7       0.0     0.0        7.7         9.2         20.1           51309.2
  Nov. 18       6.7         0.0          0.9         5.8       0.0    -0.0        6.7         9.9         22.8           51294.0
  Nov. 17      11.3         0.0          1.5         9.8       0.0    -0.0       11.3        15.0         25.4           51280.8
  Nov. 16      10.7         0.0          1.4         9.3       0.0     0.0       10.7        19.7         28.4           51258.4
  Nov. 15       9.7         0.0          1.3         8.5       0.0    -0.0        9.7        25.1         32.0           51237.2
  Nov. 14      11.0         0.0          1.4         9.6       0.0     0.0       11.0        30.9         35.9           51217.9
  Nov. 13      32.1        17.1          6.4         8.6       0.0     0.0       32.1        35.7         40.2           51196.1
  Nov. 12      34.8        17.9          8.0         8.9       0.0     0.0       34.8        35.8         42.5           51132.6
  Nov. 11      37.8        18.0         10.8         9.0       0.0     0.0       37.8        37.1         44.4           51063.7
  Nov. 10      38.7        17.9         11.8         8.9       0.0     0.0       38.7        38.9         46.4           50988.8
  Nov.  9      35.1        16.0         11.5         7.6       0.0     0.0       35.1        40.9         45.5           50912.1
  Nov.  8      32.3        13.9         11.4         7.0       0.0     0.0       32.3        44.7         47.3           50842.5
  Nov.  7      41.7        17.3         15.7         8.7       0.0     0.0       41.7        49.2         50.1           50778.6
  Nov.  6      46.6        18.8         18.4         9.4       0.0     0.0       46.6        51.6         51.1           50696.1
