# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-12 14:21:48 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
"#    USGS 08354900 RIO GRANDE FLOODWAY AT SAN ACACIA, NM"
# -----------------------------------------------------------------------------------
#
# Data provided for site 08354900
#            TS   parameter     statistic     Description
"#         99930       00060     00003     Discharge, cubic feet per second (Mean)"
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     <  Actual value is known to be less than reported value.
#     e  Value has been estimated.
# 
agency_cd       site_no datetime        99930_00060_00003       99930_00060_00003_cd
5s      15s     20d     14n     10s
USGS    08354900        2003-01-01      557     A
USGS    08354900        2003-01-02      543     A
USGS    08354900        2003-01-03      518     A
USGS    08354900        2003-01-04      514     A
USGS    08354900        2003-01-05      526     A
USGS    08354900        2003-01-06      525     A
USGS    08354900        2003-01-07      514     A
USGS    08354900        2003-01-08      517     A
USGS    08354900        2003-01-09      520     A
USGS    08354900        2003-01-10      561     A
USGS    08354900        2003-01-11      580     A
USGS    08354900        2003-01-12      643     A
USGS    08354900        2003-01-13      644     A
USGS    08354900        2003-01-14      646     A
USGS    08354900        2003-01-15      688     A
USGS    08354900        2003-01-16      696     A
USGS    08354900        2003-01-17      770     A
USGS    08354900        2003-01-18      716     A
USGS    08354900        2003-01-19      689     A
USGS    08354900        2003-01-20      657     A
USGS    08354900        2003-01-21      596     A
USGS    08354900        2003-01-22      548     A
USGS    08354900        2003-01-23      520     A
USGS    08354900        2003-01-24      503     A
USGS    08354900        2003-01-25      508     A
USGS    08354900        2003-01-26      506     A
USGS    08354900        2003-01-27      513     A
USGS    08354900        2003-01-28      561     A
USGS    08354900        2003-01-29      577     A
USGS    08354900        2003-01-30      577     A
USGS    08354900        2003-01-31      588     A
USGS    08354900        2003-02-01      593     A
USGS    08354900        2003-02-02      586     A
USGS    08354900        2003-02-03      563     A
USGS    08354900        2003-02-04      574     A
